U36852	U45898
U79126	U31231
U07314	U99504
U11649	U07666
U81162	U52564
U88679	U40979
U25208	U07141
U25912	U07976
U92437	U04463
U06913	U06912
U47631	U04636
U03249	U48867
U32511	U47379
U08524	U01448
U01783	U45275
U06544	U06864
U44066	U37838
U08736	U28774
U47183	U18777
U01482	U15096
U02031	U23813
U14708	U72577
U80872	U33565
U77393	U02379
U01188	U01329
U47127	U11839
U65329	U51202
U52082	U14989
U02198	U08878
U82364	U03573
U57751	U64546
U36702	U64755
U16939	U05758
U15116	U54164
U98336	U41954
U30106	U07886
U68668	U10251
U12429	U42264
U82472	U10344
U44326	U60847
U04279	U28674
U07382	U40916
U57843	U39142
U13599	U70198
U45098	U19839
U40608	U05257
U68107	U54287
U70275	U13814
U35965	U16098
U19157	U06558
U05009	U67308
U14364	U20805
U64718	U10828
U37908	U03096
U00543	U53765
U05569	U56265
U03902	U11415
U17995	U27028
U06377	U73257
U56437	U04584
U01036	U06015
U02473	U10232
U36767	U85359
U26297	U37298
U62542	U84104
U11415	U03902
U00753	U54153
U25580	U94504
U03469	U16571
U26241	U16121
U22571	U08561
U59958	U50370
U90114	U01843
U07499	U51376
U31557	U07982
U62180	U55158
U21352	U26701
U76157	U00184
U13954	U04761
U36351	U43564
U03893	U34867
U64785	U21234
U06015	U34523
U07546	U76726
U33866	U13660
U02407	U05093
U28261	U54138
U11255	U01706
U08392	U44739
U19437	U21221
U26839	U02138
U17363	U05165
U28921	U01684
U21523	U36031
U15683	U82128
U11971	U02832
U76378	U04911
U25614	U07679
U53510	U14072
U98318	U00086
U50877	U05829
U19494	U18403
U54092	U69597
U95156	U01739
U42730	U04621
U23118	U62595
U10418	U03286
U05309	U94937
U35361	U63337
U17011	U01751
U13741	U02680
U55941	U42223
U16272	U11895
U49856	U30154
U25523	U84671
U35918	U30108
U07511	U51445
U32349	U26915
U10848	U10302
U41974	U19025
U05468	U04586
U00208	U36802
U11732	U17826
U90381	U43802
U61854	U63702
U14584	U13741
U91752	U51051
U48140	U39033
U30364	U43744
U40577	U00606
U12878	U58098
U02885	U36631
U46314	U26873
U51393	U31068
U00321	U72679
U51999	U26819
U12842	U22448
U11109	U13745
U10413	U00778
U19339	U36202
U03260	U74108
U39697	U60335
U20266	U79694
U55051	U03976
U03650	U44019
U05185	U00283
U21420	U02542
U01221	U34107
U37118	U47022
U41847	U37475
U48725	U30981
U01426	U09930
U25839	U38426
U17109	U44931
U09922	U14423
U40722	U02137
U33281	U55978
U35438	U07268
U31134	U52135
U66170	U20449
U19200	U39157
U70301	U02854
U01498	U85344
U34796	U76454
U92171	U01391
U60634	U32227
U75582	U01371
U15314	U00364
U06845	U10493
U37094	U84165
U99641	U27701
U58745	U10192
U04404	U35722
U57913	U57913
U46488	U06392
U19472	U57416
U00308	U50551
U07489	U21976
U60021	U25758
U25267	U02658
U17901	U03438
U16342	U68074
U15999	U04565
U07683	U07793
U41406	U41012
U23783	U41930
U05098	U29998
U29370	U23785
U67289	U02155
U05557	U12189
U10135	U08679
U23140	U85538
U81663	U04188
U88657	U20626
U59043	U19349
U21228	U13672
U18582	U65630
U50990	U07301
U27789	U01042
U06497	U11358
U55720	U70924
U12855	U12800
U03833	U47641
U05492	U46581
U67440	U06419
U48817	U49536
U38964	U40405
U06568	U14121
U05859	U90238
U14840	U28094
U00308	U72128
U02023	U45460
U19984	U52272
U81670	U06061
U04716	U06330
U79957	U33187
U45424	U35786
U23077	U24342
U00245	U74215
U32658	U02978
U05403	U74182
U43791	U59528
U01177	U65518
U09085	U01682
U43640	U04924
U10349	U02487
U11765	U08937
U41733	U19371
U42115	U31319
U01652	U82052
U50080	U12967
U69075	U36407
U16143	U59489
U04715	U60097
U09645	U77664
U23438	U60384
U40764	U12668
U11400	U53904
U41344	U45002
U49561	U05859
U03361	U12550
U20555	U47986
U74216	U08885
U92908	U02869
U00403	U61691
U10823	U00755
U05598	U08553
U57098	U22167
U02024	U13765
U56170	U36810
U02368	U59665
U83758	U08102
U25474	U26574
U54552	U57833
U68946	U42381
U16808	U24142
U11719	U02949
U23167	U21097
U03006	U10710
U60654	U22081
U08735	U06041
U92828	U02022
U04566	U17403
U57981	U56310
U02838	U02955
U04551	U86993
U22368	U00904
U23524	U00985
U10223	U20398
U26635	U03115
U14094	U04281
U01205	U19754
U67526	U44734
U08216	U66102
U32992	U08528
U12984	U72060
U50198	U05667
U01434	U01236
U24261	U10189
U35221	U54645
U12857	U11547
U49853	U13667
U56014	U18864
U16360	U54247
