missing,correlation,pvalue,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,1.0,6.2272769642458307e-223,1.0,1.7626156959244331e-59,1.0,1.2213618246929016e-24,nan,nan
2,0.98099407768911162,1.2837615809877454e-214,0.97132832268127678,3.202157682371618e-56,0.98939524639372411,3.7360418710331403e-24,nan,nan
4,0.95724120590984751,5.2913013549862942e-204,0.90759608100928146,2.5902776460917184e-49,0.71308555160248732,2.7326941817362573e-13,nan,nan
6,0.94372176237344718,2.4360113742954244e-198,0.86942070705659069,2.1313893440332059e-45,0.74442218267656279,2.3831772956881463e-14,nan,nan
8,0.93387152979178278,2.8986634811731596e-194,0.85900063146456096,2.3356652877661679e-44,0.73360534668690713,5.5954217701416572e-14,nan,nan
10,0.91746908508494462,1.425632279719412e-187,0.85026903460976255,1.698707283320414e-43,0.73161071102716002,6.5405246738235529e-14,nan,nan
12,0.90581481698239963,6.8672607076650068e-183,0.83299238648605567,8.1179277022029189e-42,0.61595037250807227,2.7614210718684485e-10,nan,nan
14,0.89694540374180587,5.6767062498686228e-179,0.8042263720480225,4.2646819659200857e-39,0.61856381191053955,2.3217435870795156e-10,nan,nan
16,0.89244123419782806,3.3604902363075226e-177,0.83404998201866709,6.4213281689432392e-42,0.68055869422570825,3.0881908852837587e-12,nan,nan
18,0.88253625541431946,2.4689888407417808e-173,0.79117679715382871,6.805069714048318e-38,0.58161225811023842,2.526209951120391e-09,nan,nan
20,0.87533605450163554,1.4993048158868931e-170,0.81423560859120014,4.9433882625382666e-40,0.696417806248397,9.5975138408190232e-13,nan,nan
22,0.86739335014516417,1.6592326839252202e-167,0.76838818291938982,7.7074747548879589e-36,0.5710215827217483,4.8795122515673928e-09,nan,nan
24,0.85308617159353151,9.7566893378333293e-162,0.76179936952060012,2.9495226573641215e-35,0.58795823978756123,1.6934087804244508e-09,nan,nan
26,0.83780129067721143,4.5788876411125384e-156,0.72782209823404809,2.4927545421092355e-32,0.60651672143459889,5.1342035908054648e-10,nan,nan
28,0.82995486178890676,3.4076962314552374e-153,0.72098004297995899,9.3356305353207969e-32,0.65442344257681728,2.0024471272855999e-11,nan,nan
30,0.82050018681877757,9.056624137104661e-150,0.68115142470528245,1.5935077546967506e-28,0.48506134446256038,6.6815059031140556e-07,nan,nan
32,0.80390927698140213,7.4417978717262557e-144,0.69070285614123528,2.7778941774344187e-29,0.53673308468367087,3.8005552737226566e-08,nan,nan
34,0.7995153849994634,5.3792552748467698e-142,0.67775803322077566,2.9469734147606567e-28,0.53225358788461841,4.9255807037079664e-08,nan,nan
36,0.79096167494004843,1.0378385876171579e-138,0.66639522721129074,2.2591592418089543e-27,0.53514429294458943,4.1676340783125123e-08,nan,nan
38,0.78222050380769093,8.3030004057313426e-135,0.64644850836562906,7.4332027191734576e-26,0.39278480016111755,5.7012515183850247e-05,nan,nan
40,0.7721879774865914,7.7217989926567665e-131,0.62702757164530154,2.0177658435411646e-24,0.44402730029549753,5.3664845056406341e-06,nan,nan
42,0.75512871103191181,2.265361257530869e-124,0.52789509283820646,9.0083473439796687e-18,0.23634222665242749,0.015444396029775284,nan,nan
44,0.74908186548869438,7.1890765095328124e-122,0.55570999145712696,1.5905053955009478e-19,0.27259178491442643,0.0052183842985914827,nan,nan
46,0.74652622586271822,3.1021085388620528e-120,0.57189581663003664,1.3833846929352373e-20,0.32442861464318828,0.00088607748740002353,nan,nan
48,0.73662332342865811,2.5420611321694748e-116,0.55310748489999317,2.3403984108550613e-19,0.25685666364823606,0.0084884483421868613,nan,nan
0,1.0,6.2272769642458307e-223,1.0,1.7626156959244331e-59,1.0,1.2213618246929016e-24,nan,nan
2,0.97711814627390992,6.0879982428057659e-213,0.91066438601675248,1.2343006202122847e-49,0.80864589981644186,1.1696881780046974e-16,nan,nan
4,0.96094552902534469,5.0841243084235613e-206,0.88906819580508822,2.1597522927943642e-47,0.73052401304484982,7.1197473284013096e-14,nan,nan
6,0.94375718530160346,8.6360587177805298e-199,0.88762266146662316,3.0383150352305513e-47,0.77256069494070734,2.4450351047497675e-15,nan,nan
8,0.93155089220269149,9.8107202826548337e-194,0.8509295705037162,1.4629718528295082e-43,0.82066117306084307,4.1255487979492353e-17,nan,nan
10,0.91909062672836284,1.2149135771935884e-188,0.8213030050344382,1.0625027031915839e-40,0.74144067668129554,3.0189244187617407e-14,nan,nan
12,0.90864138591380583,2.0076201898802386e-184,0.78895071657185423,1.086667805295e-37,0.71491063066958371,2.3773672864374805e-13,nan,nan
14,0.89996012494061517,5.8956000080995926e-181,0.79596561051139647,2.4754026348041347e-38,0.73247707301574472,6.1121590986943184e-14,nan,nan
16,0.88261162767696744,2.3081408089540673e-173,0.77966033890470443,7.5560501765364622e-37,0.7298131159178799,7.5256460358884853e-14,nan,nan
