missing,correlation,pvalue,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,1.0,6.2272769642458307e-223,1.0,1.7626156959244331e-59,1.0,1.2213618246929016e-24,nan,nan
2,0.993134663208319,1.4360345190718259e-215,0.99219474003079255,3.8942134431494107e-57,1.0,1.2213618246929016e-24,nan,nan
4,0.99002510030819513,6.3977217617880921e-210,0.98372396893546932,1.012642816929652e-55,0.99544416765034638,6.0707491763763659e-24,nan,nan
6,0.9791886110784902,3.5574663848833879e-201,0.95288720923347758,4.6640862801907849e-51,0.98234685211594941,6.9419722330319696e-23,nan,nan
8,0.9627640929911172,1.7961176736079337e-190,0.94044036608022219,6.5337717924251169e-49,0.96916940698217902,2.1517267221626904e-21,nan,nan
10,0.95031040965602331,1.1814820483619969e-181,0.91285426555979576,2.2792750288026443e-45,0.89383819796570441,7.1419813620294582e-28,nan,nan
12,0.94507947841478901,9.4666120028296473e-176,0.90628302500811653,6.1583805479891018e-44,0.87533985150212756,2.0181414414071753e-26,nan,nan
14,0.94399125159032948,1.9914322930574651e-171,0.90912462647848014,1.4027347597413978e-42,0.88388518901582225,3.8678932044906792e-26,nan,nan
16,0.93524176687756033,5.0497088503161772e-164,0.90406415083207203,1.6034261371304665e-40,0.8817898777045835,1.2191858518234376e-25,nan,nan
18,0.93009792144489833,1.9457912060241016e-158,0.90134150802446655,1.7217996907321197e-39,0.87573345831653315,1.4776627615831043e-24,nan,nan
20,0.87303528198190494,4.1917419540565808e-136,0.82124382652888683,2.0413782042334357e-31,0.79033868184499245,2.2505158363827201e-19,nan,nan
22,0.86197785891989764,1.8632925663774685e-129,0.82932104175245436,1.8835120238645391e-40,0.85809554020710455,4.1969183367375882e-21,nan,nan
24,0.8608528276365589,7.3592315019994063e-126,0.82701567125475639,3.1440630430618583e-39,0.85809554020710455,4.1969183367375882e-21,nan,nan
26,0.85385809168655402,1.211022714687266e-120,0.81515953883215564,3.5013070554792145e-37,0.85805622136805759,9.7168441454938698e-21,nan,nan
28,0.82760926134807111,4.1702417782000394e-110,0.79870154490824863,1.6439377435332428e-34,0.81741036994897698,5.6107763135674555e-18,nan,nan
30,0.80605529921349595,2.2975715551416752e-101,0.75271732123236657,5.2789999180219637e-30,0.83975306412687367,3.4278864021183354e-18,0.79388418603744482,3.0534485128949219e-09
32,0.77411071571129886,2.7170596499963269e-91,0.73598563209216383,1.0833010738822696e-27,0.68959077933198565,8.1382334707080612e-12,0.47559486560567094,0.00065699026125388862
34,0.76534012902846826,1.0710869315175327e-86,0.71678795793409666,2.4431116825804174e-25,0.69075018850645264,4.9120325666469045e-13,0.47559486560567094,0.00065699026125388862
36,0.7740163970290963,8.1482020353224915e-85,0.74490756564985006,1.0925353677183623e-26,0.73865245202730967,3.762960535059635e-14,0.47286624374346042,0.00092257177822006409
38,0.7609368037153309,6.4552972207660263e-79,0.7078507162707165,6.2391608678708389e-30,0.79385989003015411,1.8228127032943926e-20,0.8705715001320139,5.9904516683259212e-09
40,0.75952699596393836,4.3526381062885273e-76,0.70813763787788697,1.8436607193390218e-29,0.79340754849775963,3.9148865782834881e-20,0.8705715001320139,5.9904516683259212e-09
42,0.76106204275505585,7.8096825717052209e-74,0.72498137699421461,3.0159172890141629e-29,0.78752295957984508,6.0947757972850588e-19,0.8705715001320139,5.9904516683259212e-09
44,0.74425934789927684,5.624597173476213e-68,0.70529727749539384,4.9193551588875035e-27,0.78189432053481611,8.668381579982721e-18,0.88212110949793177,1.5505841861076709e-09
46,0.70639168131949559,3.0874038546257254e-58,0.67404111947700518,6.1475151734739233e-24,0.75099788758163499,2.9866737395922855e-16,0.58583303355166239,9.061212767384729e-05
48,0.6955436633382257,2.2119975568000541e-54,0.65463553232929916,4.895193311935431e-22,0.72564392340379313,5.1684184533214972e-15,0.77560465622887897,1.419207330149344e-11
0,1.0,6.2272769642458307e-223,1.0,1.7626156959244331e-59,1.0,1.2213618246929016e-24,nan,nan
2,0.96110352832423829,5.0716732438037463e-202,0.8997091243329256,2.6745260713516799e-47,0.68116674256607979,5.022567346412906e-12,nan,nan
4,0.95638611497472237,4.8900087894594149e-196,0.87856936865636615,1.9925028942726132e-44,0.6296153723012845,4.3328130379930391e-10,nan,nan
6,0.93575294154964916,6.6484048542060634e-184,0.86626226962411157,9.1185130693587126e-42,0.85793673804996795,1.0120873890830868e-24,nan,nan
8,0.92867461134983942,2.2910311040619726e-177,0.86833770350666739,3.2225567265906864e-41,0.85793673804996795,1.0120873890830868e-24,nan,nan
10,0.92278933499400073,2.1081122009784291e-171,0.86833770350666739,3.2225567265906864e-41,0.85793673804996795,1.0120873890830868e-24,nan,nan
12,0.9080693562204486,2.0617791672046063e-162,0.85308996817645966,1.0638594963172267e-37,0.82824006451528298,1.8481730582570706e-21,nan,nan
14,0.9082733567624498,7.4899804893780669e-159,0.85272317428587996,2.5998452953535214e-37,0.82824006451528298,1.8481730582570706e-21,nan,nan
16,0.90784881170912468,4.4674630519447966e-155,0.85273404417145404,5.9046778438450442e-37,0.82783477013342133,4.2067071401459941e-21,nan,nan
18,0.90680999978217325,4.1777782041047837e-151,0.84003688978187196,1.4439899409065591e-35,0.80834001603849226,7.1540659086691313e-20,nan,nan
20,0.85783008523777038,1.7904334098100046e-131,0.76510243562406532,1.2198347914326496e-28,0.76577347895774817,7.7707267202037741e-17,0.5990941607621193,9.5243763808426965e-07
