missing,correlation,pvalue,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,1.0000000000000002,0.0,1.0,0.0,1.0,7.3176344649458944e-136,1.0,7.3176344649458944e-136
2,0.93388541929734326,0.0,0.7407975797848475,8.5145092135334556e-182,0.34298376497450223,7.686194092155229e-17,0.34298376497450223,7.686194092155229e-17
4,0.90091033262414977,0.0,0.69805259992606228,2.5822722688474466e-158,0.38375568696679596,2.9786275059456544e-20,0.38375568696679596,2.9786275059456544e-20
6,0.88114588095105839,0.0,0.72211685772717293,1.0067891213153456e-166,0.38609848734934482,2.4699142232467262e-20,0.38609848734934482,2.4699142232467262e-20
8,0.86719264216439085,0.0,0.68752118616780278,3.0636604403765767e-149,0.38189708388394888,1.0347975798530822e-19,0.38189708388394888,1.0347975798530822e-19
10,0.84569519197126231,0.0,0.7093347492437877,5.0656885297571144e-156,0.27709633551667667,7.3683119521251438e-11,0.27709633551667667,7.3683119521251438e-11
12,0.82696013688850034,0.0,0.68563278842510711,4.6152710149402074e-144,0.60710620265369586,1.2094518526043168e-77,0.43249659955108577,5.3438046436298723e-24
14,0.81234089398956677,0.0,0.68428467938869819,1.1356069549008333e-141,0.585479679032616,3.6362515814107786e-71,0.29218234073104565,1.4307268538568603e-11
16,0.80106503268949747,0.0,0.65087964458253589,1.1334776722413911e-125,0.57114134010576356,1.0792787286055455e-66,0.32027566144989822,2.3730251849556057e-13
18,0.77457052478149258,0.0,0.65396913412384539,1.6846989924439699e-123,0.63233509297238999,2.273661675496628e-79,0.32445905194330132,3.0351325981950835e-13
20,0.7577426729721366,0.0,0.55484983162208812,6.1529446188950727e-88,0.55405131799132967,2.5999703940931967e-60,0.36203360393497291,7.3480093855904385e-16
22,0.74179332345291682,0.0,0.50211625805936622,4.0204958299890667e-71,0.47891936711744726,9.9573860051522097e-45,0.44050291350229548,1.5451124096927691e-22
24,0.71076409058101464,0.0,0.52056035698827163,4.7912887770141445e-74,0.48455464927297515,8.7273953761425977e-44,0.41896053574021619,1.1338906419939675e-19
26,0.70383516760431464,0.0,0.51498279083461163,4.4522296242154979e-71,0.49238888766337513,2.5362079403274724e-44,0.44299256734365594,2.5395778875247534e-21
28,0.68194668081485255,0.0,0.51868093122483294,1.2625790130763145e-70,0.50930300657108385,1.5634908893100636e-46,0.4419582286689408,7.6322830327661809e-21
30,0.66642612374167609,0.0,0.48068724950840019,2.4840966526313312e-59,0.50480746937232224,3.0362060853053907e-44,0.41654795970961983,1.9590916251596965e-18
32,0.6560886762942516,1.4568780487945688e-301,0.50580674681993865,3.0398512089935178e-64,0.48947349302459514,3.1294372037436171e-41,0.41494417665111216,3.909490655955707e-18
34,0.61384216530001023,3.645006666055794e-251,0.47929907952331569,4.1609280129506798e-84,0.50005775712102218,5.4257841931239367e-41,0.42284706135502881,2.0349673583885991e-18
36,0.60351131584396511,5.4776344522239655e-232,0.49632565520820943,6.4901920919204348e-87,0.41748176510537216,1.7414593932092931e-28,0.31882467007809273,8.2079802729895285e-11
38,0.57902678628486592,6.5917402935333709e-202,0.49920440715782505,1.7425353740689483e-84,0.4031092998970956,4.5559537756013892e-25,0.16210942797125641,0.0014481067956279257
40,0.5371613772377527,7.0280138082480931e-165,0.45537261870461976,1.4445357847967262e-67,0.39435892624790936,4.598869702092082e-23,0.17091474760256817,0.0011602581893705938
42,0.53519838977350753,1.3927912753502971e-154,0.45623179350448273,1.1875434264400245e-64,0.40155083842976724,6.7265551463827574e-23,0.19104286616948715,0.00033638812461048422
44,0.54136687512441739,8.3974915996986019e-150,0.4603027471500748,7.1990858954177437e-63,0.4117718710464342,2.5096112551803383e-23,0.21550036145623819,6.536045590862903e-05
46,0.52600405216803647,1.2527345983645157e-134,0.41507309856393337,3.5461395315003326e-49,0.38324748900118799,7.697961100334835e-20,0.19352332300907188,0.00046141505747604856
48,0.49440011272325091,5.9059244919502199e-110,0.37497042698377897,1.3657234605581587e-38,0.31251904209113462,2.5428571893056566e-19,0.13013705396630645,0.020204379597871677
0,1.0000000000000002,0.0,1.0,0.0,1.0,7.3176344649458944e-136,1.0,7.3176344649458944e-136
2,0.96958220069378498,0.0,0.91176446747546425,1.4736898746173739e-277,0.86619086752737451,3.1826356831335832e-100,0.86619086752737451,3.1826356831335832e-100
4,0.93267570377529818,0.0,0.81974813311490202,1.7436934607326396e-221,0.76913004971763843,2.8877712877527341e-78,0.76913004971763843,2.8877712877527341e-78
6,0.90246530560863836,0.0,0.79133217586717408,4.3401518347340656e-204,0.74339853157148927,1.0666776197037104e-72,0.74339853157148927,1.0666776197037104e-72
8,0.87930149931363344,0.0,0.78538777380918745,3.8280224589154907e-197,0.68866634982499109,1.7338895762063759e-61,0.68866634982499109,1.7338895762063759e-61
10,0.853595918191836,0.0,0.77139149612363278,1.0082332569496605e-184,0.66431677786046817,2.1465142256992791e-55,0.66431677786046817,2.1465142256992791e-55
12,0.83503782970014118,0.0,0.72472736588930209,3.7544927647355589e-158,0.68861551839459001,2.4020721793092215e-99,0.64644825580319987,9.912448821914536e-52
14,0.81751562161703839,0.0,0.71421579553204184,3.6834498416345891e-151,0.67507808490633248,5.4361382223198894e-94,0.64058660179797577,1.2761184338543305e-49
16,0.78134690801894124,0.0,0.69193873445807563,2.5734849621804904e-137,0.62601105223317621,5.0917779089281779e-78,0.642822037981293,6.2992651919601435e-48
18,0.75319296169766281,0.0,0.65127351080996443,3.5315491588720875e-119,0.54143056644336851,1.1204161668813703e-57,0.52395863219010919,1.7803219430533035e-31
20,0.73923518227862184,0.0,0.63192159643758661,3.4500275908363706e-109,0.55992140483781672,2.5058908702134885e-60,0.53095521346307217,2.632865498233713e-31
22,0.7296684785934936,0.0,0.65193315361731563,5.7513984119767948e-113,0.58731141501674977,5.4276041162263597e-64,0.51485790946220722,1.7142250479136485e-28
24,0.70591280692812031,0.0,0.60984702236595179,1.5153335469484288e-96,0.52568465690705313,2.849881415271546e-50,0.45380027699628478,1.0979397638159223e-21
26,0.67802768013526438,0.0,0.57581444569852824,1.1792075015661622e-84,0.52027479206588922,2.3859415854955023e-48,0.39381123427940601,1.4518791643063786e-16
28,0.66919944424007149,0.0,0.62245661405610653,6.7946513128950823e-97,0.53854772507007131,2.9939134245098595e-51,0.43197277347341706,1.9793247256468408e-19
30,0.64587184119399443,1.8316746372805788e-310,0.5284812602941954,2.103604693731297e-108,0.48484472117057925,7.8057977974533839e-41,0.43055224897732003,9.1992338689944672e-19
32,0.62412072126649409,1.4223728588800293e-279,0.49923491572943307,3.8673424286766842e-94,0.40713044874544391,2.1395952003064768e-28,0.35913756122380164,3.9143853649652567e-13
34,0.60665356546638838,4.7974997917519001e-250,0.51143919818280714,4.0774718460977109e-95,0.39205118931250926,1.5274251947456582e-25,0.33789214508974874,2.4391599879706176e-11
36,0.60737779030749939,1.9462596039358188e-241,0.52487832840709614,7.6989998375645746e-97,0.43703618935223609,1.111370132862668e-30,0.33857250969493513,2.8958339986472641e-11
38,0.60622882694504632,1.0228740382366031e-224,0.53480765691195886,1.1044828183711874e-96,0.48374076416337669,7.9461632475659329e-36,0.37376394054249867,4.6419522440183255e-13
40,0.58409980206214751,2.0520454389137854e-197,0.51585032144196341,1.0737367254529434e-86,0.45872126838122046,1.8661173989853006e-31,0.35472220885703082,1.8051912302969721e-11
42,0.58910821559647808,2.726441832411717e-192,0.5391896695029883,7.7758170205975566e-92,0.4795914710771263,3.303417400821418e-33,0.37986971238543582,2.303698438433949e-12
44,0.54392812130007262,4.2404136702863095e-154,0.47616596086228846,1.3603100226130231e-68,0.41630268032865231,2.548830364155937e-24,0.26906374438825459,1.1200969746361568e-06
46,0.50306468263338244,1.1034797532350699e-123,0.45186014737924873,5.9977619619206188e-59,0.40777078187654942,1.6976469156546976e-22,0.22286973374878521,5.834106555987591e-05
48,0.50337794660884405,1.215400450436494e-116,0.4644504200125093,5.9114023569093083e-60,0.43296831326570678,1.1593186713383503e-34,0.27401726533806187,1.7046322053981159e-06
0,1.0000000000000002,0.0,1.0,0.0,1.0,7.3176344649458944e-136,1.0,7.3176344649458944e-136
2,0.95534444470574587,0.0,0.86105024011997644,4.7787984196010188e-247,0.70175591373335389,1.1296965833425164e-66,0.70175591373335389,1.1296965833425164e-66
4,0.92154617384298676,0.0,0.75112019995513291,8.3588579766503008e-184,0.65663981662573967,2.460140831886593e-57,0.65663981662573967,2.460140831886593e-57
6,0.90406951253230705,0.0,0.75800605492753459,3.2326318731555436e-183,0.66694460362195451,3.2157070013719056e-58,0.66694460362195451,3.2157070013719056e-58
8,0.87368218770837847,0.0,0.69342282843141778,6.7631237758153563e-150,0.40018505887986017,1.4393950334173426e-21,0.40018505887986017,1.4393950334173426e-21
10,0.8460436015390651,0.0,0.67615848686444879,8.0383492888154346e-139,0.23602800682442868,2.8948711552989126e-08,0.23602800682442868,2.8948711552989126e-08
12,0.81780451954204858,0.0,0.64728420679037824,6.7181443347639167e-124,0.58523329779857702,1.3480216004445051e-69,0.30210370546514437,2.5814955486642593e-12
14,0.80563295340790086,0.0,0.64529974147176627,1.0457287043169077e-120,0.61744671682791497,5.9697605675583823e-76,0.30023056700758133,4.3230368098807624e-12
16,0.77743486085244573,0.0,0.5973899621715657,2.0765103186981507e-100,0.57057663595258323,6.7936793965351033e-63,0.22764301481295232,3.1091768641445487e-07
18,0.75010487882270205,0.0,0.60331860202628373,1.6023278910847922e-99,0.52201580229767752,9.7674064020728517e-52,0.29433855468428849,6.7172505547089429e-11
20,0.73429882356083287,0.0,0.60978152826003951,6.8208549744283248e-99,0.52668828086601238,1.1077567858526662e-51,0.37523678996816895,1.9518366655007389e-16
22,0.72086598458115836,0.0,0.56159314548732864,6.1877691253574921e-83,0.46648817274108784,3.5632935038513645e-40,0.37087615392922962,9.4575458861934156e-16
24,0.68783515841239828,0.0,0.58177930146971235,2.2027839680585114e-85,0.51833080168511603,9.7452879263583131e-48,0.36181424820575575,1.1285831327043586e-14
26,0.66247094625512126,0.0,0.51034770403212748,6.3836094063048888e-105,0.47224531079933663,7.9106322296476685e-39,0.1488887542709755,0.0017900564312385177
