missing,correlation,pvalue,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,1.0000000000000002,0.0,1.0,0.0,1.0,7.3176344649458944e-136,1.0,7.3176344649458944e-136
2,0.99883312200921937,0.0,1.0,0.0,1.0,7.3176344649458944e-136,1.0,7.3176344649458944e-136
4,0.99737786179187193,0.0,1.0,0.0,1.0,7.3176344649458944e-136,1.0,7.3176344649458944e-136
6,0.99535727761164949,0.0,1.0,0.0,1.0,7.3176344649458944e-136,1.0,7.3176344649458944e-136
8,0.9935500149607519,0.0,1.0,0.0,1.0,7.3176344649458944e-136,1.0,7.3176344649458944e-136
10,0.98875393889980989,0.0,1.0,0.0,1.0,7.3176344649458944e-136,1.0,7.3176344649458944e-136
12,0.98894346064239935,0.0,1.0,0.0,1.0,7.3176344649458944e-136,1.0,7.3176344649458944e-136
14,0.98754362173390631,0.0,1.0000000000000002,0.0,1.0,7.3176344649458944e-136,1.0,7.3176344649458944e-136
16,0.98728788903696685,0.0,1.0000000000000002,0.0,1.0,7.3176344649458944e-136,1.0,7.3176344649458944e-136
18,0.98605659990907168,0.0,1.0000000000000002,0.0,1.0,7.3176344649458944e-136,1.0,7.3176344649458944e-136
20,0.98519094424604503,0.0,0.99999999999999989,0.0,1.0,7.3176344649458944e-136,1.0,7.3176344649458944e-136
22,0.98203661830377298,0.0,0.99865993966949818,7.3089656066424887e-281,1.0000000000000002,4.4796868243860887e-126,1.0000000000000002,4.4796868243860887e-126
24,0.98060462835825257,0.0,0.99591478418148427,4.3113254614113167e-287,1.0,1.7661215786453128e-130,1.0,1.7661215786453128e-130
26,0.96509392372517089,0.0,0.94674109033854248,0.0,0.98425262135601099,2.3626723556406422e-119,0.99999999999999989,9.4559781642392773e-71
28,0.95136519551366439,0.0,0.92310336962442374,1.8896191487453038e-289,0.91142668826559625,4.8320062524564372e-116,0.90907141962159688,9.4617736611762648e-89
30,0.93061230498341629,0.0,0.8971923136287604,1.9222762432465114e-255,0.85958722221052253,5.239480949607254e-98,0.89569917096414742,4.1717628817275904e-81
32,0.930137433628201,0.0,0.89730851475784279,2.5081216324069281e-254,0.85958722221052253,5.239480949607254e-98,0.89569917096414742,4.1717628817275904e-81
34,0.92583465501929174,0.0,0.89262780206716918,4.4380549391066089e-245,0.85958722221052253,5.239480949607254e-98,0.89569917096414742,4.1717628817275904e-81
36,0.91592128825648589,0.0,0.87841012272704999,3.2588270261798463e-227,0.86672644330044568,4.6988667891613233e-140,0.83499655704259013,6.0144210120031152e-66
38,0.90680473935523231,2.3649719858527415e-310,0.8679880439653328,5.920493327655056e-205,0.85776835411756569,1.4194610483477277e-128,0.84873195213866715,2.0044054985274522e-62
40,0.89283664076655722,7.5366929448662274e-289,0.84721122341212807,5.5040386910482627e-188,0.83594360490223096,4.1324313787273938e-118,0.83244171827945079,2.0160633119658962e-58
42,0.83245760639466615,7.2279323263693931e-220,0.80551945366080657,1.2139204998214276e-186,0.76237643985524295,1.2633677629298996e-82,0.73597798613406029,9.5250702367051303e-37
44,0.82740181186363138,7.6624959529676221e-205,0.80166471045542209,1.6621022477125217e-174,0.7272135834791934,3.6356469218982397e-70,0.63271247073648174,8.0047700847359021e-26
46,0.80815315962008183,2.3106256020277585e-168,0.80815315962008183,2.3106256020277585e-168,0.73480045787521042,2.0015031916250546e-100,0.66863817544732451,1.3877867972126605e-34
48,0.79286032964341624,1.3631171414592847e-156,0.79286032964341624,1.3631171414592847e-156,0.71573372612493602,2.2742829991552578e-92,0.66953215869241112,1.4331797224956448e-33
0,1.0000000000000002,0.0,1.0,0.0,1.0,7.3176344649458944e-136,1.0,7.3176344649458944e-136
2,0.99553825041679866,0.0,0.98186305939567287,0.0,1.0,7.3176344649458944e-136,1.0,7.3176344649458944e-136
4,0.9566033297135289,0.0,0.87575156129561083,4.1899110852664543e-234,0.87859191971277606,5.7485022726604756e-159,0.82833456677947759,4.4062894027514957e-83
6,0.95766127644294508,0.0,0.87575156129561083,4.1899110852664543e-234,0.87859191971277606,5.7485022726604756e-159,0.82833456677947759,4.4062894027514957e-83
8,0.95214891599105589,0.0,0.87992469864035339,3.3316015634921727e-224,0.87859191971277606,5.7485022726604756e-159,0.82833456677947759,4.4062894027514957e-83
10,0.94542806043026961,0.0,0.86190538573024655,2.6444370717221465e-200,0.85116045097395077,8.2015515495045169e-141,0.79235640255513695,1.0106680556985393e-69
12,0.88152186233129937,0.0,0.76737487571254082,1.189489405988953e-232,0.65276503884837145,3.4870375620545266e-73,0.33326494542786944,1.6327689400699456e-11
14,0.88016865018584922,0.0,0.75866562789126513,2.9590558670518055e-221,0.6505572856944446,1.8555137341614472e-71,0.33326494542786944,1.6327689400699456e-11
16,0.84926496751885983,0.0,0.73798471265631249,1.4763912071909012e-190,0.65491035925198449,3.02944647654153e-65,0.59802612727287963,1.8241129514873764e-30
18,0.84273019216104028,0.0,0.73515476477110431,1.1792245586199726e-180,0.63979877355724113,6.1081718328059765e-59,0.47153154515516149,4.0058343007769085e-18
20,0.83585692827335378,0.0,0.70584692498087898,4.0632653634389757e-160,0.54124068844068529,5.8359224043774118e-41,0.53157647863545388,6.2370047506424607e-21
22,0.76477939247274362,0.0,0.5841287438000955,2.0502181783282424e-94,0.52418749739945825,1.7261608646617326e-46,0.44738663240217902,8.6563929664710829e-24
24,0.76921324254504631,0.0,0.58865986109325596,3.8588677668828701e-93,0.51601481018011019,1.1456077831494787e-43,0.44738663240217902,8.6563929664710829e-24
26,0.75974073195694714,1.581260419411417e-203,0.71024616503138305,2.0962955728113318e-157,0.57175269827025366,6.3552732943109291e-52,0.45496449849162374,1.5375912734984939e-19
28,0.76267333541514903,1.499272004916168e-196,0.7136181256371622,6.5930110395047196e-152,0.58995615963370285,3.8455490253477374e-54,0.45974373384078299,5.0467169937678309e-20
30,0.75797996537087708,1.5220119271857516e-188,0.71079145807354749,5.1537306974074701e-147,0.58564016330893021,4.9447082576777625e-52,0.46039221182677381,2.4224017518589574e-19
