change,correlation_100,pvalue_100,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,1.0000000000000002,0.0,1.0,0.0,1.0,0.0,0.99999999999999989,0.0
2,0.99999275286894951,0.0,1.0,0.0,1.0,0.0,1.0000000000000002,0.0
4,0.99999275286894951,0.0,1.0,0.0,1.0,0.0,1.0000000000000002,0.0
6,0.99998912971800824,0.0,1.0,0.0,1.0,0.0,1.0000000000000002,0.0
8,0.99997874412057519,0.0,1.0,0.0,1.0,0.0,1.0000000000000002,0.0
10,0.99997874412057519,0.0,1.0,0.0,1.0,0.0,1.0000000000000002,0.0
12,0.9999595923961383,0.0,0.99997136746427628,0.0,1.0,0.0,1.0000000000000002,0.0
14,0.99992305373013179,0.0,0.99997136746427628,0.0,1.0,0.0,1.0000000000000002,0.0
16,0.99991848415878504,0.0,0.99991643121827078,0.0,0.99977930723994091,0.0,0.99911065995575521,0.0
18,0.99988246627990007,0.0,0.99991643121827078,0.0,0.99977930723994091,0.0,0.99911065995575521,0.0
20,0.99986991877570841,0.0,0.99991643121827078,0.0,0.99977930723994091,0.0,0.99911065995575521,0.0
22,0.99981286664905655,0.0,0.99991643121827078,0.0,0.99977930723994091,0.0,0.99911065995575521,0.0
24,0.99979356140080622,0.0,0.9998019746885165,0.0,0.99977930723994091,0.0,0.99911065995575521,0.0
26,0.99977838546208708,0.0,0.9998019746885165,0.0,0.99977930723994091,0.0,0.99911065995575521,0.0
28,0.99976753379756822,0.0,0.9998019746885165,0.0,0.99977930723994091,0.0,0.99911065995575521,0.0
30,0.99972328020344781,0.0,0.9998019746885165,0.0,0.99977930723994091,0.0,0.99911065995575521,0.0
32,0.99970480109718707,0.0,0.9998019746885165,0.0,0.99977930723994091,0.0,0.99911065995575521,0.0
34,0.9996766753085975,0.0,0.9998019746885165,0.0,0.99977930723994091,0.0,0.99911065995575521,0.0
36,0.99966944666715718,0.0,0.9998019746885165,0.0,0.99977930723994091,0.0,0.99911065995575521,0.0
38,0.9996536670646633,0.0,0.9998019746885165,0.0,0.99977930723994091,0.0,0.99911065995575521,0.0
40,0.99962787810151321,0.0,0.9998019746885165,0.0,0.99977930723994091,0.0,0.99911065995575521,0.0
42,0.99960287988294416,0.0,0.9998019746885165,0.0,0.99977930723994091,0.0,0.99911065995575521,0.0
44,0.99958140037765653,0.0,0.9998019746885165,0.0,0.99977930723994091,0.0,0.99911065995575521,0.0
