truss_number,change_0,change_2,change_4,change_6,change_8,change_10,change_12,change_14,change_16,change_18,change_20,change_22,change_24,change_26,change_28,change_30,change_32,change_34,change_36,change_38,change_40,change_42,change_44,change_46,change_48
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11500.0,12108.6,12762.9,13442.5,14052.299999999999,14664.5,15243.0,15832.1,16354.200000000001,16880.0,17417.299999999999,17878.700000000001,18274.5,18659.400000000001,19045.700000000001,19360.599999999999,19623.799999999999,19849.799999999999,20039.700000000001,20163.200000000001,20243.5,20168.0,19964.299999999999,19735.200000000001,19407.900000000001
4,14524.0,14960.4,15381.700000000001,15689.200000000001,16002.0,16238.799999999999,16511.400000000001,16720.900000000001,16916.200000000001,16991.099999999999,17083.400000000001,17059.099999999999,17007.799999999999,16930.099999999999,16769.700000000001,16503.900000000001,16201.200000000001,15869.5,15286.5,14694.1,13983.700000000001,13201.700000000001,12377.9,11407.700000000001,10302.0
5,12208.0,12646.4,12902.0,13156.0,13292.6,13491.1,13474.5,13400.1,13214.6,13119.799999999999,12876.0,12561.0,12165.6,11687.9,11149.6,10544.299999999999,9802.3999999999996,8961.5,8187.6999999999998,7177.3999999999996,6125.6000000000004,5228.8000000000002,4321.6999999999998,3821.0,3094.3000000000002
6,10339.0,10547.0,10766.4,10844.9,10870.0,10766.200000000001,10543.299999999999,10255.700000000001,10014.799999999999,9528.7000000000007,8979.7000000000007,8371.2000000000007,7841.3000000000002,7084.6000000000004,6169.6000000000004,5351.6000000000004,4533.5,3608.0999999999999,2836.0999999999999,2249.0999999999999,1954.8,1431.2,1105.4000000000001,712.83333333333337,423.80000000000001
7,8720.0,9080.0,9182.1000000000004,9132.5,8628.2000000000007,8133.1999999999998,7827.3999999999996,7341.1000000000004,6731.1000000000004,6176.3999999999996,5467.1999999999998,4759.8000000000002,3865.0,3190.9000000000001,2556.9000000000001,1916.3,1467.9000000000001,1180.5,1045.0,748.60000000000002,552.66666666666663,346.60000000000002,0,0,0
8,7811.0,7696.6999999999998,7123.3999999999996,6570.8000000000002,6250.8000000000002,5858.3000000000002,5436.5,4727.1999999999998,3981.5999999999999,3222.5999999999999,2605.8000000000002,1983.2,1560.5999999999999,1118.4000000000001,845.79999999999995,827.29999999999995,640.33333333333337,508.0,494.5,366.0,0,0,0,0,0
9,6036.0,5742.8000000000002,5310.8999999999996,4940.5,4539.3000000000002,3842.0999999999999,2927.4000000000001,2427.0,1921.5,1482.7,1092.8,893.29999999999995,590.29999999999995,614.0,520.60000000000002,387.60000000000002,315.75,490.0,0,0,0,0,0,0,0
10,4995.0,4195.1999999999998,3832.5999999999999,3333.5,2678.4000000000001,2108.6999999999998,1603.8,1297.0999999999999,1038.5999999999999,812.5,577.70000000000005,410.69999999999999,446.60000000000002,416.39999999999998,358.0,410.0,0,0,0,0,0,0,0,0,0
11,3521.0,3261.9000000000001,2827.5999999999999,2123.4000000000001,1563.0,1209.2,1047.3,805.39999999999998,491.5,237.40000000000001,284.39999999999998,362.625,304.75,471.0,217.0,0,0,0,0,0,0,0,0,0,0
12,2711.0,2320.5,1749.0999999999999,1186.5999999999999,997.39999999999998,783.39999999999998,512.29999999999995,225.90000000000001,219.90000000000001,268.5,294.85714285714283,320.0,400.0,0,0,0,0,0,0,0,0,0,0,0,0
13,2190.0,1485.3,1005.1,850.70000000000005,609.20000000000005,391.69999999999999,251.40000000000001,240.80000000000001,293.66666666666669,318.57142857142856,348.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1394.0,1063.0999999999999,784.89999999999998,545.70000000000005,338.39999999999998,182.90000000000001,161.59999999999999,236.66666666666666,204.40000000000001,223.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1146.0,646.20000000000005,408.5,247.90000000000001,140.59999999999999,166.30000000000001,321.0,198.25,272.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,676.0,323.60000000000002,242.0,112.09999999999999,72.099999999999994,398.75,349.33333333333331,289.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,523.0,353.0,129.19999999999999,63.299999999999997,274.69999999999999,294.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,153.0,120.40000000000001,20.199999999999999,234.0,366.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,540.0,40.0,233.59999999999999,283.83333333333331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.0,218.80000000000001,170.0,314.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0.0,166.44444444444446,380.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,41.0,107.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,253.0,325.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
