truss_number,change_0,change_2,change_4,change_6,change_8,change_10,change_12,change_14,change_16,change_18,change_20,change_22,change_24,change_26,change_28,change_30,change_32,change_34,change_36,change_38,change_40,change_42,change_44,change_46,change_48
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2105.0,2124.6999999999998,2124.6999999999998,2124.6999999999998,2124.6999999999998,2124.6999999999998,2124.6999999999998,2124.6999999999998,2124.6999999999998,2124.6999999999998,2124.6999999999998,2124.6999999999998,2124.6999999999998,2124.6999999999998,2124.6999999999998,2124.6999999999998,2124.6999999999998,2124.6999999999998,2124.6999999999998,2124.6999999999998,2124.6999999999998,2124.6999999999998,2124.6999999999998,2124.6999999999998,2124.6999999999998
13,2190.0,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.1999999999998,2176.1999999999998,2176.1999999999998,2176.1999999999998,2176.1999999999998,2176.0999999999999,2176.0999999999999,2176.0999999999999
14,1394.0,1394.0,1394.0,1394.0,1394.0,1394.0,1394.0,1394.0,1394.0,1394.0,1394.0,1394.0,1394.0,1394.0,1394.0,1394.0,1394.0,1394.0999999999999,1394.0999999999999,1394.0999999999999,1394.0999999999999,1394.0999999999999,1394.2,1394.2,1394.2
15,1146.0,1146.0,1146.0,1146.0,1145.0999999999999,1145.0999999999999,1145.0999999999999,1145.0999999999999,1144.2,1144.2,1144.2,1144.2,1144.2,1144.2,1144.2,1144.2,1144.2,1144.2,1144.2,1144.2,1144.2,1144.2,1144.2,1144.2,1144.2
16,676.0,670.0,670.0,670.0,670.89999999999998,670.89999999999998,670.89999999999998,670.89999999999998,671.79999999999995,671.79999999999995,671.79999999999995,671.79999999999995,671.79999999999995,671.79999999999995,671.79999999999995,671.79999999999995,671.79999999999995,671.79999999999995,671.79999999999995,671.79999999999995,671.79999999999995,671.79999999999995,671.79999999999995,671.79999999999995,671.79999999999995
17,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0
18,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0
19,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
23,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
