change,correlation_100,pvalue_100,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,1.0000000000000002,0.0,1.0,0.0,1.0000000000000002,0.0,1.0,0.0
2,0.98526558435454059,0.0,0.96247193053741154,0.0,0.95072591380096727,0.0,0.94076624304882706,0.0
4,0.97147480184629798,0.0,0.93338871702076176,0.0,0.93494384382593265,0.0,0.92058594135560123,0.0
6,0.95877344219749838,0.0,0.91274993877001076,0.0,0.87411851083391412,0.0,0.88426195811932373,0.0
8,0.94567122774345336,0.0,0.89165004362520262,0.0,0.84930327219553847,0.0,0.83769521720776985,0.0
10,0.93056670888668336,0.0,0.86394549445120805,0.0,0.83508838829811305,0.0,0.80511441371112147,0.0
12,0.91831501590124698,0.0,0.84138997709245589,0.0,0.82153355319194843,0.0,0.74844690392829494,0.0
14,0.90437932986422864,0.0,0.81735945223082285,0.0,0.79229980696646796,0.0,0.75677049476790759,0.0
16,0.89486850127940176,0.0,0.80621997100819875,0.0,0.77325144219592767,0.0,0.75193581852443081,0.0
18,0.88136766929815591,0.0,0.79070665910869509,0.0,0.73864636351968949,0.0,0.72907430557327391,0.0
20,0.86855838575589472,0.0,0.7726838056517209,0.0,0.72687743209338407,0.0,0.72970912608685912,0.0
22,0.85791908223128255,0.0,0.75341654355545518,0.0,0.7163387234963704,0.0,0.7132485067342722,0.0
24,0.84626004011618505,0.0,0.73655749607761434,0.0,0.70262172972651304,0.0,0.69234892994425801,0.0
26,0.83486936596265449,0.0,0.72205756480956662,0.0,0.69628290701673901,0.0,0.66972953832208149,0.0
28,0.82493963162925787,0.0,0.69554114479270202,0.0,0.67426892235723646,0.0,0.66012383877506886,0.0
30,0.81312984415864276,0.0,0.69472418201051522,0.0,0.66668114020519542,0.0,0.62561667343754734,0.0
32,0.80110448548185464,0.0,0.68002634080215474,0.0,0.6602247933499612,0.0,0.62504780596192311,0.0
34,0.79035261150444858,0.0,0.67635802302263126,0.0,0.62520770559165839,0.0,0.64713456726770546,0.0
36,0.78208872900278203,0.0,0.6812787393049734,0.0,0.62736177409083316,0.0,0.66313684110746052,0.0
38,0.77307696694065509,0.0,0.66510745179514863,0.0,0.64325699505431799,0.0,0.62442381823872806,1.9527812289550886e-304
40,0.75939072887342751,0.0,0.65169475057935222,0.0,0.63101128550212437,0.0,0.63249205913412121,2.1680671574899012e-290
42,0.74776443027285844,0.0,0.6349788645025195,0.0,0.61906351531268122,0.0,0.63510710909362289,1.2376879822104576e-274
44,0.74105631489510615,0.0,0.6318403608975991,0.0,0.62057889308437941,0.0,0.6111930034863472,1.1013706916695743e-235
46,0.73013546343138624,0.0,0.61180510106971109,0.0,0.61146607655912733,0.0,0.61708747526977492,1.2281488022631909e-223
48,0.72070551874008726,0.0,0.59728429911765557,0.0,0.5793081934511296,0.0,0.568799508659943,2.1462666989213909e-176
0,1.0000000000000002,0.0,1.0,0.0,1.0000000000000002,0.0,1.0,0.0
2,0.9858978128048389,0.0,0.9689081657052947,0.0,0.9658393077307863,0.0,0.94990992237155891,0.0
4,0.97252451401474593,0.0,0.94343653022243013,0.0,0.92632338612523424,0.0,0.93168862952819975,0.0
6,0.95901046097396037,0.0,0.91325919721132187,0.0,0.89580684490706763,0.0,0.89450468896182578,0.0
8,0.94529105112086431,0.0,0.89296806243326732,0.0,0.86893147305164653,0.0,0.8488445233955243,0.0
10,0.93329212625401325,0.0,0.87598226938092938,0.0,0.84787968913033862,0.0,0.83126141476284887,0.0
12,0.9225975477131525,0.0,0.86524540774595338,0.0,0.82698236492499222,0.0,0.82241716583199387,0.0
14,0.91088453484653831,0.0,0.84453388724369582,0.0,0.8091624146100822,0.0,0.81345469694298345,0.0
16,0.90020700998540526,0.0,0.83023861207973482,0.0,0.78885221740730338,0.0,0.79193122102306368,0.0
18,0.8897400938847313,0.0,0.81284990304907945,0.0,0.77679638778736348,0.0,0.77322614598448614,0.0
20,0.87842002220888804,0.0,0.79472438652944033,0.0,0.76008803770451638,0.0,0.73696520892976636,0.0
22,0.86988064779142238,0.0,0.77986737131769079,0.0,0.74855789780174797,0.0,0.71399592653747301,0.0
24,0.8586685539476886,0.0,0.76353075444162399,0.0,0.73261751257133834,0.0,0.72907352796926816,0.0
26,0.8462470115727706,0.0,0.74406437111544332,0.0,0.71299583180947379,0.0,0.73550922307986855,0.0
28,0.83494512504990925,0.0,0.71690610003639488,0.0,0.70025084151557793,0.0,0.70154243204080091,0.0
30,0.82399192334398075,0.0,0.69206158739352819,0.0,0.69770069360625353,0.0,0.67687422830215183,0.0
32,0.81207889454017002,0.0,0.68124063731553586,0.0,0.6906000810353724,0.0,0.67314667073096068,0.0
34,0.79959213895961745,0.0,0.6715617907587601,0.0,0.66870078659814847,0.0,0.66447091184403073,0.0
36,0.78882458434624025,0.0,0.66148416528777321,0.0,0.63247234485362747,0.0,0.62011576371546939,0.0
38,0.77691309966354183,0.0,0.65451136466073434,0.0,0.59356520329861551,0.0,0.64839737159853461,0.0
40,0.76727981489379016,0.0,0.65281710053196862,0.0,0.59860387149603445,0.0,0.60489237266597717,2.6766251460679707e-273
42,0.7541455879099469,0.0,0.63515711931495678,0.0,0.60719039351351312,0.0,0.55632233627487448,1.2188815780622021e-213
44,0.74284709708942198,0.0,0.62381254761395422,0.0,0.57540508952599623,0.0,0.57944599817536235,3.253073479926116e-212
46,0.73572936155779478,0.0,0.62918951753939711,0.0,0.56221615677609693,0.0,0.52661115017602766,9.4304072114895322e-163
48,0.72659674430014876,0.0,0.60128882331526068,0.0,0.53216469832899926,2.2180917928817426e-304,0.4353382677073856,4.8283228587779932e-103
0,1.0000000000000002,0.0,1.0,0.0,1.0000000000000002,0.0,1.0,0.0
2,0.98366413497362459,0.0,0.94374378062702846,0.0,0.94345106854901795,0.0,0.95799237089547495,0.0
4,0.97150708732221258,0.0,0.92565270514649256,0.0,0.9168629240570102,0.0,0.92779409966678339,0.0
6,0.95724017445828846,0.0,0.90581360915261977,0.0,0.88425956177075427,0.0,0.88197721853100342,0.0
8,0.94470790569820884,0.0,0.8858663435854055,0.0,0.85155827666633643,0.0,0.85522470918629034,0.0
10,0.9321629022551785,0.0,0.85990923068114289,0.0,0.83210648978743051,0.0,0.82220011697700801,0.0
12,0.91915668987574983,0.0,0.83994613300604337,0.0,0.79690562693697686,0.0,0.80853441788340918,0.0
14,0.90836373637998336,0.0,0.82192573005048464,0.0,0.7800005323572845,0.0,0.82066070172266503,0.0
16,0.89689863164539585,0.0,0.79832358853530483,0.0,0.77434998071725414,0.0,0.79542486533596113,0.0
18,0.88401115319201362,0.0,0.7736919541349383,0.0,0.75326731196384222,0.0,0.75857535849428237,0.0
20,0.87031160587985334,0.0,0.74797275410765862,0.0,0.68666712385580797,0.0,0.66596617980073414,0.0
22,0.85694114786879616,0.0,0.72103118438397551,0.0,0.65869052728777866,0.0,0.68210511107272287,0.0
24,0.84391822809551154,0.0,0.70519542672599012,0.0,0.6606517232826532,0.0,0.67676098400811602,0.0
