missing,correlation,pvalue
0,1.0,0.0
2,0.97631503586379176,0.0
4,0.9594100217422652,0.0
6,0.9453773752842094,0.0
8,0.93369238010987909,0.0
10,0.92256759667228794,0.0
12,0.91322169597120118,0.0
14,0.90382328524947764,0.0
16,0.89438023606939066,0.0
18,0.88599302017756809,0.0
20,0.87711487938792887,0.0
22,0.86814922811352235,0.0
24,0.86012033172672775,0.0
26,0.85110623288556664,0.0
28,0.84334538483893184,0.0
30,0.83468440785382303,0.0
32,0.82568625895019376,0.0
34,0.81627974721797925,0.0
36,0.80890862151814913,0.0
38,0.79952964287628869,0.0
40,0.79014240648535872,0.0
42,0.77984128464634117,0.0
44,0.77105249760084871,0.0
46,0.76076243705941116,0.0
48,0.75061146837988646,0.0
0,1.0,0.0
2,0.97545997471931756,0.0
4,0.95929814264218227,0.0
6,0.94549543719385243,0.0
8,0.9337981731567111,0.0
10,0.92267650627060016,0.0
12,0.91388736232782697,0.0
14,0.90294455388549777,0.0
16,0.89272384634356305,0.0
18,0.88387890614241504,0.0
20,0.87452067670029154,0.0
22,0.86593619426127988,0.0
24,0.85862393996719466,0.0
26,0.84986209430750204,0.0
28,0.84092744981236578,0.0
30,0.8337636210625553,0.0
32,0.82594772727315036,0.0
34,0.81872376637963884,0.0
36,0.80942095480526233,0.0
38,0.8006914931687763,0.0
40,0.79122733409812851,0.0
42,0.77947710630293743,0.0
44,0.77101461967694129,0.0
46,0.76137698378790497,0.0
48,0.75020680613880841,0.0
0,1.0,0.0
2,0.97740575498689475,0.0
4,0.96016093602772357,0.0
6,0.94618877770922738,0.0
8,0.93393168766634871,0.0
10,0.92414016009982214,0.0
12,0.91309511378460539,0.0
14,0.90356541278504965,0.0
16,0.89404480742202919,0.0
18,0.88490439068769744,0.0
20,0.87638591955038092,0.0
22,0.86744098451245477,0.0
24,0.85954385802482203,0.0
26,0.85117201610339188,0.0
28,0.84254134685806326,0.0
30,0.83277852256894169,0.0
32,0.82407905500999146,0.0
34,0.81558065784593015,0.0
36,0.80638812270709304,0.0
38,0.7971185804165356,0.0
40,0.78876930047951677,0.0
42,0.77932232723791028,0.0
44,0.77157447993942851,0.0
46,0.76333184055615022,0.0
48,0.7517992284378312,0.0
0,1.0,0.0
2,0.97657608417700925,0.0
4,0.95941742610823333,0.0
6,0.94600250084061044,0.0
8,0.93283969182051818,0.0
10,0.92246048008947956,0.0
12,0.91344106266080538,0.0
14,0.90323997687297208,0.0
16,0.89379197972739799,0.0
18,0.88527465713703246,0.0
20,0.87563843635860295,0.0
22,0.86721215772526938,0.0
24,0.85771279006506274,0.0
26,0.84836579153157354,0.0
28,0.8388966493361123,0.0
30,0.83041826565223231,0.0
32,0.82095897256557837,0.0
34,0.81392947110469904,0.0
36,0.80557067237585234,0.0
38,0.79546119115698188,0.0
40,0.78861515510058755,0.0
42,0.7794679991800042,0.0
44,0.76981919058949211,0.0
46,0.76129392885395974,0.0
48,0.75165527690601641,0.0
0,1.0,0.0
2,0.97689310110332972,0.0
4,0.96060157361659926,0.0
6,0.94589580195606437,0.0
8,0.93337216350249297,0.0
10,0.92197914868554698,0.0
12,0.91224234049078201,0.0
14,0.90261283660394598,0.0
