missing,correlation,pvalue
0,1.0,0.0
2,0.98288984215651709,0.0
4,0.96835177355694069,0.0
6,0.95558019239434255,0.0
8,0.94349795449437446,0.0
10,0.93113338713585847,0.0
12,0.92023877947097332,0.0
14,0.90934538247170427,0.0
16,0.89922120541505346,0.0
18,0.88999708636177788,0.0
20,0.87753256762830456,0.0
22,0.86640899566874297,0.0
24,0.85545830165370718,0.0
26,0.84492037567638922,0.0
28,0.83603152518775792,0.0
30,0.82539836180981319,0.0
32,0.81591169766759009,0.0
34,0.80602839842677276,0.0
36,0.79615525771540507,0.0
38,0.78757698120237518,0.0
40,0.77573094713762258,0.0
42,0.76683677071943779,0.0
44,0.75361427404949799,0.0
46,0.74710596888906555,0.0
48,0.73582407607047706,0.0
0,1.0,0.0
2,0.98399325251032344,0.0
4,0.97093607639724033,0.0
6,0.95504549238307956,0.0
8,0.94103002400437485,0.0
10,0.92981614953449454,0.0
12,0.92017895476514222,0.0
14,0.91032224412357376,0.0
16,0.89988407649000768,0.0
18,0.88911999395543695,0.0
20,0.87924726181461921,0.0
22,0.87030953160742941,0.0
24,0.85810652313697555,0.0
26,0.84784159552785998,0.0
28,0.8371960391314528,0.0
30,0.82618684301574841,0.0
32,0.81596236710763892,0.0
34,0.80443761064339458,0.0
36,0.79520871830500717,0.0
38,0.78384111596271966,0.0
40,0.77350844750477732,0.0
42,0.76164825050998763,0.0
44,0.7524775423837573,0.0
46,0.74336649893811657,0.0
48,0.73411938501304663,0.0
0,1.0,0.0
2,0.98222330016738535,0.0
4,0.96691221558795015,0.0
6,0.95422502878826465,0.0
8,0.94171724954274183,0.0
10,0.92912497846591902,0.0
12,0.91678279691032394,0.0
14,0.90503494571337129,0.0
16,0.89397522199417767,0.0
18,0.88360583935638315,0.0
20,0.87461482037609195,0.0
22,0.86213523884891696,0.0
24,0.85094006729066951,0.0
26,0.84191701721246182,0.0
28,0.83031950704770663,0.0
30,0.81820403100969963,0.0
32,0.80832643306375329,0.0
34,0.79765601591331114,0.0
36,0.78803064943816148,0.0
38,0.77783713516725772,0.0
40,0.76505766460854752,0.0
42,0.75676131669991664,0.0
44,0.74624444847040183,0.0
46,0.73074375040345019,0.0
48,0.71780909540754134,0.0
0,1.0,0.0
2,0.98493958833544559,0.0
4,0.97043403395526318,0.0
6,0.95647471749461854,0.0
8,0.94357657936072814,0.0
10,0.93119986692099221,0.0
12,0.92012257977145051,0.0
14,0.91060671489789291,0.0
16,0.90026547623354802,0.0
18,0.88982550927720772,0.0
20,0.87960926945040951,0.0
22,0.86720703645536923,0.0
24,0.85393042940612329,0.0
26,0.84433287022176307,0.0
28,0.83253188292265579,0.0
30,0.82349510610394649,0.0
32,0.81262741004121308,0.0
34,0.803579354445217,0.0
36,0.79667535579205384,0.0
38,0.78322637157378794,0.0
40,0.77171209306198418,0.0
42,0.76199666658952403,0.0
44,0.75319158800189523,0.0
46,0.74319568726684637,0.0
48,0.73092259769867973,0.0
0,1.0,0.0
2,0.98429023999963461,0.0
4,0.97025781862573768,0.0
6,0.9564237736504031,0.0
8,0.94259785079823122,0.0
10,0.93133586253947953,0.0
12,0.91975969400570834,0.0
14,0.90784436618188813,0.0
16,0.89699939780447036,0.0
18,0.88677363930671704,0.0
20,0.87684103477406106,0.0
22,0.86759501975948317,0.0
24,0.85743128701731386,0.0
26,0.84637874994471174,0.0
28,0.83518830276523814,0.0
30,0.82578904676898879,0.0
32,0.81669378019834526,0.0
34,0.80798813471924358,0.0
36,0.79898911942527828,0.0
38,0.78755260416275574,0.0
40,0.78065704541578718,0.0
42,0.76737685500907427,0.0
44,0.75308454542214687,0.0
46,0.74016301287391639,0.0
48,0.7282145722678206,0.0
0,1.0,0.0
2,0.98135683924849126,0.0
4,0.9682738165327639,0.0
6,0.95319664728187192,0.0
8,0.93986434689298914,0.0
10,0.92841302694705297,0.0
12,0.9156098235058846,0.0
14,0.90553284648159849,0.0
16,0.89475098056956082,0.0
18,0.88304383877526127,0.0
20,0.87367971854988213,0.0
22,0.86348638648727261,0.0
24,0.85260018729702525,0.0
26,0.84372664756460325,0.0
28,0.83425801212001593,0.0
30,0.82465452845199205,0.0
32,0.81278538863016114,0.0
34,0.80386205133738731,0.0
36,0.79527479204953655,0.0
38,0.78509537875418312,0.0
40,0.77408120712797368,0.0
42,0.76272460288955279,0.0
44,0.75128438381815177,0.0
46,0.73912181157872014,0.0
48,0.73022449013423152,0.0
0,1.0,0.0
2,0.98476041607512776,0.0
4,0.969929356752261,0.0
6,0.95612890682122131,0.0
8,0.94307019910429468,0.0
10,0.93135618436559253,0.0
12,0.91937520518595162,0.0
14,0.90737415575808433,0.0
16,0.89507874905579754,0.0
18,0.88707259929505311,0.0
20,0.87568583968079128,0.0
22,0.86655458283751441,0.0
24,0.85729297487917799,0.0
26,0.84744480288433344,0.0
28,0.83479512768360831,0.0
30,0.82338647975355839,0.0
32,0.81301045590436916,0.0
34,0.80050903452183952,0.0
36,0.78582453982888412,0.0
38,0.77593588154677418,0.0
40,0.76659155590383343,0.0
42,0.75708749377445361,0.0
44,0.74262320805650794,0.0
46,0.73344652096863228,0.0
48,0.72497453675556489,0.0
0,1.0,0.0
2,0.98330805191376058,0.0
4,0.96934903856227295,0.0
6,0.95593117613688461,0.0
8,0.94417465527268285,0.0
10,0.93164340513978094,0.0
12,0.91918224666125781,0.0
14,0.90801824592973912,0.0
16,0.89738028035275907,0.0
18,0.88765934310263295,0.0
20,0.8778989697427152,0.0
22,0.86841500919570291,0.0
24,0.85880125195776247,0.0
26,0.84909728012768759,0.0
28,0.83934056504672827,0.0
30,0.83003248209653979,0.0
32,0.82017195641818774,0.0
34,0.80933017317538902,0.0
36,0.79810515076598953,0.0
38,0.78779977907764043,0.0
40,0.77757893001882727,0.0
42,0.76797279239319505,0.0
44,0.75422177436200244,0.0
46,0.74201085049726279,0.0
48,0.72810145066308163,0.0
0,1.0,0.0
2,0.98471017168404196,0.0
4,0.97150564406970552,0.0
6,0.9577726672548772,0.0
8,0.94425417787157229,0.0
10,0.932591470905207,0.0
12,0.91987012104832888,0.0
14,0.90732302642809637,0.0
16,0.89693045365395463,0.0
18,0.88529420572150197,0.0
20,0.87646882311258556,0.0
22,0.86643297445239664,0.0
24,0.85391693356554321,0.0
26,0.84272736773254198,0.0
28,0.83241383576153005,0.0
30,0.82260144882928887,0.0
32,0.81269016094663726,0.0
34,0.80089054763759482,0.0
36,0.79086435233676411,0.0
38,0.78066843943230413,0.0
40,0.76915123623528225,0.0
42,0.76330445817428849,0.0
44,0.75291987939810634,0.0
46,0.74164015912996806,0.0
48,0.72781051251182016,0.0
0,1.0,0.0
2,0.98500068395927176,0.0
4,0.97041665740563499,0.0
6,0.95724367806516031,0.0
8,0.94558987956762142,0.0
10,0.93340456129633642,0.0
12,0.92112319739672699,0.0
14,0.90976473922581258,0.0
16,0.8970889681758939,0.0
18,0.88704655655337239,0.0
20,0.87591472624525002,0.0
22,0.8657220853446701,0.0
24,0.8541975353228296,0.0
26,0.84279172842037442,0.0
28,0.83116147241485239,0.0
30,0.82156269655569769,0.0
32,0.81097612603317581,0.0
34,0.80352485360153658,0.0
36,0.79103134812113929,0.0
38,0.77975924907999916,0.0
40,0.76707980334316761,0.0
42,0.75507960968116672,0.0
44,0.74240510856444741,0.0
46,0.73203230768357552,0.0
48,0.72486209989059069,0.0
