change,correlation_100,pvalue_100,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,1.0,0.0,1.0,0.0,0.99999999999999989,0.0,1.0,0.0
2,0.97554940074948615,0.0,0.90697118046743519,0.0,0.88924839152159396,0.0,0.87385785545114913,0.0
4,0.95833648630626345,0.0,0.86516428661190325,0.0,0.84522258604254064,0.0,0.84322164245031905,0.0
6,0.94577859413043408,0.0,0.85728887286776079,0.0,0.84173791988210056,0.0,0.82141468008375096,0.0
8,0.93385403141085344,0.0,0.84345836378405947,0.0,0.82745362741478046,0.0,0.79136243757308178,0.0
10,0.92295293559555502,0.0,0.82701645097176935,0.0,0.80301235640049307,0.0,0.7668250196091011,0.0
12,0.91190895415190609,0.0,0.81482741698723737,0.0,0.79201390683812645,0.0,0.76682601021418106,0.0
14,0.90209158709391801,0.0,0.79902124170223687,0.0,0.77447325855741556,0.0,0.7546224152445733,0.0
16,0.89317861403292775,0.0,0.79059137913565836,0.0,0.77650336800502384,0.0,0.76141247404349222,0.0
18,0.88406113109711248,0.0,0.77752807092862986,0.0,0.76260751554070771,0.0,0.73282155700070839,8.5705039172507517e-305
20,0.87472699623102601,0.0,0.77521150177771447,0.0,0.75028732790684427,0.0,0.70022102822579169,1.8168381135219675e-278
22,0.86680839244714958,0.0,0.766857000769954,0.0,0.73226524624837963,0.0,0.69007492969364792,1.61691909080227e-270
24,0.8573845423213321,0.0,0.7516797271079394,0.0,0.72320866421380736,0.0,0.68063258517659009,3.18133476377598e-263
26,0.84919384298743916,0.0,0.74044802756641248,0.0,0.70544501169630491,0.0,0.65419820139906182,2.4478368626678514e-243
28,0.83962593067893587,0.0,0.72626680125495269,0.0,0.68069940297627696,0.0,0.63924936835813051,1.9342707167916756e-232
30,0.82991612897548117,0.0,0.71280899599448744,0.0,0.6685016470261862,0.0,0.62001003336300731,8.7500047943495932e-219
32,0.82053413051155011,0.0,0.70186191500995199,0.0,0.66896287715699965,0.0,0.60729291118580586,5.4906157514370194e-210
34,0.81087827022436421,0.0,0.68475968184820202,0.0,0.65566188535359493,0.0,0.59477427039352049,1.6680904156829294e-201
36,0.80311948132553368,0.0,0.68322363034208766,0.0,0.65048790656288824,0.0,0.59274499948866644,3.8075238472352899e-200
38,0.79566329538835689,0.0,0.67694308219275545,0.0,0.63041968351399946,0.0,0.56764036186636158,1.0067101876073179e-183
40,0.78667767915575326,0.0,0.67081302221821804,0.0,0.62648340423672588,0.0,0.57468760678326469,2.9141091656584108e-188
42,0.77596854354341993,0.0,0.65864616286915334,0.0,0.63137891710322891,0.0,0.59389029232120549,6.5243409721258129e-201
44,0.76997316564489826,0.0,0.65071544507433288,0.0,0.64009329353931044,0.0,0.61366042922446729,2.2769930516505548e-214
46,0.75994517297744413,0.0,0.63851474525901941,0.0,0.6376193310190772,0.0,0.5928654338955589,3.1633804151491849e-200
48,0.75181935360084462,0.0,0.63161174972073664,0.0,0.61456577291888015,0.0,0.596315889519618,1.5386547845140816e-202
50,0.74175532062086391,0.0,0.62571768766482949,0.0,0.6113669167596838,0.0,0.6290127690997086,4.0177699666348952e-225
52,0.73227551611997999,0.0,0.61296307664699579,0.0,0.59803265185302334,0.0,0.56351441110804557,4.3059897827945839e-181
54,0.72336210828580849,0.0,0.59687282243191131,0.0,0.57845295544171293,0.0,0.54792291705949137,2.5354762239432304e-171
56,0.71475899050016645,0.0,0.58195696285004483,0.0,0.55574727236189092,0.0,0.50060449040578869,2.4036772132701815e-143
58,0.70477194370813823,0.0,0.57169806871653794,0.0,0.54521371935743035,0.0,0.48237453151184356,3.0717462740968073e-133
60,0.69325943489775765,0.0,0.57295052781649325,0.0,0.55561984570805512,0.0,0.48334959350706108,9.0423074653437408e-134
62,0.68188154101503851,0.0,0.56288825198571169,0.0,0.53074714634508091,0.0,0.45482710119927466,1.1233147302844433e-118
64,0.66964409010831205,0.0,0.56446102892433914,0.0,0.51698143503624672,5.601776766213968e-304,0.43854122031022902,1.8150509538617952e-110
66,0.65962833659439279,0.0,0.5536947101353531,0.0,0.512888385801052,3.222872901277783e-299,0.42494616298964522,7.6340573754904048e-104
68,0.64590524917862124,0.0,0.5269167677662977,0.0,0.4670937891244959,1.5421308198156599e-248,0.40882055799084399,2.9530595479714829e-96
70,0.63074444770830507,0.0,0.51237509688958849,0.0,0.4485427520221153,2.3570300481355373e-229,0.3998672137927099,3.6049641519582972e-92
72,0.61164081990058305,0.0,0.49447896268386232,0.0,0.4330811860483938,5.8727929860308868e-214,0.3935246994245401,2.496630127512276e-89
