change,correlation_100,pvalue_100,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,1.0,0.0,1.0,0.0,0.99999999999999989,0.0,1.0,0.0
2,0.99019910218390206,0.0,0.98367627286172088,0.0,0.98710227038543219,0.0,0.99077481584593907,0.0
4,0.98157246100623763,0.0,0.97341010735628042,0.0,0.97812720377615125,0.0,0.97489376285382512,0.0
6,0.97304775050188086,0.0,0.95504069221489019,0.0,0.94895030039473127,0.0,0.96293821821672332,0.0
8,0.96440543876898266,0.0,0.93816819419173469,0.0,0.94024700320832355,0.0,0.95768848443338772,0.0
10,0.95546388743803534,0.0,0.92308206512873769,0.0,0.93374068908147068,0.0,0.95132060921504868,0.0
12,0.94777421296069686,0.0,0.91161277089191839,0.0,0.92444591590497394,0.0,0.94483785632730555,0.0
14,0.94040920960491559,0.0,0.9005634895765412,0.0,0.91207473690518981,0.0,0.93219850320575659,0.0
16,0.93282834996615571,0.0,0.88899171186368942,0.0,0.9019466642228634,0.0,0.91948726504550238,0.0
18,0.92536992914916427,0.0,0.87260960251806141,0.0,0.89269661404229772,0.0,0.91811975888767883,0.0
20,0.91825726517700201,0.0,0.85345567369558251,0.0,0.88178116026200615,0.0,0.91195584712910827,0.0
22,0.91165626328335081,0.0,0.84161046552163254,0.0,0.86086067481835704,0.0,0.89719137468987675,0.0
24,0.90583873783427504,0.0,0.82939968405421483,0.0,0.84863965292181576,0.0,0.88638514398368473,0.0
26,0.89988768986477563,0.0,0.81273067777430841,0.0,0.82806424671247825,0.0,0.8803266383897671,0.0
28,0.89453717250145248,0.0,0.80658483097274891,0.0,0.82478741106162456,0.0,0.87580444804816671,0.0
30,0.88858178215028782,0.0,0.79274025906440659,0.0,0.80189198410893359,0.0,0.86474940847166559,0.0
32,0.88280934845712844,0.0,0.78331673240296873,0.0,0.79307889962493383,0.0,0.85973049081068453,0.0
34,0.8778550102941729,0.0,0.77036337442445968,0.0,0.78336261611835944,0.0,0.84644326992441765,0.0
36,0.87274095264645235,0.0,0.76703789629261609,0.0,0.77478683598194853,0.0,0.81927374104936568,0.0
38,0.86859413529141771,0.0,0.76000360118542976,0.0,0.76349230159433634,0.0,0.81183464696130625,0.0
40,0.86457611837395532,0.0,0.75153126156020023,0.0,0.7554553680493229,0.0,0.7987758290171173,0.0
42,0.86109798078199218,0.0,0.74231793907687738,0.0,0.75275059017393897,0.0,0.78826355351674415,0.0
44,0.85740156844925464,0.0,0.73071379003631509,0.0,0.73839470271204399,0.0,0.78668998112261268,0.0
46,0.85390130444326284,0.0,0.72364884029136178,0.0,0.72818016988619305,0.0,0.77125309846612633,0.0
48,0.84981627659915682,0.0,0.71067911797473904,0.0,0.71137937138841112,0.0,0.75646274367519561,0.0
50,0.84596322116397693,0.0,0.70604571009177841,0.0,0.71160827151253536,0.0,0.74910565178043031,0.0
52,0.84236594544685128,0.0,0.70402025196738671,0.0,0.70666178508065025,0.0,0.74733804195911224,0.0
54,0.83931117525697307,0.0,0.69732272987331256,0.0,0.70009993562155459,0.0,0.73684180007462752,4.0146647410862635e-308
56,0.83630407135702078,0.0,0.68897838436007341,0.0,0.68552542847134601,0.0,0.72196937551027762,6.7515582091228974e-296
58,0.83342346631847453,0.0,0.68191126087170773,0.0,0.66332675757198534,0.0,0.70494901253545783,3.2765534065848594e-282
60,0.83102842903476071,0.0,0.67713672667163671,0.0,0.65860698995744671,0.0,0.70803799310573257,1.1370842653480713e-284
62,0.82925010442929492,0.0,0.67369447439924979,0.0,0.65864510318992509,0.0,0.7176953810230422,1.980436279889143e-292
64,0.8269674088002541,0.0,0.67275960152792447,0.0,0.66084671793138194,0.0,0.70966458092662998,5.7055008712886817e-286
66,0.82445726598493108,0.0,0.66943899623493963,0.0,0.65049461096040062,0.0,0.70020819340741125,1.8597106055360998e-278
68,0.82192066665135666,0.0,0.66279520191607466,0.0,0.64458791362218526,0.0,0.681971841135389,2.9797582293716146e-264
70,0.81962542100783242,0.0,0.66048830376394529,0.0,0.64762625966712772,0.0,0.67600824108466184,1.0918790537255322e-259
72,0.81692436822565284,0.0,0.64514741106625328,0.0,0.62593664557376927,0.0,0.64508536738992694,1.1533983245745075e-236
74,0.81449397028137471,0.0,0.63928875806176333,0.0,0.61542508856546052,0.0,0.64721555360739436,3.2392368401171518e-238
76,0.81212014812098554,0.0,0.63675652710509512,0.0,0.61091430492916943,0.0,0.64284953669798928,4.8414023869541955e-235
78,0.81039740188487941,0.0,0.63135031840544231,0.0,0.60606314088237812,0.0,0.643745203689711,1.0851276810908805e-235
80,0.80856771373762593,0.0,0.62524951211695323,0.0,0.59496335585232785,0.0,0.63836865217263805,8.3314085054700518e-232
