core_number,change_0,change_2,change_4,change_6,change_8,change_10,change_12,change_14,change_16,change_18,change_20,change_22,change_24,change_26,change_28,change_30,change_32,change_34,change_36,change_38,change_40,change_42,change_44,change_46,change_48,change_50,change_52,change_54,change_56,change_58,change_60,change_62,change_64,change_66,change_68,change_70,change_72,change_74,change_76,change_78,change_80,change_82,change_84,change_86,change_88
1,2520.0,2650.1999999999998,2764.8000000000002,2872.3000000000002,2988.5999999999999,3105.3000000000002,3218.1999999999998,3328.9000000000001,3447.5,3574.5999999999999,3704.6999999999998,3821.6999999999998,3955.3000000000002,4083.9000000000001,4226.3000000000002,4356.5,4501.6999999999998,4656.6999999999998,4807.3000000000002,4959.3000000000002,5124.3000000000002,5294.8999999999996,5467.0,5646.0,5815.1000000000004,5990.3000000000002,6185.1999999999998,6375.3999999999996,6575.3999999999996,6760.6999999999998,6953.3000000000002,7150.3999999999996,7338.5,7522.8000000000002,7716.6000000000004,7900.8999999999996,8106.6000000000004,8282.8999999999996,8458.0,8630.6000000000004,8770.7999999999993,8874.2999999999993,8944.1000000000004,8927.6000000000004,8755.1000000000004
2,3637.0,3730.0999999999999,3829.0,3941.6999999999998,4018.6999999999998,4106.6999999999998,4184.3000000000002,4261.8999999999996,4348.5,4429.3999999999996,4496.8000000000002,4587.6000000000004,4655.1000000000004,4731.8999999999996,4812.1999999999998,4883.1000000000004,4951.8999999999996,5014.3000000000002,5068.3000000000002,5148.3999999999996,5229.8000000000002,5285.8000000000002,5345.6999999999998,5401.3000000000002,5471.1999999999998,5524.1999999999998,5568.6999999999998,5584.8999999999996,5601.8999999999996,5607.8000000000002,5625.0,5621.8000000000002,5614.6000000000004,5598.6999999999998,5544.6999999999998,5499.3000000000002,5415.3000000000002,5304.8999999999996,5155.8000000000002,4954.1000000000004,4642.6000000000004,4397.6999999999998,4358.6000000000004,3634.8000000000002,2787.5999999999999
3,3509.0,3582.5,3639.5,3678.5,3724.4000000000001,3775.4000000000001,3820.4000000000001,3851.3000000000002,3878.8000000000002,3905.6999999999998,3943.5,3957.6999999999998,3995.3000000000002,4007.5999999999999,4024.5,4047.3000000000002,4066.5999999999999,4060.1999999999998,4076.5,4043.4000000000001,4017.1999999999998,3998.3000000000002,3995.0999999999999,3957.0,3942.6999999999998,3888.6999999999998,3822.0,3782.8000000000002,3718.5,3688.3000000000002,3605.9000000000001,3510.4000000000001,3393.5,3236.3000000000002,3102.1999999999998,2882.5999999999999,2610.1999999999998,2322.9000000000001,2017.5,1919.7,1498.5999999999999,1052.3333333333333,652.5,0,0
4,3052.0,3064.1999999999998,3079.4000000000001,3068.0999999999999,3064.5,3064.4000000000001,3074.1999999999998,3081.5999999999999,3061.5999999999999,3073.0,3061.3000000000002,3055.0,3031.0999999999999,3041.3000000000002,3009.5999999999999,2990.8000000000002,2939.3000000000002,2916.3000000000002,2878.9000000000001,2878.1999999999998,2861.9000000000001,2843.5999999999999,2742.5999999999999,2721.9000000000001,2619.6999999999998,2550.4000000000001,2441.9000000000001,2328.9000000000001,2232.0999999999999,2071.4000000000001,1899.9000000000001,1749.8,1570.0999999999999,1383.0999999999999,1157.8,1022.8,941.0,741.60000000000002,510.5,334.5,227.0,0,0,0,0
5,2335.0,2388.5,2370.0,2405.9000000000001,2429.1999999999998,2428.5999999999999,2429.8000000000002,2429.4000000000001,2414.5,2365.0,2344.8000000000002,2319.1999999999998,2300.9000000000001,2250.0999999999999,2220.5,2180.5,2121.8000000000002,2111.0,2072.3000000000002,1993.0999999999999,1866.3,1758.4000000000001,1689.4000000000001,1561.8,1457.0999999999999,1349.5,1302.9000000000001,1187.8,1039.2,923.39999999999998,814.20000000000005,698.60000000000002,581.39999999999998,523.5,442.69999999999999,301.66666666666669,137.40000000000001,45.5,0,0,0,0,0,0,0
6,2103.0,2072.9000000000001,2063.6999999999998,2026.3,1988.0,1948.9000000000001,1891.0,1858.9000000000001,1814.5999999999999,1798.0999999999999,1740.5999999999999,1704.2,1650.8,1593.5999999999999,1529.5999999999999,1483.8,1427.5999999999999,1297.0999999999999,1192.9000000000001,1109.7,1072.7,1004.0,935.10000000000002,844.39999999999998,780.70000000000005,727.10000000000002,612.29999999999995,533.5,496.89999999999998,415.10000000000002,344.60000000000002,267.39999999999998,201.30000000000001,118.5,70.333333333333329,28.0,27.0,0,0,0,0,0,0,0,0
7,1597.0,1548.5999999999999,1520.5999999999999,1489.9000000000001,1452.3,1411.5999999999999,1378.2,1348.7,1299.9000000000001,1243.7,1191.0,1111.0999999999999,1050.9000000000001,989.0,924.39999999999998,856.29999999999995,811.39999999999998,772.60000000000002,713.70000000000005,663.39999999999998,618.70000000000005,577.0,509.69999999999999,458.80000000000001,386.30000000000001,313.10000000000002,273.30000000000001,230.80000000000001,153.90000000000001,122.2,90.875,46.833333333333336,30.0,0,0,0,0,0,0,0,0,0,0,0,0
8,1196.0,1237.5999999999999,1193.4000000000001,1144.5,1102.3,1043.0,987.89999999999998,898.20000000000005,859.5,797.29999999999995,751.60000000000002,709.39999999999998,666.0,625.39999999999998,581.10000000000002,524.70000000000005,516.60000000000002,487.10000000000002,435.80000000000001,381.89999999999998,330.0,266.30000000000001,229.69999999999999,204.09999999999999,181.80000000000001,137.5,94.200000000000003,69.666666666666671,50.111111111111114,28.75,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,961.0,847.60000000000002,804.0,754.0,720.79999999999995,683.5,644.79999999999995,593.0,565.29999999999995,529.10000000000002,505.5,478.60000000000002,461.0,409.30000000000001,377.30000000000001,348.10000000000002,280.89999999999998,237.19999999999999,211.19999999999999,202.5,159.80000000000001,134.90000000000001,103.8,73.200000000000003,54.777777777777779,43.0,36.666666666666664,35.25,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,667.0,628.10000000000002,589.39999999999998,532.0,477.80000000000001,451.10000000000002,429.69999999999999,412.60000000000002,380.39999999999998,357.69999999999999,326.60000000000002,296.69999999999999,234.30000000000001,225.80000000000001,186.80000000000001,155.80000000000001,164.59999999999999,132.59999999999999,122.8,80.200000000000003,60.200000000000003,52.299999999999997,37.799999999999997,36.25,27.5,28.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
