core_number,change_0,change_2,change_4,change_6,change_8,change_10,change_12,change_14,change_16,change_18,change_20,change_22,change_24,change_26,change_28,change_30,change_32,change_34,change_36,change_38,change_40,change_42,change_44,change_46,change_48,change_50,change_52,change_54,change_56,change_58,change_60,change_62,change_64,change_66,change_68,change_70,change_72,change_74,change_76,change_78,change_80,change_82,change_84,change_86,change_88
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,246.0,233.80000000000001,219.19999999999999,197.0,180.59999999999999,163.40000000000001,149.80000000000001,139.30000000000001,128.80000000000001,118.0,111.0,102.09999999999999,92.900000000000006,83.900000000000006,75.0,68.900000000000006,62.100000000000001,55.399999999999999,49.700000000000003,44.5,38.600000000000001,35.100000000000001,31.399999999999999,27.399999999999999,24.0,21.199999999999999,19.100000000000001,17.699999999999999,16.0,15.0,12.6,10.699999999999999,9.4000000000000004,8.5999999999999996,7.0999999999999996,6.2999999999999998,5.2999999999999998,4.7000000000000002,4.2999999999999998,4.0,3.5,3.2999999999999998,3.1000000000000001,2.7000000000000002,2.6000000000000001
8,1196.0,1135.7,1078.0999999999999,1027.0999999999999,967.20000000000005,895.5,828.60000000000002,761.29999999999995,720.70000000000005,664.70000000000005,613.20000000000005,561.20000000000005,506.30000000000001,470.39999999999998,432.39999999999998,392.10000000000002,358.30000000000001,320.39999999999998,290.60000000000002,263.39999999999998,239.90000000000001,218.40000000000001,191.40000000000001,172.59999999999999,153.80000000000001,138.40000000000001,121.2,109.40000000000001,95.700000000000003,87.5,80.5,71.200000000000003,64.799999999999997,57.100000000000001,52.899999999999999,49.5,45.0,39.899999999999999,38.100000000000001,33.600000000000001,29.600000000000001,27.199999999999999,24.199999999999999,22.399999999999999,20.800000000000001
9,961.0,996.10000000000002,1027.4000000000001,1041.2,1052.5999999999999,1077.4000000000001,1075.4000000000001,1071.3,1046.2,1005.2,966.29999999999995,929.20000000000005,876.89999999999998,827.70000000000005,764.79999999999995,707.5,664.70000000000005,624.0,581.20000000000005,540.29999999999995,509.19999999999999,465.80000000000001,440.5,411.30000000000001,389.30000000000001,359.30000000000001,332.10000000000002,305.39999999999998,286.5,261.10000000000002,238.09999999999999,223.80000000000001,204.59999999999999,189.0,171.90000000000001,151.59999999999999,137.09999999999999,126.5,110.2,101.2,92.299999999999997,83.599999999999994,77.299999999999997,69.099999999999994,60.899999999999999
10,667.0,683.29999999999995,698.29999999999995,708.79999999999995,732.89999999999998,754.5,799.0,831.79999999999995,826.70000000000005,829.10000000000002,863.79999999999995,869.20000000000005,900.20000000000005,887.79999999999995,911.20000000000005,910.39999999999998,897.89999999999998,875.89999999999998,861.60000000000002,813.60000000000002,790.20000000000005,753.29999999999995,704.20000000000005,681.39999999999998,642.29999999999995,601.79999999999995,570.20000000000005,532.79999999999995,488.5,465.89999999999998,435.30000000000001,404.0,377.0,354.5,333.60000000000002,315.80000000000001,297.0,273.80000000000001,257.10000000000002,234.09999999999999,223.19999999999999,208.69999999999999,189.90000000000001,179.30000000000001,167.30000000000001
