core_number,change_0,change_2,change_4,change_6,change_8,change_10,change_12,change_14,change_16,change_18,change_20,change_22,change_24,change_26,change_28,change_30,change_32,change_34,change_36,change_38,change_40,change_42,change_44,change_46,change_48,change_50,change_52,change_54,change_56,change_58,change_60,change_62,change_64,change_66,change_68,change_70,change_72,change_74,change_76,change_78,change_80,change_82,change_84,change_86,change_88
1,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.25,1.5,3.2000000000000002,4.5999999999999996,7.0,12.0,16.0,22.300000000000001,32.600000000000001,44.399999999999999,64.400000000000006,91.799999999999997,125.8,166.90000000000001,216.09999999999999,277.5,357.19999999999999,457.60000000000002,586.39999999999998,729.89999999999998,873.60000000000002,1086.5999999999999,1315.4000000000001,1581.9000000000001,1880.8,1974.5999999999999,1851.0,1728.3,1598.5,1457.4000000000001,1298.5,1120.2,946.0
2,0,0,0,0,0,1.0,1.5,0.75,0.59999999999999998,1.0,2.5,3.2999999999999998,5.2000000000000002,11.6,18.199999999999999,33.700000000000003,50.200000000000003,69.599999999999994,98.400000000000006,132.09999999999999,166.80000000000001,214.19999999999999,280.89999999999998,360.89999999999998,449.30000000000001,539.89999999999998,642.10000000000002,751.20000000000005,864.5,1010.7,1128.0999999999999,1222.7,1338.8,1413.8,1452.2,1448.9000000000001,1406.3,1282.3,1162.2,1019.9,881.60000000000002,738.89999999999998,604.10000000000002,477.60000000000002,344.69999999999999
3,0,0,0,0,3.5,2.1666666666666665,2.2222222222222223,3.2000000000000002,6.2000000000000002,11.5,18.5,30.399999999999999,53.399999999999999,83.200000000000003,121.3,169.09999999999999,223.19999999999999,290.39999999999998,356.5,430.30000000000001,516.20000000000005,602.39999999999998,716.70000000000005,825.10000000000002,930.70000000000005,1033.4000000000001,1106.2,1179.4000000000001,1222.5999999999999,1224.3,1221.0,1194.7,1147.5,1063.9000000000001,972.10000000000002,860.5,753.5,642.29999999999995,535.20000000000005,448.80000000000001,354.60000000000002,264.10000000000002,187.30000000000001,136.0,91.5
4,0,0,3.3333333333333335,4.7999999999999998,5.2999999999999998,12.1,22.699999999999999,35.899999999999999,54.399999999999999,85.599999999999994,127.40000000000001,169.69999999999999,241.30000000000001,314.5,415.10000000000002,520.29999999999995,620.20000000000005,713.60000000000002,812.39999999999998,908.0,987.20000000000005,1044.5999999999999,1084.3,1100.4000000000001,1102.7,1100.0,1087.0999999999999,1052.0,987.70000000000005,917.70000000000005,822.70000000000005,752.39999999999998,667.79999999999995,573.29999999999995,490.30000000000001,430.0,356.60000000000002,292.10000000000002,232.90000000000001,175.59999999999999,126.40000000000001,90.900000000000006,63.5,43.5,28.333333333333332
5,0,2.125,10.5,28.100000000000001,57.799999999999997,92.200000000000003,138.0,202.59999999999999,265.89999999999998,349.19999999999999,446.30000000000001,571.5,678.70000000000005,796.60000000000002,879.10000000000002,932.70000000000005,979.79999999999995,1025.2,1042.9000000000001,1055.0999999999999,1050.0999999999999,1033.7,986.0,933.39999999999998,864.39999999999998,776.0,705.79999999999995,615.5,547.0,479.19999999999999,421.0,365.5,308.10000000000002,263.0,226.30000000000001,177.09999999999999,136.40000000000001,106.7,83.900000000000006,61.333333333333336,40.625,35.600000000000001,27.800000000000001,20.0,13.5
6,0,48.100000000000001,123.8,224.40000000000001,331.10000000000002,441.89999999999998,550.89999999999998,664.60000000000002,784.5,896.29999999999995,969.0,1009.3,1024.8,1025.5,1017.4,999.5,969.89999999999998,925.10000000000002,862.29999999999995,790.10000000000002,731.0,671.0,625.70000000000005,565.70000000000005,510.80000000000001,456.30000000000001,402.30000000000001,369.19999999999999,323.0,281.60000000000002,237.80000000000001,193.0,170.09999999999999,139.80000000000001,102.3,80.200000000000003,58.0,48.666666666666664,38.166666666666664,31.800000000000001,28.0,20.0,11.5,0,0
7,246.0,473.0,634.5,773.79999999999995,862.5,952.0,1000.1,1030.9000000000001,1040.5,1009.3,979.79999999999995,938.5,893.39999999999998,820.20000000000005,769.20000000000005,712.60000000000002,661.39999999999998,614.79999999999995,567.29999999999995,531.5,487.5,446.10000000000002,378.5,331.19999999999999,305.60000000000002,275.80000000000001,239.5,198.5,172.59999999999999,134.5,120.8,105.2,71.0,54.299999999999997,49.100000000000001,34.899999999999999,29.888888888888889,21.800000000000001,22.333333333333332,20.0,0,0,0,0,0
8,1196.0,1175.7,1149.5999999999999,1103.2,1043.5,971.79999999999995,933.10000000000002,894.79999999999995,857.5,800.60000000000002,746.39999999999998,702.0,628.20000000000005,576.39999999999998,540.60000000000002,479.30000000000001,424.5,386.5,355.60000000000002,309.69999999999999,280.0,245.59999999999999,219.59999999999999,207.90000000000001,163.69999999999999,137.40000000000001,116.40000000000001,99.0,85.099999999999994,73.299999999999997,62.100000000000001,54.666666666666664,42.555555555555557,25.75,20.666666666666668,19.800000000000001,16.333333333333332,5.5,10.5,0,0,0,0,0,0
9,961.0,867.29999999999995,794.10000000000002,729.39999999999998,707.70000000000005,660.0,638.60000000000002,599.20000000000005,529.5,487.60000000000002,437.39999999999998,401.89999999999998,405.80000000000001,375.60000000000002,328.89999999999998,305.5,297.10000000000002,247.0,225.59999999999999,209.0,174.5,161.0,142.40000000000001,119.5,97.5,83.099999999999994,66.200000000000003,47.899999999999999,40.100000000000001,33.888888888888886,22.428571428571427,10.0,10.6,10.6,8.25,5.5,5.5,2.0,0,0,0,0,0,0,0
10,667.0,619.39999999999998,576.5,574.89999999999998,538.60000000000002,509.30000000000001,445.10000000000002,389.30000000000001,373.0,351.80000000000001,328.89999999999998,296.10000000000002,260.69999999999999,247.19999999999999,209.09999999999999,191.19999999999999,162.80000000000001,152.59999999999999,126.3,107.09999999999999,95.0,87.700000000000003,72.099999999999994,48.333333333333336,46.111111111111114,29.222222222222221,21.0,24.75,15.0,25.25,17.666666666666668,18.0,11.0,11.5,10.0,2.0,2.0,12.0,0,0,0,0,0,0,0
11,451.0,450.39999999999998,438.0,377.30000000000001,343.60000000000002,328.0,309.0,285.10000000000002,257.10000000000002,231.80000000000001,221.69999999999999,207.80000000000001,178.90000000000001,148.80000000000001,136.09999999999999,125.7,107.7,97.599999999999994,83.799999999999997,64.5,54.0,38.100000000000001,23.0,21.888888888888889,18.125,17.0,20.0,10.5,18.0,7.5,8.0,2.0,7.0,6.5,2.0,13.0,13.0,0,0,0,0,0,0,0,0
12,364.0,325.5,298.0,261.80000000000001,245.09999999999999,227.09999999999999,210.40000000000001,186.5,165.80000000000001,142.69999999999999,126.40000000000001,106.90000000000001,97.400000000000006,88.0,79.400000000000006,67.700000000000003,58.299999999999997,37.200000000000003,32.299999999999997,28.100000000000001,20.777777777777779,10.625,12.0,17.0,10.0,11.666666666666666,6.2000000000000002,10.5,8.0,7.0,0.0,0.0,0.0,2.0,14.0,0,0,0,0,0,0,0,0,0,0
13,260.0,240.90000000000001,227.0,221.09999999999999,188.59999999999999,175.0,151.19999999999999,136.09999999999999,124.2,120.90000000000001,104.8,96.200000000000003,79.900000000000006,68.099999999999994,52.899999999999999,38.600000000000001,23.199999999999999,18.300000000000001,13.699999999999999,14.199999999999999,16.75,16.125,18.0,10.0,7.5,12.4,15.5,11.0,7.5,7.5,7.5,8.5,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0
