missing,core2,core4,core6,core8,core10
0,1.0,1.0,1.0,1.0,1.0
5,0.9327608790569059,0.9062894482809831,0.8773514851485148,0.845662100456621,0.8146648672964463
10,0.8697909086498812,0.8236429791341798,0.7657178217821782,0.7184931506849315,0.6729644624381467
15,0.8001746470673846,0.732828395336749,0.6486386138613861,0.5883561643835616,0.5380116959064327
20,0.7371076505118129,0.6552313061557882,0.5826732673267326,0.48881278538812784,0.3877642825011246
25,0.6708873041284626,0.5839459419321303,0.4629950495049505,0.3536529680365297,0.30634278002699056
30,0.6092756998010964,0.4963243484072176,0.39455445544554457,0.2968036529680365,0.18173639226270805
35,0.5464512686168923,0.4122670230934878,0.3261138613861386,0.21027397260273972,0.1273054430949168
40,0.4865861349633726,0.3657830251726442,0.2271039603960396,0.1643835616438356,0.12325686009896536
45,0.4171639256779702,0.289299769807678,0.1629950495049505,0.10821917808219178,0.04948268106162843
50,0.36316887401154613,0.22707358728744337,0.1172029702970297,0.06735159817351598,0.030589293747188485
0,1.0,1.0,1.0,1.0,1.0
5,0.933148983651094,0.9030964580084652,0.8803217821782178,0.8454337899543379,0.8569500674763832
10,0.8661039150050939,0.8223063785549862,0.7686881188118811,0.7312785388127854,0.6558704453441295
15,0.7979915587250764,0.7373579861884607,0.6596534653465347,0.597716894977169,0.5267656320287899
20,0.7389511473342065,0.6478057473824905,0.5564356435643565,0.4794520547945205,0.391812865497076
25,0.6743802454761558,0.575852082869236,0.46522277227722775,0.34315068493150686,0.2811515969410706
30,0.6083054383156261,0.4925373134328358,0.3673267326732673,0.2952054794520548,0.21052631578947367
35,0.5432494057148402,0.4258557956486226,0.30495049504950494,0.18013698630136987,0.15834457939721097
40,0.48280211517003835,0.34038761416796615,0.22834158415841585,0.16986301369863013,0.058929374718848404
45,0.42250036384805706,0.2941263830103215,0.17574257425742573,0.095662100456621,0.08457040035987404
50,0.36530344927958086,0.2247716640677211,0.11596534653465347,0.05776255707762557,0.020242914979757085
0,1.0,1.0,1.0,1.0,1.0
5,0.9335856013195556,0.913269473527883,0.8782178217821782,0.8474885844748858,0.7948717948717948
10,0.8658128365594527,0.8139154971411598,0.7558168316831683,0.726027397260274,0.6684660368870895
15,0.7992528986561879,0.7403282096977798,0.6522277227722773,0.6132420091324201,0.5344129554655871
20,0.7385630427400184,0.6579045073141754,0.5627475247524752,0.45365296803652966,0.4089068825910931
25,0.6753019938873527,0.5771144278606966,0.47339108910891087,0.3892694063926941,0.2834008097165992
30,0.6059768107504973,0.4797653523427638,0.38725247524752476,0.276027397260274,0.2384165542060279
35,0.5421821180808227,0.424444939481696,0.32524752475247526,0.2221461187214612,0.16104363472784525
40,0.48299616746713236,0.3540506423108339,0.250990099009901,0.1449771689497717,0.07782276203328835
45,0.42337359918498035,0.2932353159575258,0.18106435643564356,0.1091324200913242,0.05083220872694557
50,0.36467277931402514,0.2272963540506423,0.11534653465346535,0.07191780821917808,0.03418803418803419
0,1.0,1.0,1.0,1.0,1.0
5,0.9324212875369913,0.9155713967476052,0.8757425742574257,0.8554794520547945,0.8475033738191633
10,0.8709552224324455,0.8259449023539022,0.7690594059405941,0.7068493150684931,0.6581196581196581
15,0.8011934216271285,0.7334966956263459,0.6570544554455445,0.5646118721461187,0.5357624831309041
20,0.7336147091641197,0.6515927823568723,0.5705445544554455,0.4821917808219178,0.3567251461988304
25,0.6721486440595741,0.5705056805524615,0.4650990099009901,0.33515981735159817,0.28924876293297347
30,0.6108281181778489,0.4939481695997624,0.3751237623762376,0.28470319634703195,0.2177237966711651
35,0.5454324940571484,0.41813321452439295,0.2938118811881188,0.1910958904109589,0.15159694107062527
40,0.48469412506670545,0.3480359397044628,0.22834158415841585,0.14269406392694065,0.07827260458839407
45,0.4284189589094261,0.28580975718422813,0.17896039603960395,0.10068493150684932,0.04678362573099415
50,0.36996070440983847,0.23108338902502412,0.12722772277227723,0.060730593607305934,0.02834008097165992
0,1.0,1.0,1.0,1.0,1.0
5,0.9336341143938292,0.9073290265092449,0.8787128712871287,0.8417808219178082,0.7903733693207378
10,0.8680444379760346,0.820078710922997,0.7587871287128712,0.7351598173515982,0.6360773729194782
15,0.8055110852374715,0.7368381970743298,0.6701732673267327,0.5892694063926941,0.5182186234817814
20,0.7338572745354873,0.6540432167520606,0.558539603960396,0.49018264840182646,0.4057579847053531
25,0.6732159316935914,0.5647137447092894,0.4806930693069307,0.3641552511415525,0.31309041835357626
30,0.6082569252413526,0.4845919655454073,0.361509900990099,0.26552511415525115,0.16914080071974807
35,0.5522728375297142,0.4260785624118215,0.28638613861386136,0.20684931506849316,0.1106612685560054
40,0.4850822296608936,0.3446944382564788,0.21472772277227722,0.15958904109589042,0.09761583445793973
45,0.4246834521903653,0.2825425113239771,0.16485148514851486,0.11164383561643836,0.06162843004948268
50,0.3673895114733421,0.23056359991089329,0.10977722772277228,0.06278538812785388,0.02249212775528565
0,1.0,1.0,1.0,1.0,1.0
5,0.9341677582108379,0.9142347961684116,0.8794554455445545,0.8573059360730594,0.8245614035087719
10,0.8694513171299665,0.8312913046706765,0.7618811881188119,0.7253424657534246,0.6617183985605039
15,0.8039101537864455,0.7432984332070989,0.6412128712871287,0.6095890410958904,0.5353126405757984
