missing,truss2,truss4,truss6,truss8,truss10
0,1.0,1.0,1.0,1.0,1.0
5,0.952547062007578,0.9226120398712817,0.8930232558139535,0.8880580840918942,0.8402584382310349
10,0.90389126120166,0.850247233341182,0.7868625050999593,0.7805591677503251,0.7119304890275148
15,0.8496421483129849,0.7777254532611255,0.6962872297021624,0.6887732986562636,0.5975270134788905
20,0.8005653455223432,0.6905266462601052,0.5889024887800898,0.5726051148677936,0.46830789796145705
25,0.7433090755999279,0.6192606545797034,0.4958792329661363,0.47301690507152144,0.3677175002784895
30,0.6711373067901606,0.5415587473510713,0.41370869033047736,0.3693107932379714,0.28405926255987524
35,0.6067841462681182,0.4480809983517777,0.32802937576499386,0.28023407022106633,0.20196056589060934
40,0.5328080832381067,0.36496350364963503,0.24202366381068952,0.19321629822280018,0.1289963239389551
45,0.45341913754736274,0.28059022054783767,0.18221134230926153,0.12418725617685306,0.06917678511752255
50,0.3721657544956998,0.20320226041911937,0.10575275397796817,0.06751192024273948,0.02851732204522669
0,1.0,1.0,1.0,1.0,1.0
5,0.9541709268057978,0.9244172356957853,0.8919624643002856,0.8944516688339835,0.8446028740113624
10,0.8995008119323991,0.8563692017894985,0.7858017135862914,0.791829215431296,0.7006795143143589
15,0.8503037228604078,0.7719174319127227,0.6864953080375357,0.6804291287386216,0.5916230366492147
20,0.8007457749443676,0.7028490699317165,0.5881680946552428,0.57358040745557,0.46808510638297873
25,0.7393997714560654,0.6162781571305235,0.49424724602203185,0.479518855656697,0.366046563439902
30,0.6758284717627955,0.5224079742563378,0.3981232150142799,0.3744039878630256,0.2788236604656344
35,0.6087688699103867,0.4485519190016482,0.31807425540595674,0.28261811876896403,0.19260331959451932
40,0.5338906597702532,0.3521701593281532,0.24912280701754386,0.19895968790637192,0.1313356355129776
45,0.45161484332711854,0.27933443214818304,0.17429620563035494,0.12906371911573472,0.0780884482566559
50,0.3704216034161304,0.20249587944431363,0.10648714810281518,0.06068487212830516,0.03932271360142586
0,1.0,1.0,1.0,1.0,1.0
5,0.9508029109280086,0.9234753943960443,0.8873113015095879,0.8878413524057217,0.8408154171772307
10,0.9029891140915378,0.8526803233655129,0.7906160750713994,0.7802340702210663,0.7154951542831681
15,0.8503037228604078,0.775920257436622,0.6908200734394124,0.6776116168183789,0.5775871672050796
20,0.7993023395681722,0.7057530806059179,0.5921664626682986,0.5632856523623754,0.4648546284950429
25,0.7307993023395681,0.611647437406797,0.49571603427172584,0.4778933680104031,0.37105937395566446
30,0.6662657123955013,0.5324542814535751,0.41256629946960427,0.3742956220199393,0.2868441572908544
35,0.6132194623203223,0.4422729770033749,0.33341493268053857,0.27264846120502817,0.21154060376517766
40,0.5353340951464486,0.3607252178008006,0.2533659730722154,0.20101863892501085,0.12487467973710593
45,0.44854754315270345,0.27070088690055727,0.1715218278253774,0.12061118335500651,0.06616909880806505
50,0.3653094364587719,0.20594929754336394,0.11211750305997552,0.082358040745557,0.03575804834577253
0,1.0,1.0,1.0,1.0,1.0
5,0.9539904973837734,0.9235538811710227,0.8876376988984088,0.8920676202860858,0.8492814971594074
10,0.904191976905034,0.8506396672160741,0.7947776417788658,0.7756827048114434,0.6982288069510972
15,0.8581824742888073,0.7783533474609529,0.6854345165238678,0.6745773732119635,0.5900634955998664
20,0.7977386179106273,0.6971195353582921,0.5934720522235822,0.5759644560034677,0.4742118747911329
25,0.7365129007036747,0.6216937446040343,0.496532027743778,0.48320329432162984,0.37506962236827446
30,0.6780537679677633,0.5230358684561651,0.4084863321093431,0.3787386215864759,0.2801604099365044
35,0.6014915498887352,0.44910132642649714,0.33178294573643413,0.29128738621586475,0.19115517433441015
40,0.5269140554519757,0.3665332391492034,0.2430844553243574,0.2055700043346337,0.13389773866547844
45,0.4515547001864437,0.2772937759987442,0.17935536515707876,0.12765496315561334,0.0887824440236159
50,0.37342876044987067,0.19927792167019856,0.1105671154630763,0.06491114000866927,0.03932271360142586
0,1.0,1.0,1.0,1.0,1.0
5,0.9545919287905215,0.9299113099442744,0.8928600571195431,0.8833983528391851,0.8459396234822324
10,0.9052144102965057,0.8557413075896712,0.7999184006527947,0.7737321196358907,0.6971148490587056
15,0.8534311661754976,0.7807079507103053,0.6919624643002856,0.6740355439965323,0.5790353124651888
20,0.7996631984122211,0.6997095989325799,0.5918400652794777,0.578565236237538,0.4691990642753704
25,0.7350694653274794,0.6221646652539047,0.4900856793145655,0.48233636757693976,0.37785451709925366
30,0.6719793107596078,0.5343379640530571,0.406609547123623,0.37418725617685306,0.2794920352010694
35,0.6056414265952969,0.44619731575229576,0.32239902080783356,0.2818595578673602,0.19861869221343434
40,0.5311240752992121,0.3688878423985558,0.24267645858833128,0.20806241872561768,0.13356355129776096
45,0.4432549467733205,0.28412212542186643,0.1701346389228886,0.129172084958821,0.08187590509078757
50,0.37409033499729355,0.20359469429401145,0.10722154222766218,0.06859557867360208,0.02673498941740002
0,1.0,1.0,1.0,1.0,1.0
5,0.9542310699464726,0.9283415744447061,0.8894328845369237,0.8861074989163416,0.847053581374624
10,0.9032296866542371,0.8545640059649949,0.7869441044471644,0.7885782401387083,0.7129330511306673
15,0.8510855836891803,0.7723883525625932,0.6888616891064872,0.6744690073688774,0.5748022724741004
20,0.796295182534432,0.6995526253826231,0.5974704202366381,0.5733636757693975,0.47476885373732874
25,0.7358513261562519,0.6153363158307825,0.5024887800897593,0.4667316861725184,0.3658237718614236
30,0.6724604558850064,0.5323757946785966,0.4083231334149327,0.37494581707845687,0.29920908989640194
