core_number,change_0,change_2,change_4,change_6,change_8,change_10,change_12,change_14,change_16,change_18,change_20,change_22,change_24,change_26,change_28,change_30,change_32,change_34,change_36,change_38,change_40,change_42,change_44,change_46,change_48,change_50,change_52,change_54,change_56,change_58,change_60,change_62,change_64,change_66,change_68,change_70,change_72,change_74,change_76,change_78,change_80,change_82,change_84,change_86,change_88
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.30000000000001,991.89999999999998,1860.5999999999999
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0,476.80000000000001,1051.4000000000001,1596.5,2146.1999999999998,2674.0999999999999,3142.1999999999998,3581.1999999999998,4219.0,3634.0999999999999,2765.4000000000001
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315.10000000000002,725.39999999999998,1119.3,1518.0999999999999,1905.9000000000001,2282.3000000000002,2640.3000000000002,2993.8000000000002,2845.3000000000002,2565.0,2275.9000000000001,2089.5999999999999,1832.7,1483.8,1044.8,681.75,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.59999999999999,491.69999999999999,816.79999999999995,1138.5999999999999,1448.5,1773.4000000000001,2078.3000000000002,2365.8000000000002,2334.0999999999999,2200.6999999999998,2049.3000000000002,1889.4000000000001,1724.0,1556.2,1363.0,1154.2,999.70000000000005,956.89999999999998,735.60000000000002,557.42857142857144,397.33333333333331,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,37.666666666666664,246.80000000000001,519.60000000000002,806.20000000000005,1077.9000000000001,1353.2,1631.8,1889.3,1965.3,1876.0,1777.5,1671.2,1571.5999999999999,1469.5,1343.0999999999999,1233.5,1125.9000000000001,994.5,896.0,784.70000000000005,661.20000000000005,606.70000000000005,578.10000000000002,449.10000000000002,329.55555555555554,263.5,180.0,0,0,0,0,0,0,0
6,0,0,0,0,0,199.30000000000001,459.5,689.79999999999995,946.70000000000005,1212.0,1453.0,1652.2,1651.8,1599.0,1508.8,1464.2,1394.0999999999999,1284.9000000000001,1186.8,1127.0,1051.5,997.79999999999995,935.5,856.79999999999995,752.29999999999995,703.70000000000005,619.20000000000005,529.29999999999995,456.30000000000001,413.10000000000002,370.89999999999998,311.69999999999999,216.875,223.0,126.5,76.0,0,0,0,0,0,0,0,0,0
7,246.0,592.39999999999998,874.29999999999995,1134.2,1355.3,1408.7,1369.0999999999999,1343.3,1302.0999999999999,1233.2,1174.0,1131.0999999999999,1054.0,998.39999999999998,958.70000000000005,876.20000000000005,798.39999999999998,774.89999999999998,735.29999999999995,678.29999999999995,633.10000000000002,553.79999999999995,473.80000000000001,431.69999999999999,371.10000000000002,309.80000000000001,279.60000000000002,243.59999999999999,206.69999999999999,156.66666666666666,89.857142857142861,77.333333333333329,73.0,0,0,0,0,0,0,0,0,0,0,0,0
8,1196.0,1202.0,1180.0999999999999,1133.8,1119.9000000000001,1043.5999999999999,985.60000000000002,938.10000000000002,870.29999999999995,810.89999999999998,760.70000000000005,712.89999999999998,666.89999999999998,619.39999999999998,575.79999999999995,541.5,525.79999999999995,470.0,437.69999999999999,390.60000000000002,322.80000000000001,269.30000000000001,238.30000000000001,196.19999999999999,177.90000000000001,163.59999999999999,109.90000000000001,75.099999999999994,60.571428571428569,73.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,961.0,864.89999999999998,789.29999999999995,744.60000000000002,674.79999999999995,663.5,637.79999999999995,598.39999999999998,556.29999999999995,520.10000000000002,501.5,496.10000000000002,462.80000000000001,420.0,379.89999999999998,340.60000000000002,293.89999999999998,240.19999999999999,182.30000000000001,146.0,147.30000000000001,139.09999999999999,117.8,106.8,81.111111111111114,49.200000000000003,45.0,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,667.0,605.0,585.70000000000005,528.20000000000005,523.89999999999998,478.60000000000002,442.80000000000001,413.60000000000002,395.0,370.5,307.10000000000002,258.10000000000002,264.39999999999998,216.40000000000001,177.09999999999999,161.59999999999999,134.59999999999999,119.3,116.09999999999999,92.299999999999997,77.599999999999994,60.444444444444443,43.666666666666664,23.600000000000001,29.333333333333332,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
