core_number,change_0,change_2,change_4,change_6,change_8,change_10,change_12,change_14,change_16,change_18,change_20,change_22,change_24,change_26,change_28,change_30,change_32,change_34,change_36,change_38,change_40,change_42,change_44,change_46,change_48,change_50,change_52,change_54,change_56,change_58,change_60,change_62,change_64,change_66,change_68,change_70,change_72,change_74,change_76,change_78,change_80,change_82,change_84,change_86,change_88
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,246.0,149.0,41.444444444444443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1196.0,1213.0999999999999,1245.2,1186.2,1101.4000000000001,1014.5,903.89999999999998,765.39999999999998,636.29999999999995,481.5,305.39999999999998,163.19999999999999,49.600000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,961.0,1008.8,1047.7,1073.0,1095.4000000000001,1105.0999999999999,1144.8,1203.4000000000001,1246.5999999999999,1289.5,1347.5999999999999,1383.3,1373.5,1253.8,1086.5999999999999,921.5,746.5,551.89999999999998,392.10000000000002,221.5,80.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,667.0,681.0,681.70000000000005,705.39999999999998,727.89999999999998,763.89999999999998,789.70000000000005,827.60000000000002,838.89999999999998,883.70000000000005,924.79999999999995,926.20000000000005,977.79999999999995,1026.5999999999999,1080.5,1152.4000000000001,1218.5,1285.7,1308.8,1336.4000000000001,1314.9000000000001,1202.0,1019.3,848.60000000000002,688.29999999999995,534.5,381.10000000000002,231.90000000000001,69.299999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
