core_number,change_0,change_2,change_4,change_6,change_8,change_10,change_12,change_14,change_16,change_18,change_20,change_22,change_24,change_26,change_28,change_30,change_32,change_34,change_36,change_38,change_40,change_42,change_44,change_46,change_48,change_50,change_52,change_54,change_56,change_58,change_60,change_62,change_64,change_66,change_68,change_70,change_72,change_74,change_76,change_78,change_80,change_82,change_84,change_86,change_88
1,2520.0,2560.4000000000001,2596.3000000000002,2638.8000000000002,2675.5,2712.5,2744.9000000000001,2769.5,2804.5999999999999,2823.5999999999999,2843.9000000000001,2859.0999999999999,2871.8000000000002,2893.4000000000001,2896.1999999999998,2907.6999999999998,2903.9000000000001,2898.8000000000002,2896.1999999999998,2890.4000000000001,2883.0,2865.0999999999999,2859.0999999999999,2848.1999999999998,2838.0,2814.5999999999999,2790.3000000000002,2739.5999999999999,2697.6999999999998,2638.0,2576.0999999999999,2513.5,2440.4000000000001,2351.1999999999998,2264.3000000000002,2179.5999999999999,2085.0,1971.4000000000001,1854.0,1720.5,1577.8,1419.3,1251.8,1099.5999999999999,938.60000000000002
2,3637.0,3610.6999999999998,3606.5999999999999,3582.1999999999998,3567.9000000000001,3533.0,3487.8000000000002,3461.3000000000002,3429.9000000000001,3412.9000000000001,3388.0,3358.6999999999998,3322.0,3272.0999999999999,3236.0999999999999,3184.3000000000002,3130.9000000000001,3084.8000000000002,3037.9000000000001,2991.5,2921.0,2855.5,2785.9000000000001,2714.0,2622.9000000000001,2538.9000000000001,2454.0,2380.5,2278.1999999999998,2184.4000000000001,2083.1999999999998,1980.7,1874.2,1754.7,1646.4000000000001,1535.0999999999999,1406.5999999999999,1275.0,1125.2,991.0,866.0,734.0,609.29999999999995,474.80000000000001,364.5
3,3509.0,3468.4000000000001,3408.0999999999999,3363.1999999999998,3320.8000000000002,3279.5999999999999,3233.1999999999998,3174.5,3132.5999999999999,3066.9000000000001,2996.0,2928.8000000000002,2869.6999999999998,2797.0999999999999,2736.6999999999998,2665.6999999999998,2597.5,2519.9000000000001,2440.4000000000001,2357.0,2272.4000000000001,2190.1999999999998,2111.8000000000002,2019.5,1944.9000000000001,1879.0,1782.9000000000001,1678.5999999999999,1585.3,1489.8,1388.4000000000001,1286.0999999999999,1204.7,1109.8,991.10000000000002,860.60000000000002,772.5,666.29999999999995,576.79999999999995,476.60000000000002,371.10000000000002,291.69999999999999,210.59999999999999,156.19999999999999,95.599999999999994
4,3052.0,2985.6999999999998,2938.0,2876.1999999999998,2802.5,2727.1999999999998,2663.8000000000002,2599.6999999999998,2529.3000000000002,2447.9000000000001,2368.0999999999999,2306.0,2239.0,2176.5,2116.5999999999999,2055.1999999999998,1985.0999999999999,1926.8,1837.9000000000001,1742.0,1686.5999999999999,1616.7,1535.3,1450.8,1363.7,1272.5999999999999,1192.5999999999999,1092.0999999999999,999.5,926.60000000000002,847.20000000000005,741.89999999999998,636.39999999999998,564.60000000000002,495.39999999999998,416.10000000000002,333.0,275.80000000000001,214.5,157.40000000000001,125.40000000000001,90.5,74.599999999999994,55.25,34.200000000000003
5,2335.0,2294.6999999999998,2243.6999999999998,2204.5999999999999,2169.4000000000001,2130.5,2061.8000000000002,2033.9000000000001,1984.4000000000001,1935.7,1915.3,1856.2,1765.3,1705.0,1641.7,1569.7,1492.2,1402.0,1335.0,1290.8,1182.0999999999999,1091.9000000000001,1021.5,952.89999999999998,871.60000000000002,778.79999999999995,708.10000000000002,636.5,562.70000000000005,474.19999999999999,411.80000000000001,363.0,307.39999999999998,251.90000000000001,200.80000000000001,168.5,130.30000000000001,112.0,87.599999999999994,66.799999999999997,57.444444444444443,40.0,24.0,19.666666666666668,19.5
6,2103.0,2045.9000000000001,1994.5,1926.3,1846.7,1766.9000000000001,1720.7,1647.0999999999999,1592.4000000000001,1528.4000000000001,1436.4000000000001,1353.8,1288.3,1218.9000000000001,1132.0,1064.5999999999999,997.60000000000002,949.0,887.29999999999995,801.60000000000002,743.10000000000002,691.70000000000005,603.89999999999998,536.70000000000005,481.69999999999999,452.89999999999998,374.19999999999999,330.0,290.5,253.59999999999999,213.0,175.40000000000001,144.90000000000001,135.40000000000001,115.7,92.900000000000006,69.200000000000003,60.25,47.714285714285715,33.571428571428569,32.25,30.0,30.0,0,0
7,1597.0,1513.0999999999999,1457.0999999999999,1385.0,1330.0,1293.2,1235.8,1164.2,1085.5,1027.2,980.70000000000005,924.20000000000005,885.60000000000002,826.20000000000005,767.0,725.39999999999998,695.79999999999995,617.20000000000005,556.89999999999998,517.60000000000002,480.19999999999999,431.19999999999999,388.60000000000002,353.69999999999999,300.10000000000002,239.69999999999999,215.30000000000001,205.80000000000001,181.09999999999999,156.19999999999999,134.19999999999999,113.59999999999999,91.200000000000003,68.444444444444443,56.888888888888886,39.888888888888886,38.285714285714285,34.75,27.333333333333332,22.0,0,0,0,0,0
8,1196.0,1191.5,1132.9000000000001,1121.8,1051.0999999999999,980.5,942.10000000000002,882.10000000000002,810.39999999999998,766.60000000000002,725.70000000000005,685.39999999999998,628.89999999999998,588.5,554.29999999999995,502.10000000000002,426.39999999999998,386.10000000000002,352.89999999999998,308.80000000000001,271.80000000000001,234.09999999999999,207.5,172.30000000000001,156.90000000000001,142.59999999999999,130.59999999999999,103.09999999999999,91.0,69.299999999999997,57.0,45.888888888888886,44.333333333333336,36.857142857142854,31.199999999999999,24.0,20.0,0,0,0,0,0,0,0,0
9,961.0,886.29999999999995,828.5,760.89999999999998,740.89999999999998,700.0,637.89999999999998,607.0,576.0,519.5,472.89999999999998,448.19999999999999,412.60000000000002,363.69999999999999,324.69999999999999,286.30000000000001,266.0,251.5,226.40000000000001,189.19999999999999,173.80000000000001,158.59999999999999,133.30000000000001,117.3,107.59999999999999,85.299999999999997,84.900000000000006,64.900000000000006,45.25,41.25,37.0,36.5,32.0,25.0,21.0,11.0,22.0,0,0,0,0,0,0,0,0
10,667.0,628.39999999999998,598.79999999999995,548.29999999999995,477.5,436.89999999999998,416.80000000000001,382.80000000000001,353.0,336.80000000000001,305.89999999999998,266.39999999999998,234.0,221.09999999999999,196.40000000000001,185.30000000000001,176.80000000000001,158.30000000000001,136.59999999999999,127.40000000000001,117.3,102.7,94.0,76.099999999999994,63.444444444444443,55.444444444444443,37.571428571428569,41.714285714285715,36.857142857142854,44.25,41.0,35.5,25.0,13.0,13.0,13.0,0,0,0,0,0,0,0,0,0
11,451.0,427.5,407.89999999999998,381.39999999999998,370.0,355.19999999999999,320.80000000000001,291.39999999999998,272.30000000000001,241.90000000000001,206.0,201.5,177.5,149.69999999999999,128.69999999999999,118.59999999999999,97.700000000000003,86.599999999999994,79.799999999999997,61.600000000000001,45.5,37.899999999999999,39.0,34.555555555555557,31.111111111111111,27.125,24.0,19.666666666666668,23.0,30.5,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,364.0,337.19999999999999,287.0,268.69999999999999,246.19999999999999,237.30000000000001,229.59999999999999,210.80000000000001,172.30000000000001,156.19999999999999,161.09999999999999,127.0,128.30000000000001,123.8,107.7,69.099999999999994,58.299999999999997,42.200000000000003,32.200000000000003,28.699999999999999,20.800000000000001,32.700000000000003,22.375,19.625,20.285714285714285,25.0,24.75,20.0,13.5,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,260.0,249.19999999999999,241.40000000000001,214.40000000000001,205.59999999999999,159.5,130.69999999999999,130.90000000000001,130.59999999999999,109.8,80.200000000000003,81.299999999999997,59.399999999999999,49.200000000000003,39.200000000000003,36.700000000000003,35.299999999999997,35.799999999999997,30.0,27.899999999999999,24.5,16.666666666666668,19.600000000000001,29.0,19.333333333333332,7.5,7.5,7.5,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,150.0,119.3,120.09999999999999,117.0,101.90000000000001,110.8,100.7,77.099999999999994,62.899999999999999,57.100000000000001,49.799999999999997,34.399999999999999,38.399999999999999,32.600000000000001,28.199999999999999,34.0,26.333333333333332,22.5,24.571428571428573,23.333333333333332,23.166666666666668,19.0,16.0,8.0,8.0,8.0,16.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,136.0,132.19999999999999,101.7,89.599999999999994,80.900000000000006,58.700000000000003,54.899999999999999,44.0,38.399999999999999,36.0,30.0,25.100000000000001,25.0,22.399999999999999,19.600000000000001,7.7142857142857144,12.428571428571429,14.666666666666666,13.25,16.75,6.0,8.5,8.5,0.0,0.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,56.0,51.5,48.700000000000003,47.700000000000003,35.299999999999997,34.799999999999997,28.199999999999999,28.399999999999999,21.300000000000001,22.100000000000001,20.699999999999999,16.100000000000001,13.666666666666666,18.125,22.714285714285715,22.571428571428573,17.666666666666668,17.5,11.666666666666666,6.0,12.0,0.0,0.0,0.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,36.0,42.299999999999997,34.700000000000003,19.699999999999999,22.600000000000001,21.899999999999999,17.600000000000001,10.800000000000001,13.0,10.666666666666666,10.222222222222221,9.5,21.428571428571427,15.5,7.5999999999999996,0.0,0.0,0.0,0.0,9.5,0.0,0.0,19.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,52.0,27.5,17.5,13.9,8.9000000000000004,7.5999999999999996,9.8000000000000007,11.6,13.111111111111111,14.875,15.0,19.571428571428573,10.0,6.666666666666667,6.666666666666667,6.666666666666667,13.333333333333334,20.0,20.0,20.0,20.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0.0,0.20000000000000001,0.80000000000000004,6.7999999999999998,8.5999999999999996,10.5,11.777777777777779,12.428571428571429,14.0,10.666666666666666,15.5,7.0,0.0,10.5,10.5,10.5,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.0,5.0999999999999996,8.9000000000000004,4.9000000000000004,9.3000000000000007,14.125,12.857142857142858,17.800000000000001,11.5,14.333333333333334,0.0,0.0,11.0,22.0,22.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2.0,9.5999999999999996,11.6,13.6,11.25,11.333333333333334,13.6,22.666666666666668,22.5,11.5,11.5,11.5,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23.0,11.6,11.9,11.875,15.833333333333334,11.75,23.666666666666668,0.0,0.0,24.0,24.0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.0,11.111111111111111,8.3333333333333339,15.0,16.666666666666668,25.0,25.0,25.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
