change,correlation_100,pvalue_100,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,1.0,0,1.0,0,1.0,0,1.0,0
2,0.948279446669743,0,0.8890953833210643,0,0.8755828721967157,0,0.8638505669647538,0
4,0.8974488145777743,0,0.8005372220469497,0,0.8067751553203871,0,0.7953714105963241,0
6,0.8635902537355725,0,0.742709807083348,0,0.7226358613942258,0,0.7197201875402568,0
8,0.8260783514004763,0,0.6799753216251271,0,0.6576922674158547,0,0.6618313635614673,0
10,0.7995713370901548,0,0.6403867213517019,0,0.5977789147245073,0,0.6325738851690409,0
12,0.7739773625342687,0,0.6198952571248291,0,0.5938781402543469,0,0.567216405278689,0
14,0.748236519286738,0,0.6111402297238873,0,0.5540909886499805,0,0.5282733414221303,0
16,0.726390160625662,0,0.5941211250160666,0,0.5125864490909662,0,0.4714660195629054,0
18,0.7037422908218406,0,0.5402652457905376,0,0.4888691419193755,0,0.4471666741562935,0
20,0.6839064130446899,0,0.5128556104742875,0,0.4813391138098636,0,0.43080333737773185,0
22,0.6657831910846423,0,0.5184321753660275,0,0.46894190651006723,0,0.37242019802573434,0
24,0.6492966861396234,0,0.5076946518502938,0,0.4460324299094781,0,0.3931784478497281,0
26,0.631861566900699,0,0.49087334805622745,0,0.40854310748484945,0,0.37178807351817733,0
28,0.6142072818661848,0,0.4624311471004078,0,0.40374175152627617,0,0.38126994113153284,0
30,0.5959736537229426,0,0.4206603802245826,0,0.3905539174546755,0,0.3124133075690169,0
32,0.5806103093667082,0,0.43737848354190767,0,0.3705264512152614,0,0.3230875237795653,0
34,0.566433340095452,0,0.4290220492866407,0,0.3662816007611559,0,0.35163198969427345,0
36,0.5504685253424868,0,0.4258777999789673,0,0.3548784738584531,0,0.32828832067586394,0
38,0.5306379331043671,0,0.3870119769575022,0,0.38124591409769065,0,0.2763882023397594,0
40,0.5134271402812338,0,0.3525054392914315,0,0.3707284088580118,0,0.3093815066133405,0
42,0.4973445957075593,0,0.3816448043374113,0,0.32842950257084597,0,0.2786860198624905,0
44,0.4830919511742181,0,0.3935872682020542,0,0.29305624744747977,0,0.28331760511691306,0
46,0.4666469536147782,0,0.3972516329559131,0,0.2600653445172988,0,0.2594376788148414,0
48,0.45167546952930837,0,0.38213276311330785,0,0.3439144178309151,0,0.233089171497476,0
50,0.42833544146068064,0,0.32964073801427884,0,0.32445243299120213,0,0.28891984601327164,0
52,0.40931139961707913,0,0.32702726072375876,0,0.2929881802419602,0,0.267032160457766,0
54,0.3863349314867656,0,0.3401913041446115,0,0.24545483105121196,0,0.22743899698917,0
56,0.36329104606813445,0,0.3458443346069805,0,0.2761314489937273,0,0.17210263784658247,0
58,0.347323689384821,0,0.3234814269522441,0,0.2816972520296743,0,0.2109228718225258,0
60,0.3271053925722311,0,0.28506860167560555,0,0.27239822456792284,0,0.23358648272143082,0
62,0.30230762795100746,0,0.229174886949206,0,0.22763244307412445,0,0.1949370122380503,0
64,0.2754788706013945,0,0.25777151470536686,0,0.17208137546618557,0,0.14456777363351758,0
66,0.2534019458002172,0,0.2768286418714434,0,0.1767196693280196,0,0.09957009541784628,0
68,0.23485976139628167,0,0.27048256038139307,0,0.22962883177227555,0,0.11977411285369763,0
70,0.21255160320810626,0,0.24435320924036877,0,0.2098833582414426,0,0.1671594841145014,0
72,0.18222741867871342,0,0.1935839964478097,0,0.17524911849228897,0,0.09906978834314474,0
74,0.15608148687776266,0,0.15608148687776266,0,0.10365064618965768,0,-0.015362722629158615,0
