truss_number,change_0,change_65,change_35,change_5,change_70,change_40,change_10,change_75,change_45,change_15,change_80,change_50,change_20,change_85,change_55,change_25,change_60,change_30
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,12128.200000000001,1749.0,0,9289.1000000000004,3314.1999999999998,1.0,6363.1000000000004,5615.1000000000004,9.1999999999999993,3547.3000000000002,8371.7000000000007,57.600000000000001,1580.0999999999999,11382.6,232.09999999999999,14127.4,761.5
4,0,2342.8000000000002,5759.6999999999998,1.0,1025.625,7561.8000000000002,14.0,410.0,8268.7999999999993,138.0,0,7760.0,614.10000000000002,0,6332.8999999999996,1744.7,4368.6999999999998,3596.8000000000002
5,0,156.0,6590.6000000000004,7.7000000000000002,0,5534.6000000000004,201.59999999999999,0,3836.0,1093.0,0,2381.3000000000002,2850.1999999999998,0,1092.7777777777778,5055.8000000000002,405.80000000000001,6590.1000000000004
6,0,0,3208.4000000000001,132.30000000000001,0,1931.4000000000001,1320.0999999999999,0,940.5,3576.0999999999999,0,372.0,5456.6000000000004,0,0,5765.1000000000004,0,4619.8000000000002
7,0,0,1045.5,1089.3,0,481.71428571428572,3624.0,0,193.0,5082.3000000000002,0,0,4714.1000000000004,0,0,3400.0999999999999,0,2028.4000000000001
8,0,0,384.0,3070.8000000000002,0,198.0,4704.3000000000002,0,0,3954.4000000000001,0,0,2637.6999999999998,0,0,1510.9000000000001,0,679.70000000000005
9,228.0,0,193.0,4244.8000000000002,0,0,3600.0,0,0,2371.5999999999999,0,0,1251.3,0,0,442.60000000000002,0,305.66666666666669
10,4995.0,0,0,3626.9000000000001,0,0,2233.3000000000002,0,0,1086.4000000000001,0,0,483.10000000000002,0,0,352.10000000000002,0,246.0
11,3521.0,0,0,2447.5999999999999,0,0,1296.7,0,0,579.70000000000005,0,0,209.09999999999999,0,0,254.83333333333334,0,0
12,2711.0,0,0,1483.5,0,0,636.5,0,0,257.80000000000001,0,0,250.09999999999999,0,0,213.5,0,0
13,2190.0,0,0,972.5,0,0,365.89999999999998,0,0,133.80000000000001,0,0,291.19999999999999,0,0,0,0,0
14,1394.0,0,0,627.89999999999998,0,0,130.90000000000001,0,0,219.33333333333334,0,0,295.0,0,0,0,0,0
15,1146.0,0,0,286.39999999999998,0,0,98.599999999999994,0,0,268.83333333333331,0,0,0,0,0,0,0,0
16,676.0,0,0,127.59999999999999,0,0,216.0,0,0,145.0,0,0,0,0,0,0,0,0
17,523.0,0,0,43.200000000000003,0,0,377.83333333333331,0,0,290.0,0,0,0,0,0,0,0,0
18,153.0,0,0,163.19999999999999,0,0,302.0,0,0,0,0,0,0,0,0,0,0,0
19,540.0,0,0,137.22222222222223,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.0,0,0,178.14285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0.0,0,0,317.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,41.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,253.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
