core triangles
25 3
25 8
25 9
25 3
25 4
25 22
25 3
25 4
25 2
25 12
25 4
25 6
25 11
25 2
25 2
25 6
25 6
25 5
25 2
25 3
25 10
25 2
25 13
25 9
25 8
25 6
22 114
22 18
22 1
22 4
22 108
22 1
22 3
22 1
22 21
22 115
22 46
22 1
22 5
22 39
22 5
22 1
22 37
22 1
22 8
22 37
22 1
22 1
22 1
21 3
21 1
18 31
18 1
18 2
18 1
18 43
18 11
18 6
18 3
18 1
18 29
18 6
18 1
18 92
18 1
18 1
18 1
18 87
18 4
18 1
18 1
18 1
18 2
18 1
18 1
18 7
18 1
18 1
18 5
18 1
18 1
18 1
18 1
18 1
18 1
18 1
18 18
18 11
18 1
18 36
18 3
18 1
18 1
18 15
18 1
18 6
18 4
18 8
18 1
18 26
18 19
18 9
18 4
17 19
17 6
17 10
17 45
17 28
17 30
17 15
17 10
17 30
17 5
17 11
17 48
17 27
17 28
17 7
17 62
17 30
17 8
17 7
17 16
17 3
17 21
17 2
17 5
17 10
17 15
17 7
17 10
17 18
17 75
17 22
17 9
17 15
17 14
17 19
17 5
16 1
16 28
16 1
16 12
16 1
16 1
16 1
16 3
16 1
16 2
16 1
16 8
16 17
16 1
16 8
16 1
16 7
16 6
16 1
16 15
16 30
16 6
16 12
16 1
16 7
16 13
16 1
16 10
16 1
16 27
16 199
16 2
16 1
16 3
16 1
16 17
16 1
16 41
16 1
16 8
16 31
16 2
16 33
16 1
16 1
16 1
16 28
16 1
16 4
16 8
16 5
16 1
16 2
16 10
16 22
16 24
15 7
15 4
15 10
15 21
15 21
15 25
15 1
15 2
15 7
15 22
15 3
15 1
15 10
15 21
15 20
15 16
15 8
15 18
15 10
15 21
15 6
15 2
15 50
15 7
15 41
15 4
15 7
15 5
15 94
15 4
15 5
15 6
15 22
15 7
15 8
15 11
15 2
15 50
15 111
15 6
15 55
15 17
15 15
15 2
15 10
15 4
15 64
15 3
15 5
15 3
15 12
15 3
15 6
15 39
15 13
15 1
15 1
15 21
15 72
15 35
15 8
15 101
15 8
15 23
15 12
15 35
15 57
15 18
15 40
15 61
15 13
15 102
15 10
15 30
15 57
15 2
15 3
15 23
15 3
15 22
15 5
15 1
15 22
15 4
15 9
15 10
15 33
15 48
15 4
15 97
15 4
15 12
15 1
15 24
15 5
15 7
15 50
15 10
15 20
15 6
15 1
15 8
15 1
15 36
15 3
15 8
15 4
15 55
15 1
15 48
15 3
15 53
15 2
15 1
15 9
15 1
15 29
15 110
15 28
15 2
15 2
15 45
15 5
15 17
15 13
15 2
15 33
15 4
15 1
15 8
15 70
15 6
15 1
15 10
15 49
15 3
14 8
14 1
14 15
14 1
14 5
14 9
14 4
14 12
14 1
14 12
14 63
14 5
14 10
14 15
14 1
14 10
14 9
14 26
14 3
14 19
14 4
14 24
14 1
14 23
14 1
14 95
14 14
14 3
14 1
14 1
14 12
14 3
14 4
14 4
14 1
14 1
14 3
14 10
14 3
14 1
14 1
14 1
14 1
14 34
14 1
14 18
14 43
14 33
14 4
14 9
14 16
14 22
14 53
14 2
14 3
14 3
14 8
14 2
14 12
14 34
14 5
14 14
14 3
14 17
14 14
14 16
14 11
14 60
14 7
14 5
14 12
14 54
14 33
14 25
14 3
14 4
14 76
14 3
14 1
14 6
14 2
14 25
14 9
14 33
14 6
14 36
14 13
14 58
14 1
14 1
14 14
14 10
14 6
14 10
14 19
14 2
14 25
14 24
14 26
14 1
14 1
14 14
14 3
14 4
14 5
14 6
14 29
14 6
14 29
14 35
14 13
14 7
14 2
14 1
14 35
14 4
14 4
14 27
14 10
14 19
14 1
14 13
14 10
14 1
14 27
14 1
14 4
14 1
14 34
14 40
14 33
14 24
14 27
14 8
14 1
14 2
14 17
14 35
14 7
14 2
14 37
14 18
14 3
14 1
14 1
14 1
14 43
14 1
14 9
14 7
13 1
13 22
13 1
13 2
13 8
13 1
13 1
13 4
13 3
13 1
13 13
13 2
13 9
13 8
13 10
13 18
13 7
13 8
13 3
13 14
13 26
13 3
13 5
13 38
13 2
13 37
13 1
13 1
13 2
13 4
13 3
13 6
13 4
13 9
13 3
13 1
13 19
13 1
13 2
13 29
13 10
13 1
13 61
13 3
13 5
13 18
13 17
13 28
13 5
13 1
13 7
13 2
13 14
13 4
13 2
13 22
13 1
13 3
13 6
13 4
13 1
13 1
13 10
13 4
13 18
13 2
13 1
13 2
13 13
13 1
13 3
13 10
13 5
13 10
13 4
13 12
