core triangles
43 18
43 5
43 7
43 3
43 17
43 3
43 8
43 3
43 3
43 5
43 1
43 10
43 14
43 11
43 5
43 5
43 5
43 3
43 3
43 3
43 9
43 3
43 3
43 4
43 4
43 3
43 32
43 13
43 6
43 25
43 18
43 6
43 10
43 27
43 3
43 9
43 16
43 45
43 10
43 4
43 3
43 3
43 8
43 7
42 4
42 1
34 1
34 1
34 1
34 1
34 1
34 1
34 1
34 1
34 1
34 1
34 1
34 1
34 1
34 1
34 1
34 1
34 1
34 1
34 1
34 1
34 1
34 1
34 1
34 2
34 1
34 1
34 1
34 1
34 1
34 1
34 1
34 2
34 1
34 1
34 1
33 1
33 4
33 3
33 2
33 3
33 3
33 3
33 2
33 5
33 3
33 3
33 3
33 3
33 3
33 1
33 3
33 3
33 3
33 3
33 1
33 2
33 3
33 1
33 2
33 4
33 3
33 2
33 1
33 3
33 1
33 7
33 3
33 3
33 3
31 1
31 2
31 1
31 2
31 1
31 1
31 1
31 1
25 3
23 1
23 1
23 1
23 1
23 1
23 1
23 1
23 1
23 1
23 1
23 1
23 1
23 1
23 1
23 1
23 1
23 1
23 1
23 1
23 1
23 1
23 1
23 1
23 1
21 2
21 2
21 1
21 6
21 2
21 2
21 2
21 1
21 2
21 3
21 2
21 5
21 1
21 2
21 2
21 2
21 2
21 2
21 2
21 1
21 2
21 2
20 1
20 1
20 1
20 1
20 1
20 1
20 1
20 1
20 2
20 2
20 1
20 1
20 1
20 1
20 1
20 4
20 1
20 1
20 1
20 1
20 1
19 1
19 1
17 1
17 6
17 1
17 1
17 5
17 1
17 1
17 1
17 1
17 2
17 6
17 1
17 1
17 1
17 3
17 2
17 1
17 1
17 1
17 1
17 1
17 8
17 1
17 1
17 1
17 1
17 1
17 4
17 15
17 4
17 1
17 1
17 1
17 1
17 1
15 1
15 1
15 1
15 1
15 1
15 1
15 1
15 1
15 1
15 1
15 1
15 1
15 1
15 1
15 1
15 1
14 1
14 1
14 1
14 1
14 1
14 2
14 1
14 1
14 1
14 1
14 1
14 1
14 2
14 1
14 1
13 2
13 3
13 1
13 1
13 1
13 1
13 1
13 4
13 2
13 1
13 4
13 1
13 1
13 1
12 1
12 4
12 3
12 1
12 25
11 1
11 2
11 5
11 1
11 4
11 1
11 2
11 9
11 2
11 2
11 2
11 2
11 1
11 2
11 2
11 3
11 1
11 2
11 1
11 1
11 10
11 1
11 4
11 6
11 2
11 1
11 1
11 8
11 3
11 1
11 1
11 1
11 1
11 1
11 2
11 4
11 3
11 5
10 1
10 1
10 1
10 1
10 1
9 6
9 14
9 1
9 9
9 1
9 13
9 16
9 5
9 1
9 2
9 1
9 2
9 1
9 4
9 3
9 2
9 6
9 13
9 6
9 9
9 1
9 2
9 1
9 1
9 2
9 1
9 1
9 1
9 1
9 2
9 8
9 1
9 7
9 18
9 13
9 1
9 1
9 9
9 1
8 1
8 1
8 1
8 2
8 2
8 2
8 1
8 1
8 1
8 2
8 1
8 2
8 1
8 6
8 1
8 3
8 2
8 1
8 2
8 2
8 2
8 1
8 1
8 2
8 3
8 1
8 1
8 2
8 2
8 5
8 2
8 1
8 1
8 1
8 4
8 4
8 3
8 1
8 4
8 2
8 1
8 2
8 1
8 1
8 1
7 1
7 2
7 1
7 1
7 1
7 1
7 1
7 2
7 1
7 1
7 1
7 1
7 1
7 1
7 2
7 2
7 2
7 1
7 2
7 3
7 1
7 1
7 1
7 1
7 1
7 1
7 2
7 1
7 1
7 2
7 2
7 2
7 2
7 1
7 1
7 1
7 1
7 1
7 2
7 1
7 4
7 1
7 2
7 5
7 1
7 1
7 1
7 1
7 4
7 3
6 1
6 5
6 1
6 1
6 2
6 1
6 7
6 1
6 3
6 5
6 2
6 2
6 1
6 1
6 2
6 1
6 11
6 5
6 2
6 1
6 1
6 1
6 11
6 2
6 8
6 1
6 1
6 1
6 4
6 1
6 2
6 3
6 2
6 2
6 1
6 2
6 3
6 4
6 1
6 1
6 10
6 1
6 7
6 3
6 2
6 1
6 2
6 1
6 2
6 2
6 2
6 1
6 3
6 1
6 1
6 3
6 2
6 2
6 1
6 11
6 1
6 13
6 8
6 2
6 2
6 1
6 1
6 6
6 2
