core triangles
25 372
25 424
25 481
25 372
25 408
25 651
25 372
25 392
25 339
25 398
25 397
25 421
25 529
25 333
25 333
25 453
25 458
25 407
25 333
25 372
25 502
25 333
25 537
25 426
25 490
25 458
22 1615
22 365
22 231
22 286
22 1122
22 231
22 273
22 231
22 417
22 1524
22 715
22 231
22 296
22 888
22 304
22 231
22 737
22 231
22 260
22 867
22 231
22 231
22 231
21 290
21 210
18 605
18 153
18 198
18 153
18 551
18 322
18 282
18 196
18 153
18 517
18 267
18 153
18 1094
18 153
18 153
18 153
18 848
18 289
18 153
18 153
18 153
18 219
18 153
18 153
18 283
18 153
18 154
18 297
18 153
18 153
18 153
18 153
18 153
18 153
18 153
18 369
18 263
18 153
18 576
18 183
18 153
18 153
18 318
18 153
18 245
18 180
18 331
18 153
18 435
18 309
18 353
18 244
17 338
17 252
17 283
17 553
17 436
17 373
17 308
17 277
17 550
17 168
17 292
17 633
17 411
17 436
17 179
17 631
17 509
17 224
17 179
17 345
17 187
17 288
17 145
17 203
17 341
17 348
17 221
17 277
17 310
17 736
17 311
17 241
17 216
17 295
17 362
17 232
16 120
16 521
16 120
16 253
16 120
16 120
16 125
16 119
16 120
16 158
16 120
16 188
16 288
16 120
16 228
16 120
16 169
16 167
16 120
16 269
16 380
16 171
16 245
16 120
16 187
16 267
16 120
16 169
16 120
16 488
16 1335
16 164
16 120
16 144
16 120
16 402
16 120
16 521
16 120
16 219
16 364
16 123
16 437
16 120
16 120
16 120
16 404
16 120
16 151
16 151
16 150
16 120
16 123
16 217
16 357
16 304
15 204
15 125
15 168
15 157
15 296
15 212
15 105
15 115
15 156
15 420
15 164
15 105
15 168
15 187
15 125
15 399
15 144
15 432
15 223
15 161
15 226
15 126
15 329
15 147
15 441
15 128
15 199
15 205
15 609
15 149
15 131
15 181
15 232
15 130
15 257
15 234
15 115
15 312
15 764
15 203
15 365
15 343
15 255
15 119
15 166
15 119
15 615
15 128
15 127
15 122
15 315
15 117
15 132
15 489
15 174
15 105
15 105
15 281
15 358
15 404
15 144
15 851
15 140
15 207
15 257
15 363
15 451
15 356
15 567
15 607
15 222
15 720
15 169
15 277
15 481
15 120
15 128
15 190
15 164
15 321
15 195
15 105
15 222
15 183
15 241
15 241
15 528
15 293
15 194
15 566
15 183
15 130
15 105
15 453
15 217
15 182
15 528
15 301
15 213
15 216
15 105
15 227
15 105
15 551
15 128
15 207
15 149
15 372
15 105
15 503
15 128
15 456
15 130
15 105
15 236
15 105
15 437
15 753
15 478
15 196
15 156
15 250
15 155
15 199
15 245
15 110
15 222
15 126
15 105
15 241
15 842
15 158
15 105
15 215
15 516
15 128
14 164
14 91
14 328
14 91
14 162
14 133
14 97
14 126
14 91
14 257
14 342
14 165
14 245
14 169
14 91
14 233
14 106
14 148
14 97
14 225
14 120
14 245
14 91
14 280
14 91
14 719
14 187
14 122
14 91
14 91
14 140
14 89
14 120
14 112
14 91
14 91
14 98
14 233
14 103
14 91
14 91
14 91
14 91
14 156
14 91
14 224
14 239
14 305
14 115
14 120
14 231
14 244
14 448
