core triangles
43 1050
43 994
43 1004
43 985
43 1068
43 985
43 1017
43 985
43 985
43 993
43 903
43 1054
43 1103
43 1088
43 991
43 1000
43 993
43 986
43 985
43 985
43 1051
43 985
43 985
43 988
43 990
43 985
43 1048
43 1040
43 1072
43 1126
43 1056
43 1002
43 1054
43 1133
43 985
43 1006
43 1042
43 1179
43 1109
43 990
43 985
43 985
43 1006
43 971
42 908
42 861
34 561
34 561
34 561
34 561
34 561
34 562
34 561
34 561
34 561
34 561
34 561
34 561
34 561
34 561
34 561
34 561
34 561
34 561
34 561
34 561
34 561
34 561
34 561
34 564
34 561
34 561
34 561
34 561
34 561
34 561
34 561
34 564
34 561
34 561
34 561
33 528
33 561
33 764
33 552
33 764
33 764
33 764
33 740
33 772
33 764
33 764
33 764
33 764
33 764
33 528
33 764
33 764
33 764
33 764
33 528
33 740
33 764
33 528
33 740
33 559
33 764
33 552
33 528
33 764
33 528
33 794
33 764
33 764
33 764
31 467
31 471
31 465
31 469
31 465
31 465
31 465
31 465
25 307
23 253
23 253
23 253
23 253
23 253
23 253
23 253
23 253
23 253
23 253
23 253
23 253
23 253
23 253
23 253
23 253
23 253
23 253
23 253
23 253
23 254
23 253
23 253
23 253
21 245
21 245
21 210
21 266
21 245
21 245
21 246
21 210
21 245
21 249
21 245
21 263
21 210
21 245
21 245
21 245
21 245
21 245
21 245
21 210
21 245
21 245
20 190
20 193
20 190
20 190
20 190
20 190
20 190
20 190
20 193
20 326
20 190
20 190
20 190
20 190
20 190
20 201
20 190
20 190
20 190
20 190
20 190
19 171
19 171
17 136
17 146
17 136
17 136
17 154
17 136
17 136
17 136
17 136
17 141
17 150
17 136
17 136
17 136
17 145
17 144
17 136
17 136
17 136
17 136
17 136
17 162
17 136
17 136
17 136
17 136
17 136
17 153
17 176
17 157
17 136
17 136
17 136
17 136
17 136
15 105
15 105
15 105
15 105
15 105
15 105
15 105
15 105
15 105
15 105
15 105
15 105
15 105
15 105
15 105
15 105
14 91
14 91
14 91
14 91
14 91
14 97
14 91
14 91
14 91
14 91
14 91
14 91
14 99
14 91
14 91
13 85
13 91
13 78
13 78
13 78
13 78
13 78
13 89
13 85
13 78
13 93
13 78
13 78
13 78
12 67
12 108
12 79
12 66
12 197
11 55
11 90
11 172
11 55
11 117
11 55
11 70
11 89
11 89
11 89
11 90
11 89
11 57
11 70
11 90
11 104
11 55
11 90
11 55
11 55
11 94
11 55
11 122
11 80
11 90
11 55
11 56
11 75
11 65
11 55
11 55
11 55
11 55
11 55
11 89
11 98
11 60
11 114
10 45
10 45
10 45
10 45
10 45
9 36
9 72
9 36
9 69
9 36
9 98
9 106
9 46
9 36
9 48
9 36
9 41
9 36
9 73
9 23
9 46
9 63
9 89
9 28
9 45
9 36
9 42
9 36
9 36
9 42
9 37
9 36
9 36
9 36
9 42
9 47
9 36
9 48
9 99
9 80
9 36
9 36
9 59
9 36
8 28
8 28
8 28
8 35
8 35
8 35
8 28
8 28
8 28
8 34
8 28
8 35
8 28
8 24
8 28
8 24
8 35
8 28
8 35
8 56
8 35
8 28
8 28
8 11
8 35
8 29
8 28
8 35
8 35
8 34
8 56
8 28
8 28
8 28
8 48
8 39
8 43
8 28
8 47
8 55
8 28
8 35
8 28
8 28
8 28
7 21
7 24
7 21
7 21
7 21
7 21
7 21
7 31
7 21
7 21
7 21
7 21
7 21
7 21
7 24
7 24
7 24
7 21
7 31
7 27
7 21
7 21
7 22
7 21
7 21
7 21
7 31
7 21
7 21
7 27
7 24
7 25
7 28
7 21
7 21
7 22
7 21
7 23
7 24
7 21
7 28
7 21
7 24
7 31
7 21
7 21
7 21
7 21
7 38
7 28
6 15
6 26
6 16
6 15
6 21
6 15
6 30
6 15
6 21
6 30
6 20
6 18
6 15
6 15
6 17
6 16
6 46
6 30
6 19
6 15
6 15
6 15
6 43
6 19
6 36
6 15
6 17
6 15
6 25
6 15
6 13
6 25
6 21
6 20
6 16
6 18
6 23
6 25
6 15
6 15
6 43
6 15
6 21
6 33
6 17
6 17
6 18
6 15
6 22
6 19
6 16
6 17
6 23
6 15
6 15
6 23
6 21
6 18
6 15
6 45
6 15
6 55
6 38
6 21
6 20
6 15
6 15
6 27
6 17
