core triangles
10 6
10 91
10 211
10 108
10 15
10 45
10 4
10 112
10 6
10 10
10 8
10 6
10 23
10 7
10 7
10 4
10 6
10 4
10 18
10 8
10 58
10 4
10 6
10 5
10 5
10 5
10 4
10 2
10 5
10 2
10 6
10 7
10 8
10 111
10 8
10 7
10 6
10 6
10 6
10 6
10 0
10 8
10 8
10 4
10 8
10 8
10 0
10 8
10 7
10 5
10 8
10 6
10 2
10 0
10 5
10 4
10 187
10 5
10 3
10 6
10 5
10 4
10 4
10 7
10 48
10 35
10 24
10 40
10 56
10 69
10 137
10 3
10 3
10 10
10 4
10 9
10 4
10 6
10 8
10 4
10 6
10 2
10 2
10 10
10 6
10 4
10 68
10 27
10 57
10 49
10 40
10 3
10 6
10 8
10 3
10 8
10 1
10 14
10 4
10 6
10 9
10 3
10 2
10 10
10 1
10 4
10 8
10 4
10 8
10 8
10 2
10 8
10 5
10 6
10 4
10 2
10 15
10 2
10 6
10 7
10 3
10 8
10 143
10 6
10 5
10 4
10 5
10 5
10 5
10 6
10 144
10 5
10 1
10 3
10 7
10 6
10 8
10 5
10 25
10 72
10 10
10 7
10 5
10 5
10 174
10 8
10 6
10 3
10 154
10 2
10 6
10 2
10 5
10 147
10 11
10 6
10 15
10 8
10 5
10 4
10 7
10 3
10 6
10 6
10 5
10 4
10 2
10 2
10 4
10 4
10 6
10 4
10 4
10 4
10 41
10 7
10 6
10 4
10 8
10 5
10 4
10 9
10 69
10 3
10 6
10 7
10 32
10 99
10 3
10 2
10 6
10 72
10 5
10 2
10 8
10 3
10 55
10 143
10 0
10 7
10 7
10 0
10 5
10 3
10 6
10 4
10 8
10 1
10 12
10 10
10 4
10 8
10 2
10 3
10 4
10 7
10 7
10 12
10 8
10 10
10 10
10 8
10 3
10 3
10 14
10 5
10 6
10 7
10 5
10 7
10 6
10 5
10 5
10 5
10 6
10 4
10 17
10 52
10 1
10 140
10 2
10 6
10 3
10 6
10 3
10 1
10 5
10 7
10 3
10 0
10 11
10 50
10 6
10 1
10 5
10 2
10 3
10 0
10 7
10 2
10 4
10 3
10 3
10 2
10 6
10 0
10 0
10 7
10 14
10 6
10 9
10 4
10 3
10 65
10 84
10 4
10 9
10 7
10 8
10 6
10 9
10 6
10 9
10 22
10 48
10 161
10 5
10 5
10 3
10 8
10 10
10 3
10 5
10 8
10 0
10 3
10 2
10 4
10 8
10 5
10 15
10 6
10 55
10 42
10 7
10 2
10 2
10 1
10 2
10 8
10 12
10 8
10 8
10 2
10 1
9 3
9 6
9 6
9 0
9 6
9 6
9 4
9 8
9 5
9 5
9 2
9 0
9 0
9 1
9 3
9 2
9 8
9 1
9 2
9 5
9 1
9 1
9 2
9 5
9 5
9 3
9 6
9 13
9 7
9 8
9 7
9 4
9 2
9 1
9 5
9 2
9 3
9 0
9 6
9 4
9 12
9 6
9 0
9 0
9 2
9 2
9 5
9 4
9 4
9 3
9 1
9 1
