missing,corr,pvalue
0,1.0,0.0
2,0.99039485164173757,0.0
4,0.98531506284850057,0.0
6,0.98141026203104142,0.0
8,0.97845520867567992,0.0
10,0.97549733928757254,0.0
12,0.97261855807673536,0.0
14,0.97162765562070796,0.0
16,0.9678066344824765,0.0
18,0.96639606734137828,0.0
20,0.96285146870088301,0.0
22,0.96064711859104368,0.0
24,0.95763590635599649,0.0
26,0.95584019892650252,0.0
28,0.95164448928819834,0.0
30,0.95072424354263285,0.0
32,0.94866210207122104,0.0
34,0.94558647023055165,0.0
36,0.94215133285932873,0.0
38,0.93982155074906337,0.0
40,0.93700430806726609,0.0
42,0.93472928621627993,0.0
44,0.92929274553641994,0.0
46,0.92636264992755646,0.0
48,0.92316023987952656,0.0
0,1.0,0.0
2,0.9907768646224534,0.0
4,0.9848831988663751,0.0
6,0.98382956180008108,0.0
8,0.97775741021740903,0.0
10,0.97686267837532959,0.0
12,0.97283376021016776,0.0
14,0.96979797317527994,0.0
16,0.96894581742981445,0.0
18,0.96654949656626277,0.0
20,0.96262745425752194,0.0
22,0.96209084022921199,0.0
24,0.95909735087344083,0.0
26,0.95533907996779233,0.0
28,0.95122162681461375,0.0
30,0.94801936134650078,0.0
32,0.9471149094043162,0.0
34,0.94473274784113526,0.0
36,0.94294072357230552,0.0
38,0.94006019286421849,0.0
40,0.93536559200314273,0.0
42,0.93490261761112947,0.0
44,0.93005565959527325,0.0
46,0.92678364822373582,0.0
48,0.92312928977736575,0.0
0,1.0,0.0
2,0.99025526340595338,0.0
4,0.98512625644786522,0.0
6,0.98330849957235478,0.0
8,0.97795988025794378,0.0
10,0.97722606467738371,0.0
12,0.9727252689918976,0.0
14,0.97140507226186701,0.0
16,0.96731275748175138,0.0
18,0.96614826605302473,0.0
20,0.96340443789043151,0.0
22,0.96069802872147658,0.0
24,0.95933162674230543,0.0
26,0.95824430197610055,0.0
28,0.95557479863051975,0.0
30,0.95291111748615809,0.0
32,0.95355350861627963,0.0
34,0.95027767068943636,0.0
36,0.94774246187695488,0.0
38,0.94798903170309823,0.0
40,0.94274977856809949,0.0
42,0.94086672707944907,0.0
44,0.9364431734860138,0.0
46,0.93242364711713233,0.0
48,0.92714521398605165,0.0
0,1.0,0.0
2,0.9889834963374049,0.0
4,0.98538319923889273,0.0
6,0.98203293462707431,0.0
8,0.97894348725862779,0.0
10,0.97486253886989771,0.0
12,0.97327692025262169,0.0
14,0.97071769870292035,0.0
16,0.96756630248984277,0.0
18,0.96501528658833513,0.0
20,0.96253283263886269,0.0
22,0.95917494291701932,0.0
24,0.9553265954367417,0.0
26,0.95267715469987813,0.0
28,0.95284404049576843,0.0
30,0.94861173810414512,0.0
32,0.94841110563728737,0.0
34,0.94378993528652,0.0
36,0.93998174103999221,0.0
38,0.93921250670017065,0.0
40,0.93521654471122295,0.0
42,0.934395795590379,0.0
44,0.93088332294587794,0.0
46,0.92860623286343957,0.0
48,0.9231830695549138,0.0
0,1.0,0.0
2,0.99144205082149617,0.0
4,0.98648297721927802,0.0
6,0.98386766980095597,0.0
8,0.97960251026730327,0.0
10,0.97627003496765219,0.0
12,0.9738453122984212,0.0
14,0.97157411810009997,0.0
16,0.96958440097954079,0.0
18,0.96601132815886881,0.0
20,0.96656231276970728,0.0
22,0.96338679917175307,0.0
24,0.95986612901712587,0.0
26,0.95732635303641889,0.0
28,0.95310546681002017,0.0
30,0.9517340621407403,0.0
32,0.94851012205418117,0.0
34,0.94491972887174758,0.0
36,0.9443287354716231,0.0
38,0.93843514345446455,0.0
40,0.93599807048064032,0.0
42,0.93326086351788273,0.0
44,0.93019288520744381,0.0
46,0.92822830178917404,0.0
48,0.92514561847377652,0.0
0,1.0,0.0
2,0.99098645851544231,0.0
4,0.98545215493702953,0.0
6,0.98375749986020555,0.0
8,0.9807896585280752,0.0
10,0.97513879053700725,0.0
12,0.9726507085046614,0.0
14,0.97010841169413931,0.0
16,0.96887445820117646,0.0
18,0.96596232295234075,0.0
20,0.96221471253581792,0.0
22,0.96039191804051061,0.0
24,0.95769040567850472,0.0
26,0.95640564956949603,0.0
28,0.95408069552104302,0.0
30,0.95401659222552182,0.0
32,0.95006711502319996,0.0
34,0.94561890072833421,0.0
36,0.94273919943059858,0.0
38,0.93781067439964094,0.0
40,0.93659286376980477,0.0
42,0.93268839124169689,0.0
44,0.92926788638342961,0.0
46,0.9297159111445078,0.0
48,0.92543669577044974,0.0
0,1.0,0.0
2,0.99142040308969714,0.0
4,0.98618524862158741,0.0
6,0.9813312050899472,0.0
8,0.9795797192662925,0.0
10,0.97507740929912512,0.0
12,0.97307943638972694,0.0
14,0.97047090826748861,0.0
16,0.96657744546177049,0.0
18,0.96466976901024781,0.0
20,0.96080873009759848,0.0
22,0.95841764223306392,0.0
24,0.95747905049818283,0.0
26,0.95462303380740987,0.0
28,0.94983827728938397,0.0
30,0.94811202912864634,0.0
32,0.94544740964333629,0.0
34,0.94235052190829449,0.0
36,0.94006680724181713,0.0
38,0.93803183789789524,0.0
40,0.93550605612721827,0.0
42,0.9340727690998788,0.0
44,0.93098702396722588,0.0
46,0.92795313125974899,0.0
48,0.9260157624576868,0.0
0,1.0,0.0
2,0.99091296644181615,0.0
4,0.98489984053125446,0.0
6,0.98242864642460181,0.0
8,0.97950580988743863,0.0
10,0.97515490386796677,0.0
12,0.97168989489116597,0.0
14,0.969052941019106,0.0
16,0.96542794322025849,0.0
18,0.96475966613963116,0.0
20,0.96197662368394088,0.0
22,0.95970535585138983,0.0
24,0.95761934148874173,0.0
26,0.95400805290284374,0.0
28,0.95096145875907545,0.0
30,0.94987144521089184,0.0
32,0.94665260665350748,0.0
34,0.94400545349555276,0.0
36,0.94147283625447431,0.0
38,0.93837581655659352,0.0
40,0.93665186488641849,0.0
42,0.93271452426491208,0.0
44,0.93085684877512753,0.0
46,0.92856630900121906,0.0
48,0.9267245299343263,0.0
0,1.0,0.0
2,0.99175612912820266,0.0
4,0.98569706949944014,0.0
6,0.98217530109731854,0.0
8,0.97852110073593557,0.0
10,0.97731958670694408,0.0
12,0.97290924177456273,0.0
14,0.96993888359285207,0.0
16,0.96750523141120448,0.0
18,0.96696385155727071,0.0
20,0.96265361152223927,0.0
22,0.95776737394606382,0.0
24,0.95471097481895273,0.0
26,0.95305374358032402,0.0
28,0.94888187696643223,0.0
30,0.94545077991343174,0.0
32,0.94489470570290501,0.0
34,0.94293151401586728,0.0
36,0.93960830900557868,0.0
38,0.93571936676428302,0.0
40,0.93362530035827651,0.0
42,0.9335306626248161,0.0
44,0.92984994597587067,0.0
46,0.92947647500631525,0.0
48,0.92229359313898396,0.0
0,1.0,0.0
2,0.99038891458352052,0.0
