missing,corr,pvalue
0,1.0,0.0
2,0.99012817964163458,0.0
4,0.98360040886187938,0.0
6,0.97074592873607402,0.0
8,0.96824107489440803,0.0
10,0.96699074720595024,0.0
12,0.96175678046893387,0.0
14,0.95513066126473556,0.0
16,0.94857859163653901,0.0
18,0.94861927614590336,0.0
20,0.94598715663300736,0.0
22,0.94523745093691902,0.0
24,0.94547036876103685,0.0
26,0.94276086675035842,0.0
28,0.94060949446675735,0.0
30,0.92802130259677129,0.0
32,0.9272212841415215,0.0
34,0.920457570907533,0.0
36,0.91842600446548095,0.0
38,0.91416355846803665,0.0
40,0.91070819427857153,0.0
42,0.90857461850967669,0.0
44,0.90705910750082486,0.0
46,0.8998681654843913,0.0
48,0.89648677035227609,0.0
0,1.0,0.0
2,0.99096626991841008,0.0
4,0.98334545172549748,0.0
6,0.97776679126400656,0.0
8,0.97315849937868848,0.0
10,0.96948115562189818,0.0
12,0.96742449336628045,0.0
14,0.96231321582251894,0.0
16,0.95653092253022476,0.0
18,0.95428802810472091,0.0
20,0.95192039406795181,0.0
22,0.94775215087302345,0.0
24,0.94266045897698358,0.0
26,0.93903090255408384,0.0
28,0.93562606519481784,0.0
30,0.9322750200031068,0.0
32,0.93132389030426721,0.0
34,0.92570731789272687,0.0
36,0.92399100033801718,0.0
38,0.92105420981383135,0.0
40,0.91869532289311984,0.0
42,0.91586397418863086,0.0
44,0.91371816445101517,0.0
46,0.90718811297675805,0.0
48,0.900893953284849,0.0
0,1.0,0.0
2,0.99219098454124333,0.0
4,0.98828197950014418,0.0
6,0.98284157968773078,0.0
8,0.97311503976363956,0.0
10,0.96288967590518704,0.0
12,0.95810261669592045,0.0
14,0.95543456436200769,0.0
16,0.95284895222797694,0.0
18,0.94740341689032914,0.0
20,0.94638833575313042,0.0
22,0.9436622815346114,0.0
24,0.94162322514396957,0.0
26,0.93467766477207481,0.0
28,0.93274908765817077,0.0
30,0.93300132631702237,0.0
32,0.92613660337620973,0.0
34,0.92578346045641102,0.0
36,0.9255778211483201,0.0
38,0.92288558561312073,0.0
40,0.91831500889079964,0.0
42,0.92121173995302197,0.0
44,0.91529839397024848,0.0
46,0.90791396735809959,0.0
48,0.90667966637102027,0.0
0,1.0,0.0
2,0.98966444214169369,0.0
4,0.98399451258495718,0.0
6,0.98074415356186417,0.0
8,0.97962822065179533,0.0
10,0.9758356494825009,0.0
12,0.97061621192591785,0.0
14,0.96244578954898707,0.0
16,0.95377480355803212,0.0
18,0.95391208501677827,0.0
20,0.94908540838808797,0.0
22,0.94385276924823791,0.0
24,0.94131204340635888,0.0
26,0.94076913316862953,0.0
28,0.93786046446036908,0.0
30,0.93638821323549692,0.0
32,0.92903606747021372,0.0
34,0.92708142836273533,0.0
36,0.92709076204730634,0.0
38,0.92223043296583163,0.0
40,0.91577650623791895,0.0
42,0.90737187486451354,0.0
44,0.90622492403733501,0.0
46,0.90107912455887851,0.0
48,0.89272877767943914,0.0
0,1.0,0.0
2,0.9921403069562017,0.0
4,0.98343385720634269,0.0
6,0.98119378017852865,0.0
8,0.9752414507615732,0.0
10,0.9705957790693639,0.0
12,0.96753950163804403,0.0
14,0.96615867942509015,0.0
16,0.96226285231694297,0.0
18,0.95644531757641804,0.0
20,0.95047008742579708,0.0
22,0.94526921512034334,0.0
24,0.94248037660092476,0.0
26,0.9400870135289231,0.0
28,0.93507650483728622,0.0
30,0.93279899111884601,0.0
32,0.92926501289357843,0.0
34,0.9242837072184702,0.0
36,0.92473998108286415,0.0
38,0.9224763983480555,0.0
40,0.91967210854409998,0.0
42,0.91866227791750432,0.0
44,0.91625166506485289,0.0
46,0.91499726922686742,0.0
48,0.9106786544354134,0.0
0,1.0,0.0
2,0.99161370337538091,0.0
4,0.98568596942386211,0.0
6,0.9838669814738632,0.0
8,0.97938204346586721,0.0
10,0.97433169235719796,0.0
12,0.96805038754591144,0.0
14,0.96283081539680782,0.0
16,0.9588258170503563,0.0
18,0.95627203872554722,0.0
20,0.95038436153333761,0.0
22,0.94947949910850282,0.0
24,0.94813239635095869,0.0
26,0.94436305934319553,0.0
28,0.94178246139122967,0.0
30,0.93852423227113679,0.0
32,0.93264077189609851,0.0
34,0.92883563951063408,0.0
36,0.9168407344392866,0.0
38,0.91565350058145956,0.0
40,0.91267217948984769,0.0
42,0.91183841180569647,0.0
44,0.91059048358191674,0.0
46,0.90946756611264723,0.0
48,0.90425060054157513,0.0
0,1.0,0.0
2,0.99044112626550396,0.0
4,0.98567496997364246,0.0
6,0.98218152347503729,0.0
8,0.97667429433005448,0.0
10,0.97240561945737936,0.0
12,0.9669126136236128,0.0
14,0.95850264282230602,0.0
16,0.95694646375786008,0.0
18,0.95030301385159333,0.0
20,0.94900726034130634,0.0
22,0.94416885652757965,0.0
24,0.94139752679855204,0.0
26,0.93857018049985563,0.0
28,0.93294452789754212,0.0
30,0.92777330908721489,0.0
32,0.92719030511180067,0.0
34,0.92389112570139553,0.0
36,0.92050535083102014,0.0
38,0.91329764085863763,0.0
40,0.91467757122578219,0.0
42,0.90730276130127319,0.0
44,0.90252568014288725,0.0
46,0.89819428071652396,0.0
48,0.8949735618281941,0.0
0,1.0,0.0
2,0.99279028013071657,0.0
4,0.98549215906128951,0.0
6,0.97956346807458838,0.0
8,0.977276409673975,0.0
10,0.97370971454100408,0.0
12,0.96820606757811478,0.0
14,0.96339769440535616,0.0
16,0.96010756326267555,0.0
18,0.95458477252348706,0.0
20,0.95319284075108157,0.0
22,0.95225374301489141,0.0
24,0.95035048561650959,0.0
26,0.93952251671292597,0.0
28,0.93419001286817716,0.0
30,0.93100525773261877,0.0
32,0.92479381801076166,0.0
34,0.92331334386112007,0.0
36,0.91987653877146314,0.0
38,0.91832522818157303,0.0
40,0.91122974115692745,0.0
