missing,correlation,pvalue,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,1.0,0.0,1.0,0.0,0.99999999999999989,2.8760282592702985e-230,1.0000000000000002,3.7296541381080987e-99
2,0.99008466996434519,0.0,0.96514852868651335,0.0,0.87219497624247033,1.1395668223657305e-175,0.91133442371654128,1.1247845408345078e-82
4,0.98580836575275421,0.0,0.98119991581057631,0.0,0.97212569652915426,1.0019633538433388e-217,0.91820902587756759,6.7260902863504592e-84
6,0.98255008728783788,0.0,0.96209925446125999,0.0,0.87589819469772645,3.7963740582969578e-177,0.92659188201185894,2.1071430210619809e-85
8,0.97993021530465763,0.0,0.9755173757775023,0.0,0.98138542309444887,7.4762179079500043e-222,0.90961712222927504,2.2658358147525163e-82
10,0.9761128371965645,0.0,0.95263701833906467,0.0,0.86539373032562006,5.6725859535834174e-173,0.90015867868100319,1.0476835202480572e-80
12,0.97341894911174931,0.0,0.94546184237566067,0.0,0.87557012871428208,5.1345276123661341e-177,0.93222007422711473,2.0241506110139631e-86
14,0.9719796502763246,0.0,0.9521783691796647,0.0,0.86986816688505741,9.5897787179745535e-175,0.88527076620598999,4.0358465487330357e-78
16,0.969824896324603,0.0,0.97297929866479038,0.0,0.96871272189650059,3.2524190119125862e-216,0.85578776821712499,3.9805830023004695e-73
18,0.96530337997034921,0.0,0.94337809717549215,0.0,0.8597664829062045,9.318606251655287e-171,0.86517248052833351,1.0679465551366189e-74
20,0.96214160682566907,0.0,0.9449662193851045,0.0,0.86512592159460244,7.2368563656782134e-173,0.88718260499769463,1.8892521073331419e-78
22,0.95874845772600747,0.0,0.94270099608914371,0.0,0.85837379233462563,3.2768609435060671e-170,0.88488255912845304,4.7074319611341148e-78
24,0.95669373466097385,0.0,0.94707194402524753,0.0,0.85773388930820438,5.8355675980072794e-170,0.86903839529449201,2.3783604097346018e-75
26,0.95124313471145072,0.0,0.93653757620830858,0.0,0.86738722025336978,9.2351158831875651e-174,0.89288567076022063,1.9442404345479475e-79
28,0.94913577186194453,0.0,0.93746012381382804,0.0,0.86334494336068646,3.6483970972304572e-172,0.83713909398426267,4.6985429787882941e-70
30,0.945175730166678,0.0,0.93738678142879894,0.0,0.86797795027190117,5.3887340508498221e-174,0.87961636629938078,3.7734977783898886e-77
32,0.94437156360112873,0.0,0.93647552615948826,0.0,0.8635385525596635,3.0605395190769247e-172,0.87615518493898104,1.4721289487183474e-76
34,0.94061723192181934,0.0,0.9340214649386166,0.0,0.85861844958441569,2.6277620240360498e-170,0.85468671095577919,6.0700679489794083e-73
36,0.9387006203703514,0.0,0.93022842580457976,0.0,0.86092854771623883,3.2583815042302951e-171,0.84695958199387855,1.1550683071285005e-71
38,0.93480602983139316,0.0,0.92918085088400626,0.0,0.86156964208710285,1.8238016800147218e-171,0.84304669589660342,5.0824890566681334e-71
40,0.93342523755651263,0.0,0.92842240423686617,0.0,0.84834512497343439,2.6415741940910512e-166,0.82215275267044563,1.2357651127392439e-67
42,0.92945957575280547,0.0,0.92476381472864932,0.0,0.83997715731280098,4.4293817364681784e-163,0.78305932281749346,1.5859259333870811e-61
44,0.92695656738275545,0.0,0.92757216840495416,0.0,0.84354027495921302,1.8933993057456736e-164,0.77808259271556479,9.0509723137777684e-61
46,0.92351188504456672,0.0,0.92572828883198832,0.0,0.85417290378698041,1.4367364884278141e-168,0.77389381165976245,3.8871972642084683e-60
48,0.91930439010170861,0.0,0.92775017123503412,0.0,0.85224640521626904,8.0846793382454995e-168,0.80529382595941523,5.7860353982212605e-65
0,1.0,0.0,1.0,0.0,0.99999999999999989,2.8760282592702985e-230,1.0000000000000002,3.7296541381080987e-99
2,0.99068491647666312,0.0,0.96195084281850618,0.0,0.87081291813228556,4.0411167778336961e-175,0.90979535872435102,2.1071075239566276e-82
4,0.98621994854833439,0.0,0.98220437204425981,0.0,0.98067826878581577,1.5496947976061625e-221,0.90806061316709019,4.2698819239734115e-82
6,0.98140374165601429,0.0,0.96384655206511893,0.0,0.8676881673856538,7.0189739654015051e-174,0.89495551497060122,8.4875130650183949e-80
8,0.97937087096067721,0.0,0.9761057059587579,0.0,0.96495461595715259,1.4799867792767355e-214,0.90495361126321827,1.5077359131337496e-81
10,0.97364083740066754,0.0,0.94893139975262453,0.0,0.864705463050498,1.0605734192795702e-172,0.85813058312728241,1.6190346043490437e-73
12,0.9707234294947229,0.0,0.94454698191694431,0.0,0.8693334332910595,1.5633423663885159e-174,0.86095268342625342,5.4604656713259704e-74
14,0.96671393138536488,0.0,0.93819839536166794,0.0,0.87090812866110678,3.7038722451114024e-175,0.878983613550118,4.8416927628237281e-77
16,0.96443215115398728,0.0,0.93530979117345414,0.0,0.85799430373014351,4.6143593649969633e-170,0.86983279935905877,1.7453587650338681e-75
18,0.96224762922718998,0.0,0.9356277614982117,0.0,0.8512001768301164,2.062596767196492e-167,0.89067279068239058,4.7062854968881941e-79
20,0.9585521700549865,0.0,0.92895646270627674,0.0,0.85516864520713132,5.873779813409617e-169,0.88908674372601737,8.8566600659625497e-79
22,0.95770181927813003,0.0,0.93176620531280552,0.0,0.85794022667061909,4.844948451945912e-170,0.88018354766432672,3.0174721917687097e-77
24,0.95587868143793731,0.0,0.92584996290090171,0.0,0.86143883642702646,2.0531211491780863e-171,0.8914282133489484,3.4811370809393006e-79
26,0.95306263595599705,0.0,0.91953127207575858,0.0,0.85946355317978362,1.2252142826229009e-170,0.88018995667368771,3.0098559121580511e-77
28,0.94925259499778991,0.0,0.91734592211110244,0.0,0.85728175409764296,8.7711080173402542e-170,0.89086389440433356,4.36073505793475e-79
30,0.94757730689205211,0.0,0.92369298077225115,0.0,0.86843516647487262,3.5505819475758179e-174,0.87567569886476604,1.7769030773723931e-76
32,0.9426933401999984,0.0,0.90770302911556533,0.0,0.87204510818550807,1.3073656174171199e-175,0.87894694538932716,4.9121106980088444e-77
34,0.94117667035409747,0.0,0.90829062373033265,0.0,0.86992323691708917,9.1189092213136588e-175,0.87897362112670008,4.8607819327525067e-77
36,0.93898958957220391,0.0,0.90654670428069495,0.0,0.85948286901625426,1.2040216824359386e-170,0.86053090809270782,6.4250132901962953e-74
38,0.93758185051496001,0.0,0.91028442863596248,0.0,0.84994451442451835,6.3376965510101284e-167,0.84935262129699995,4.6517490783753152e-72
40,0.93246929043518678,0.0,0.9096873499575332,0.0,0.86162293182197702,1.7378814660031588e-171,0.85366067937487233,8.9896538363016281e-73
42,0.92875943560456964,0.0,0.91813904915839106,0.0,0.85445863430027413,1.1116136745514825e-168,0.84717108806445207,1.0659612629106765e-71
44,0.92584599411333157,0.0,0.90845681975004611,0.0,0.84906618169297543,1.3884229358208569e-166,0.8427997023036039,5.5794944606881954e-71
46,0.92248344531642634,0.0,0.89590921084305553,0.0,0.84879133791323402,1.7742939497479597e-166,0.85286442595296819,1.2188711074895551e-72
48,0.92265327578755663,0.0,0.8984013429120894,0.0,0.84699040082934551,8.8318095693671134e-166,0.85396312840990585,8.0073780645247597e-73
0,1.0,0.0,1.0,0.0,0.99999999999999989,2.8760282592702985e-230,1.0000000000000002,3.7296541381080987e-99
2,0.99055889922650864,0.0,0.9833229955034144,0.0,0.97328672335175248,3.0585070889886568e-218,0.91196044212264049,8.710647516239516e-83
4,0.98751927498416769,0.0,0.98385048213398929,0.0,0.99050849619543557,5.878029460282416e-226,0.93997757147815098,7.830934349057371e-88
6,0.98262023258314291,0.0,0.96333559142326808,0.0,0.87580065727534262,4.1529898628151148e-177,0.93542086316987194,5.3073468702093238e-87
8,0.97772018760411272,0.0,0.95682454414987983,0.0,0.87975290125197814,1.0837544070560274e-178,0.94372040018559078,1.615032643941312e-88
10,0.97677553131786754,0.0,0.97482730971199893,0.0,0.98598685700538036,6.4305017981431214e-224,0.90112078098513326,7.1065499277460954e-81
12,0.97421016230620139,0.0,0.95813698492413801,0.0,0.87166348247128045,1.8546536248571414e-175,0.90903149834431141,2.8762092433061104e-82
14,0.97153202835136132,0.0,0.95399567078505854,0.0,0.8726933168852028,7.2159609896044601e-176,0.91132669524001497,1.1283385929120377e-82
16,0.96784228515260895,0.0,0.9740568207874799,0.0,0.96603786570471739,4.9316815422343923e-215,0.88533147241676002,3.9398381060941764e-78
18,0.96643939561363534,0.0,0.97128081734330418,0.0,0.96940121526805412,1.613432111936054e-216,0.88090057556432955,2.2740490294687975e-77
20,0.96341532788625439,0.0,0.94970019206084888,0.0,0.85286003513612885,4.6651388159523036e-168,0.88092937449892594,2.2483495060078619e-77
22,0.95923758512317803,0.0,0.9451839570369337,0.0,0.86472573671330832,1.0412112322211369e-172,0.89526025874429049,7.5112468494426993e-80
24,0.95977993287759811,0.0,0.96601379331619208,0.0,0.96143423026163444,5.2190829460978421e-213,0.87992707978802409,3.3385508946891291e-77
26,0.95732880912361185,0.0,0.9629306537955844,0.0,0.9441507753800179,1.7077501649419672e-205,0.86679503843400407,5.690329752934443e-75
28,0.95210676600499389,0.0,0.94045808601782188,0.0,0.84892512474791815,1.5746592160251862e-166,0.84382013928140776,3.7941942400191281e-71
30,0.94861271805368008,0.0,0.94012894739867048,0.0,0.84616844949384118,1.8351948022242736e-165,0.85857411116946647,1.3651279385414674e-73
32,0.94576762215111032,0.0,0.94060985540196618,0.0,0.85299466796275492,4.1347415192177924e-168,0.84556592861215341,1.9594383093696836e-71
34,0.94382320085624161,0.0,0.93459308813660835,0.0,0.8517947561958138,1.2114780319069597e-167,0.81548137525402886,1.4297157208929391e-66
36,0.94242342418282743,0.0,0.93288071322082422,0.0,0.85341863762132253,2.8270375837808637e-168,0.82600750645165444,2.9759453603155366e-68
38,0.94125731590779083,0.0,0.92670304257584235,0.0,0.84532153095188289,3.8961993157614966e-165,0.84050776522951931,1.3243904698628278e-70
40,0.93637850611344142,0.0,0.92600602351530392,0.0,0.85278806269809704,4.9760187231263964e-168,0.83129949461856545,4.1696353512574674e-69
42,0.93361329830515949,0.0,0.92308641953614534,0.0,0.8478417549211219,4.1374297024621191e-166,0.82540639030120821,3.7173582261039729e-68
44,0.93204647720305756,0.0,0.94632265404070703,0.0,0.93368374210604288,5.2160803389567161e-201,0.79300464440331619,4.7244424334066616e-63
46,0.92718095769419984,0.0,0.94597543967598285,0.0,0.92532322280115409,1.8357963820468539e-197,0.79682145362886092,1.2124160600656017e-63
48,0.92526292607165417,0.0,0.94109160703230788,0.0,0.92761895660938709,1.9640772735074573e-198,0.75622172578089863,1.6696356258640314e-57
0,1.0,0.0,1.0,0.0,0.99999999999999989,2.8760282592702985e-230,1.0000000000000002,3.7296541381080987e-99
2,0.9896645693868541,0.0,0.96292806529705133,0.0,0.87706554321300589,1.2952984778773053e-177,0.94346583784627391,1.7984541936800732e-88
4,0.9850821524595923,0.0,0.96205201158830533,0.0,0.8761737361698575,2.945738893721243e-177,0.93064074780509665,3.9117258059871797e-86
6,0.98141409681596448,0.0,0.95368499897756664,0.0,0.87458182441729138,1.2742075280730998e-176,0.92677075488875715,1.9563750384348436e-85
8,0.97841760223828833,0.0,0.94589782366166475,0.0,0.86595747208735852,3.3964808666910681e-173,0.90270511679809207,3.7469233227001284e-81
