missing,correlation,pvalue,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,1.0,0.0,1.0,0.0,0.99999999999999989,2.8760282592702985e-230,1.0000000000000002,3.7296541381080987e-99
2,0.99074370731132544,0.0,0.97957933372231165,0.0,0.95058962441536965,2.0422386634062184e-203,0.95058962441536965,2.0422386634062184e-203
4,0.98578061171323583,0.0,0.96219812269919924,0.0,0.88359379561769569,1.3413912580811933e-172,0.88359379561769569,1.3413912580811933e-172
6,0.98279844360234647,0.0,0.96638050565263989,0.0,0.88204483539127831,5.8842348094916958e-169,0.88204483539127831,5.8842348094916958e-169
8,0.97512897431761203,0.0,0.95421152260278341,0.0,0.85489749124232761,6.5940907696939371e-155,0.85489749124232761,6.5940907696939371e-155
10,0.97301613797792019,0.0,0.95851343949596202,0.0,0.86708052574174654,1.013313226527088e-156,0.86708052574174654,1.013313226527088e-156
12,0.97078697235338174,0.0,0.95427965724832131,0.0,0.86104745672759098,1.1291727331380761e-151,0.86104745672759098,1.1291727331380761e-151
14,0.96692898377003877,0.0,0.93599963121136986,0.0,0.87377418047329647,6.8811442117698296e-154,0.87377418047329647,6.8811442117698296e-154
16,0.96341027794726175,0.0,0.91953824990294819,0.0,0.8748040155462159,1.2737181036423568e-154,0.86899034870070935,2.8293262438606439e-149
18,0.95961939204987634,0.0,0.91151500614805603,0.0,0.86307139466862814,5.2708966027351794e-148,0.85590469361856736,2.3029293423768659e-142
20,0.95591009728429155,0.0,0.91210342461384619,0.0,0.84656761188903451,7.9613311710192969e-143,0.85792154642724283,1.0516558204819274e-138
22,0.95130887350921489,0.0,0.92028730247251966,0.0,0.85257355451596872,5.7811738310238941e-147,0.84623649312452187,1.4904368878082047e-132
24,0.94721058130396674,0.0,0.92253373401967986,0.0,0.85893858968291881,5.6968250343971484e-147,0.85154037985578834,2.7226356057116979e-130
26,0.94232518843094504,0.0,0.92074439812539965,0.0,0.85782792230459082,3.0924685912471503e-146,0.85110306643084155,1.1174190553449748e-127
28,0.93973501997862185,0.0,0.90842432513840987,0.0,0.87304898041066403,1.2292199314315786e-153,0.84065309181598991,1.552405105981863e-122
30,0.93981384958312464,0.0,0.89918660767277359,0.0,0.8803461958307488,1.1518647119299428e-154,0.84111412622761705,3.6323890034057514e-118
32,0.93348198783481606,0.0,0.89605219697581484,0.0,0.88496708739691565,6.887132428124405e-156,0.84450784122333489,1.0398648805544166e-117
34,0.92948311025768049,0.0,0.88711782656572091,0.0,0.89035170037257882,3.7347144761540731e-158,0.84521407874202281,8.3430239761241197e-116
36,0.92921574340616875,0.0,0.91311153466337402,0.0,0.88718756910220864,4.7853342049438041e-157,0.83843733747910731,5.9125378779240652e-113
38,0.92649268115785133,0.0,0.89376207820999287,0.0,0.89525525200252043,2.8563754972344451e-160,0.83672595023765561,4.2013671517263461e-110
40,0.91427448869942674,0.0,0.85423276423402039,3.3379155247726689e-299,0.8716447534021563,6.4161610128738638e-151,0.84384823264530706,4.062843647424928e-108
42,0.91129720639189671,0.0,0.85614986419484851,3.2124120328099773e-291,0.8981361578534296,4.4829026669972343e-177,0.84608792090248319,1.403439349807376e-106
44,0.90692841432923033,0.0,0.87989779478073904,0.0,0.89183562630147217,5.1626499048244875e-168,0.83332592574584463,2.1864538564884456e-100
46,0.90722383883683466,0.0,0.87251412875017831,2.2476145065647186e-302,0.88828348907153354,6.6447416499400391e-161,0.84254876838857318,1.8905827301781999e-99
48,0.90349543287885636,0.0,0.86571555268316647,0.0,0.8740987636494304,1.6598939262052489e-152,0.84291233431059465,5.1875357694108133e-95
0,1.0,0.0,1.0,0.0,0.99999999999999989,2.8760282592702985e-230,1.0000000000000002,3.7296541381080987e-99
2,0.98756484615234585,0.0,0.95727533724488245,0.0,0.87759869018432313,3.4364819550882052e-175,0.9977547788733242,1.01799010775709e-98
4,0.98274523079687925,0.0,0.93729808911347801,0.0,0.87350291134125391,7.6013910078451206e-170,0.87350291134125391,7.6013910078451206e-170
6,0.97801672673260021,0.0,0.93927427395869512,0.0,0.87767325747818381,1.1045773005156379e-167,0.87767325747818381,1.1045773005156379e-167
8,0.97444486823925769,0.0,0.96437502655100693,0.0,0.98769185872289111,4.4371068220013632e-206,0.98769185872289111,4.4371068220013632e-206
10,0.96962636323372453,0.0,0.94575203239898475,0.0,0.88107334120404446,3.1051919228613118e-160,0.88107334120404446,3.1051919228613118e-160
