missing,correlation,pvalue
0,1.0000000000000002,0.0
2,0.97537616502298419,0.0
4,0.95757596493572517,0.0
6,0.94023852428815546,0.0
8,0.92445300312689072,0.0
10,0.90958629564487103,0.0
12,0.89457061078176436,0.0
14,0.88243226504208228,0.0
16,0.87018251219939713,0.0
18,0.85862952256469527,0.0
20,0.84564673875180196,0.0
22,0.83621113900116151,0.0
24,0.82300438531250997,0.0
26,0.81533477252062059,0.0
28,0.80523463245968341,0.0
30,0.79459317465568091,0.0
32,0.78827881345695228,0.0
34,0.78203293888265235,0.0
36,0.7738844476256419,0.0
38,0.76803059627889381,0.0
40,0.75975684312058378,0.0
42,0.75161022331145766,0.0
44,0.74020213880594488,0.0
46,0.73110289018168728,0.0
48,0.72566270668013177,0.0
0,1.0000000000000002,0.0
2,0.97843862853953623,0.0
4,0.95985292212344819,0.0
6,0.94273486189216049,0.0
8,0.92600618209461427,0.0
10,0.91076958045830569,0.0
12,0.89814396033790922,0.0
14,0.8876899703183162,0.0
16,0.8770852580205718,0.0
18,0.86556206008956615,0.0
20,0.85628559411192573,0.0
22,0.84367260952859413,0.0
24,0.83468140411617142,0.0
26,0.82720631910886111,0.0
28,0.81660646595683917,0.0
30,0.80882538889415667,0.0
32,0.79890874358266895,0.0
34,0.7834861388468265,0.0
36,0.77966285257109491,0.0
38,0.76946775272576873,0.0
40,0.76083421289786113,0.0
42,0.75100268014075966,0.0
44,0.74357196267720915,0.0
46,0.73452421413914903,0.0
48,0.71919737407673467,0.0
0,1.0000000000000002,0.0
2,0.98133936114088638,0.0
4,0.96145032730118241,0.0
6,0.94355067823194794,0.0
8,0.92789392870591592,0.0
10,0.91506514902024905,0.0
12,0.90263588926265392,0.0
14,0.89085719817901898,0.0
16,0.87641667479885377,0.0
18,0.86575431956159887,0.0
20,0.85583430071369759,0.0
22,0.84506305926982173,0.0
24,0.8322166342706262,0.0
26,0.82390728386855172,0.0
28,0.81358050765602186,0.0
30,0.80155242448126618,0.0
32,0.78892353796552384,0.0
34,0.78104465140532087,0.0
36,0.77435935048301052,0.0
38,0.76716725592017543,0.0
40,0.75241346591115699,0.0
42,0.74474086208181045,0.0
44,0.73529219743764829,0.0
46,0.72600779459843823,0.0
48,0.72043340634400754,0.0
0,1.0000000000000002,0.0
2,0.97629402959986034,0.0
4,0.95699163109428187,0.0
6,0.93911368899541259,0.0
8,0.92441976700142647,0.0
10,0.91225434622703105,0.0
12,0.89898365828298465,0.0
14,0.88735243871980773,0.0
16,0.8774911535358082,0.0
18,0.86656623071364003,0.0
20,0.8507386682068484,0.0
22,0.83903106624604107,0.0
24,0.82605030894510145,0.0
26,0.81799054053542941,0.0
28,0.80808796714478148,0.0
30,0.79898348048231194,0.0
32,0.78312514169993397,0.0
34,0.77355408852396423,0.0
36,0.76785151955165898,0.0
38,0.75411043729275395,0.0
40,0.74051471117176193,0.0
42,0.73353434343699098,0.0
44,0.72480807973520278,0.0
46,0.72100265366990479,0.0
48,0.70977883513607209,0.0
0,1.0000000000000002,0.0
2,0.98047196147058169,0.0
4,0.95687035164782486,0.0
6,0.94053957633763596,0.0
8,0.92283960908758866,0.0
10,0.90925537007792079,0.0
12,0.89473277741537782,0.0
14,0.88319622927751673,0.0
