change,correlation_100,pvalue_100,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,1.0000000000000002,0.0,0.99999999999999978,0.0,0.99999999999999989,1.1287366578411029e-256,1.0000000000000002,1.6011320259898699e-128
2,0.97786453395050832,0.0,0.97605489893304576,0.0,0.97753592342303552,2.2908418835261932e-245,0.98525770698925785,8.0859454242308979e-125
4,0.95942897803988936,0.0,0.96501260861161264,0.0,0.97624229608216617,1.0077193185037606e-244,0.98369522920281138,1.9816048315553173e-124
6,0.94265162713682304,0.0,0.93801900018929418,0.0,0.96941625491231098,2.4208702831375445e-241,0.9889122721089505,9.881064200178652e-126
8,0.92839439884812713,0.0,0.91403950870927264,0.0,0.96505624071613194,3.3954618261483165e-239,0.98030558638814469,1.3785386199327218e-123
10,0.91153354999855929,0.0,0.90552464443691638,0.0,0.96512255340288922,3.150053811136472e-239,0.98863254822208813,1.1609113665105379e-125
12,0.89724814273576514,0.0,0.89696950973088541,0.0,0.95737059678665615,1.9583334973985043e-235,0.96667528467449848,3.1448651080625889e-120
14,0.88434520572300934,0.0,0.89232014995360032,0.0,0.95356360950270236,1.3922851687470533e-233,0.96328103244130014,2.1211887049947432e-119
16,0.87347476414617797,0.0,0.87762080006446064,0.0,0.94531530623297366,1.3511544025949378e-229,0.96342541297055773,1.9560342269919306e-119
18,0.86306215021219657,0.0,0.8718609142349194,0.0,0.95331310701994321,1.8421392064912016e-233,0.9818224573813803,5.7916304021234814e-124
20,0.85411682021528823,0.0,0.87445629858449991,0.0,0.95221300791744479,6.2941132603324905e-233,0.989708539712289,6.2437505860208229e-126
22,0.84182901672897403,0.0,0.87407115291729498,0.0,0.94698860510926575,2.1119272266995126e-230,0.98032177392900788,1.3658495309707279e-123
24,0.82945748726079027,0.0,0.86976674191067893,0.0,0.94848447564299632,4.0078868717998036e-231,0.97710098564813186,8.5737180064957752e-123
26,0.8174999834501212,0.0,0.8682899889070721,0.0,0.94532459116408263,1.3373231609269997e-229,0.98335865796969824,2.4032120004653022e-124
28,0.80310121097703269,0.0,0.84859645891536206,0.0,0.94493368914366194,2.0621973575041787e-229,0.9787098413421691,3.4276311953893082e-123
30,0.79734022560293183,0.0,0.84087728307166432,0.0,0.931369349373252,6.2102959696138057e-223,0.97541871811786329,2.2326203151645332e-122
32,0.79033444244808315,0.0,0.83319918935769821,0.0,0.92072854913579938,6.4576771361071943e-218,0.94694292879213171,1.8887858223252547e-115
34,0.77909362352714295,0.0,0.81969949533238717,0.0,0.92455253292815454,1.0321741888540884e-219,0.94194332139096915,2.9603779208975035e-114
36,0.76690911316454746,0.0,0.79415748199183545,0.0,0.91113076564714701,1.9316341619163793e-213,0.92702371231426595,1.0010087357601759e-110
38,0.75908408604037525,0.0,0.78786142626933375,0.0,0.91740548546868494,2.3177018634517525e-216,0.94482087434210948,6.0846163194522533e-115
40,0.74924539576290961,0.0,0.77424736380615256,2.5525908268888931e-308,0.91372038529149724,1.2102845528913747e-214,0.93052525264459873,1.5039116430002077e-111
42,0.7395009494752578,0.0,0.78600558135982779,0.0,0.91910265356135601,3.729001125521151e-217,0.93632114776558761,6.4240418411002785e-113
44,0.72602826101244322,0.0,0.77973476794035335,0.0,0.91034732772585991,4.4587030785162293e-213,0.92771550719656648,6.8871772165881327e-111
46,0.71234107526592405,0.0,0.77632370477074086,5.791806514399009e-310,0.89654393156144085,9.9713148390973447e-207,0.9060229571883327,7.4622327779114645e-106
48,0.69783119380695446,0.0,0.79679580427461494,0.0,0.88293336966228819,1.4615148445856165e-200,0.8637393999946551,2.2175657027652391e-96
50,0.69044142998868974,0.0,0.79655276187120638,0.0,0.88561374961676209,9.0769918699001098e-202,0.8361418382992617,1.9304026929636179e-90
52,0.67902087291452007,0.0,0.79843709496967175,0.0,0.88056363401578364,1.6933798554501007e-199,0.8373483272893445,1.0714944882016453e-90
54,0.66802503180997796,0.0,0.79497915350682313,0.0,0.87306491562341926,3.7730261018915407e-196,0.83919358674920219,4.3477578496642863e-91
56,0.66188054207913771,0.0,0.78447874710207133,0.0,0.87700301523382274,6.6377010503892352e-198,0.85484539719786379,1.9102017876359408e-94
58,0.65085965616274011,0.0,0.77580052982338155,1.5049036293265971e-309,0.88114713706104431,9.2691755545172616e-200,0.89257221502677675,8.6137313462531849e-103
60,0.64452544779312315,0.0,0.76455615176078973,1.0541138816279575e-300,0.85970328572846666,2.9608764764976647e-190,0.87454997138718504,9.2642610925926286e-99
62,0.63477396723827439,0.0,0.7382955508409732,1.5083754045902718e-280,0.84965915242701928,6.9639740926697901e-186,0.86878672300923443,1.7329500278402552e-97
64,0.62827120553121141,0.0,0.72677918781491901,6.2479376567763751e-272,0.84587991912902527,2.981231666795873e-184,0.84734527958389394,7.8976513469592466e-93
66,0.612417211595224,0.0,0.72047937835743447,2.8339741039935704e-267,0.84516336224334154,6.0662916981991955e-184,0.82828175307008223,8.7546641004473584e-89
68,0.61078777366838199,0.0,0.71544526856902579,1.3944033152259058e-263,0.8456471233552858,3.7554250572197552e-184,0.83019555401536083,3.4699301706977372e-89
70,0.5993546200576696,0.0,0.71890644800610726,4.0621098779516416e-266,0.84399754537414318,1.9245583515843251e-183,0.78725351927897458,2.1708563312221193e-80
72,0.59147047273683995,0.0,0.69711006110470153,2.359723637987214e-250,0.8324072923785566,1.7046874175681466e-178,0.77612553906988935,3.4697893341891542e-78
74,0.5703404017611543,0.0,0.71121153190334641,1.6958348815196804e-260,0.83944273919648349,1.724627822327248e-181,0.80907226249030673,8.4200140775079216e-85
76,0.55705824973085716,0.0,0.71939515846355706,1.7772207513660343e-266,0.82063487339286068,1.537645812790824e-173,0.77021820066256252,4.9826042400703925e-77
78,0.54479285840148961,0.0,0.70922783191684546,4.661831158934536e-259,0.79458836878285477,7.9447386246908583e-163,0.76473754345114775,5.7965334222954957e-76
80,0.52547825042411533,0.0,0.70883623825128317,8.9574252680896203e-259,0.76012958515631934,3.4982853247556295e-149,0.85419412507712955,2.6424266670757649e-94
82,0.50432472377707727,0.0,0.68426676581563217,2.7218067451913531e-241,0.69457136652470497,6.8593114233073064e-125,0.80077089163475923,4.1478429887412991e-83
84,0.48785495062577927,1.3644371341094199e-285,0.65940042909912211,3.1768527433838169e-224,0.71767349027248617,3.3487686655345128e-133,0.8152322748353974,4.5516302482894456e-86
86,0.48530065833944597,2.5116852212071624e-261,0.63412696946557245,1.5940720244605438e-207,0.7205367264425504,2.9916458963837348e-134,0.71400649319947584,1.8564312794113385e-66
88,0.44671938629337726,2.3598101552840387e-201,0.57446165809936056,1.1102854441715532e-170,0.69981255630849948,9.4283728537934709e-127,0.60723155182280819,1.4397883832089441e-48
0,1.0000000000000002,0.0,0.99999999999999978,0.0,0.99999999999999989,1.1287366578411029e-256,1.0000000000000002,1.6011320259898699e-128
2,0.9802667082002442,0.0,0.97665369938387214,0.0,0.9843901881112409,8.6507535082351749e-249,0.99182806162353898,1.8365826235163168e-126
4,0.95919223383490593,0.0,0.9554914668793324,0.0,0.97623333308936966,1.0181085334347999e-244,0.98924543092097184,8.1547678847506484e-126
6,0.94260147144634787,0.0,0.93292096660700119,0.0,0.95376012883367778,1.1176739366327964e-233,0.90903202828953633,1.5189804866348763e-106
8,0.92730570773748611,0.0,0.91862554331233315,0.0,0.94976918009199141,9.5969410621373523e-232,0.90781723830821537,2.8901334057010981e-106
