core_number,change_0,change_2,change_4,change_6,change_8,change_10,change_12,change_14,change_16,change_18,change_20,change_22,change_24,change_26,change_28,change_30,change_32,change_34,change_36,change_38,change_40,change_42,change_44,change_46,change_48,change_50,change_52,change_54,change_56,change_58,change_60,change_62,change_64,change_66,change_68,change_70,change_72,change_74,change_76,change_78,change_80,change_82,change_84,change_86,change_88
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.833333333333332,35.799999999999997,68.5,101.5,132.69999999999999,153.19999999999999
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,10.555555555555555,24.800000000000001,44.100000000000001,60.0,84.700000000000003,105.59999999999999,97.299999999999997,77.5,56.200000000000003,99.599999999999994,108.8
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,15.0,25.333333333333332,31.899999999999999,47.200000000000003,55.0,68.900000000000006,72.099999999999994,73.5,68.200000000000003,50.0,30.899999999999999,27.199999999999999,48.200000000000003,104.3,74.25,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,9.6666666666666661,12.285714285714286,18.800000000000001,31.600000000000001,38.700000000000003,36.399999999999999,38.200000000000003,40.200000000000003,47.399999999999999,51.100000000000001,56.299999999999997,48.5,39.299999999999997,23.300000000000001,15.9,16.399999999999999,55.100000000000001,82.400000000000006,75.333333333333329,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,13.5,8.8000000000000007,9.8571428571428577,18.5,26.0,31.199999999999999,31.300000000000001,28.699999999999999,26.899999999999999,27.0,41.100000000000001,53.399999999999999,52.0,48.0,36.799999999999997,23.800000000000001,13.800000000000001,6.7000000000000002,10.4,33.100000000000001,77.799999999999997,69.0,48.25,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,12.0,14.0,5.5,13.333333333333334,12.888888888888889,16.555555555555557,16.800000000000001,26.899999999999999,33.200000000000003,28.199999999999999,23.899999999999999,23.600000000000001,27.100000000000001,29.699999999999999,38.399999999999999,43.0,37.700000000000003,29.0,23.5,12.0,4.7999999999999998,4.0999999999999996,8.4000000000000004,29.399999999999999,57.399999999999999,72.5,40.857142857142854,45.0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,2.3333333333333335,8.0,10.166666666666666,10.199999999999999,10.800000000000001,17.5,14.699999999999999,17.199999999999999,22.600000000000001,27.0,22.5,25.5,23.600000000000001,30.300000000000001,32.899999999999999,40.5,43.600000000000001,28.600000000000001,25.699999999999999,18.600000000000001,6.7000000000000002,1.6000000000000001,1.8,7.7000000000000002,24.800000000000001,56.399999999999999,63.299999999999997,54.222222222222221,41.0,45.0,0,0,0,0,0,0
9,0,0,0,0,0,0,2.3333333333333335,12.5,9.75,12.222222222222221,13.888888888888889,18.800000000000001,17.100000000000001,22.899999999999999,22.199999999999999,24.899999999999999,26.100000000000001,24.199999999999999,21.5,28.600000000000001,25.100000000000001,36.100000000000001,33.799999999999997,32.200000000000003,24.100000000000001,17.699999999999999,13.300000000000001,5.0,1.3,1.7,6.9000000000000004,20.199999999999999,36.0,44.200000000000003,43.0,44.0,45.0,0,0,0,0,0,0,0,0
10,0,0,0,0,3.0,10.428571428571429,14.444444444444445,14.699999999999999,16.699999999999999,19.100000000000001,16.199999999999999,10.5,14.300000000000001,21.300000000000001,21.100000000000001,20.800000000000001,22.300000000000001,22.5,35.600000000000001,26.300000000000001,25.399999999999999,22.699999999999999,18.0,13.300000000000001,7.0999999999999996,0.5,0.80000000000000004,2.1000000000000001,6.0999999999999996,22.0,25.300000000000001,30.199999999999999,40.799999999999997,42.0,44.5,0,0,0,0,0,0,0,0,0,0
11,0,0,2.75,5.2999999999999998,11.0,12.0,15.4,11.6,10.4,7.7999999999999998,21.399999999999999,29.300000000000001,25.800000000000001,20.300000000000001,15.699999999999999,21.600000000000001,25.0,28.800000000000001,16.600000000000001,20.5,17.600000000000001,6.7000000000000002,4.7999999999999998,2.3999999999999999,0.40000000000000002,0.59999999999999998,4.9000000000000004,18.600000000000001,23.800000000000001,16.800000000000001,41.600000000000001,35.299999999999997,41.142857142857146,43.333333333333336,0,0,0,0,0,0,0,0,0,0,0
12,0,7.5999999999999996,11.0,16.199999999999999,18.300000000000001,15.199999999999999,12.199999999999999,23.800000000000001,24.0,27.600000000000001,16.100000000000001,9.8000000000000007,16.199999999999999,15.6,20.899999999999999,29.600000000000001,24.399999999999999,18.0,15.5,8.9000000000000004,4.4000000000000004,2.3999999999999999,0.59999999999999998,1.2,2.2000000000000002,10.0,23.600000000000001,23.199999999999999,27.399999999999999,46.0,33.555555555555557,33.625,44.0,0,0,0,0,0,0,0,0,0,0,0,0
13,3.0,9.0999999999999996,17.199999999999999,12.699999999999999,13.699999999999999,19.0,21.100000000000001,14.300000000000001,12.800000000000001,14.300000000000001,15.0,22.100000000000001,23.399999999999999,29.699999999999999,29.300000000000001,11.6,11.4,7.0,2.3999999999999999,0.0,0.5,1.0,2.0,8.5,18.800000000000001,32.100000000000001,36.299999999999997,29.399999999999999,24.100000000000001,17.5,33.5,41.5,0,0,0,0,0,0,0,0,0,0,0,0,0
14,15.0,17.300000000000001,12.1,15.9,20.600000000000001,16.0,11.300000000000001,11.1,15.800000000000001,22.600000000000001,34.299999999999997,29.800000000000001,22.899999999999999,13.6,9.0999999999999996,6.7999999999999998,0.10000000000000001,0.5,0.59999999999999998,0.80000000000000004,1.3,4.9000000000000004,14.300000000000001,22.100000000000001,37.100000000000001,30.899999999999999,12.4,13.300000000000001,30.222222222222221,36.0,45.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,16.0,17.600000000000001,25.800000000000001,19.100000000000001,9.8000000000000007,8.5,9.0,17.800000000000001,29.300000000000001,23.600000000000001,14.0,11.6,6.9000000000000004,2.3999999999999999,0.10000000000000001,0.10000000000000001,0.20000000000000001,0.20000000000000001,0.59999999999999998,5.5,5.7999999999999998,19.100000000000001,24.100000000000001,34.0,15.300000000000001,4.2000000000000002,5.5999999999999996,39.625,44.333333333333336,42.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.0,17.399999999999999,4.0999999999999996,6.9000000000000004,13.4,22.5,22.5,21.300000000000001,14.5,9.1999999999999993,4.5,0.0,0.10000000000000001,0.20000000000000001,0.40000000000000002,0.40000000000000002,0.5,1.2,5.5999999999999996,15.0,36.600000000000001,37.600000000000001,33.200000000000003,12.199999999999999,8.9000000000000004,19.199999999999999,39.222222222222221,43.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,35.0,0.40000000000000002,5.2000000000000002,22.699999999999999,20.5,16.100000000000001,21.100000000000001,18.399999999999999,6.7000000000000002,2.1000000000000001,0.20000000000000001,0.29999999999999999,0.40000000000000002,0.5,0.5,1.0,4.7000000000000002,9.5,23.0,34.5,18.800000000000001,15.699999999999999,4.2000000000000002,9.5999999999999996,30.333333333333332,43.333333333333336,43.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0.0,11.800000000000001,26.600000000000001,15.800000000000001,16.0,14.199999999999999,11.699999999999999,0.0,0.0,0.10000000000000001,0.0,0.20000000000000001,0.69999999999999996,0.90000000000000002,1.0,4.5999999999999996,9.4000000000000004,29.5,29.300000000000001,11.1,11.5,4.7000000000000002,14.300000000000001,39.25,44.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
