core_number,change_0,change_2,change_4,change_6,change_8,change_10,change_12,change_14,change_16,change_18,change_20,change_22,change_24,change_26,change_28,change_30,change_32,change_34,change_36,change_38,change_40,change_42,change_44,change_46,change_48,change_50,change_52,change_54,change_56,change_58,change_60,change_62,change_64,change_66,change_68,change_70,change_72,change_74,change_76,change_78,change_80,change_82,change_84,change_86,change_88
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,34.25,87.400000000000006,139.69999999999999,196.59999999999999,245.80000000000001,283.0,331.30000000000001,323.5,280.39999999999998,237.59999999999999,193.59999999999999
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,35.875,77.0,117.0,161.59999999999999,206.90000000000001,240.90000000000001,272.19999999999999,295.10000000000002,299.10000000000002,266.0,237.5,203.5,171.40000000000001,149.30000000000001,121.0,98.799999999999997,78.200000000000003,56.600000000000001,43.899999999999999
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,33.600000000000001,42.444444444444443,72.099999999999994,115.09999999999999,145.80000000000001,176.5,203.59999999999999,227.09999999999999,246.19999999999999,243.90000000000001,220.0,197.0,174.19999999999999,149.19999999999999,129.5,113.7,105.40000000000001,88.700000000000003,72.0,62.399999999999999,50.899999999999999,45.700000000000003,36.299999999999997,25.800000000000001,20.899999999999999,14.9,12.1,9.5555555555555554
4,0,0,0,0,0,0,0,0,8.3333333333333339,25.166666666666668,38.299999999999997,67.0,98.5,121.09999999999999,142.40000000000001,161.59999999999999,183.5,186.09999999999999,181.19999999999999,168.0,143.0,130.09999999999999,115.40000000000001,104.3,96.799999999999997,86.200000000000003,77.5,66.700000000000003,62.299999999999997,58.600000000000001,49.399999999999999,43.200000000000003,36.899999999999999,27.699999999999999,25.899999999999999,24.399999999999999,19.0,17.899999999999999,12.4,13.4,8.6999999999999993,7.9000000000000004,9.0,6.4444444444444446,4.666666666666667
5,0,0,10.5,26.699999999999999,48.299999999999997,69.200000000000003,86.0,101.5,120.5,126.7,120.59999999999999,109.40000000000001,95.299999999999997,87.200000000000003,79.900000000000006,76.0,65.299999999999997,57.799999999999997,59.799999999999997,58.200000000000003,54.0,52.299999999999997,50.5,48.899999999999999,43.399999999999999,41.200000000000003,36.0,33.299999999999997,33.200000000000003,23.800000000000001,21.300000000000001,20.399999999999999,19.800000000000001,18.899999999999999,16.899999999999999,14.1,12.4,9.0,6.0999999999999996,5.4000000000000004,10.4,7.0,6.7777777777777777,7.4444444444444446,6.625
6,69.0,84.400000000000006,94.599999999999994,88.200000000000003,78.099999999999994,73.0,69.299999999999997,66.400000000000006,62.299999999999997,58.600000000000001,55.700000000000003,52.799999999999997,49.0,49.700000000000003,50.299999999999997,42.799999999999997,41.200000000000003,42.899999999999999,38.100000000000001,34.200000000000003,33.0,28.5,27.600000000000001,23.5,20.0,17.699999999999999,19.600000000000001,16.5,12.1,11.5,9.6999999999999993,9.4000000000000004,6.0,8.0,4.9000000000000004,7.0999999999999996,8.0999999999999996,6.2000000000000002,4.2999999999999998,7.5,8.0999999999999996,8.3333333333333339,9.4444444444444446,7.125,2.0
7,50.0,50.399999999999999,47.299999999999997,44.600000000000001,43.600000000000001,47.399999999999999,47.600000000000001,47.100000000000001,44.100000000000001,42.399999999999999,41.700000000000003,38.299999999999997,38.0,34.399999999999999,33.200000000000003,34.799999999999997,35.600000000000001,30.899999999999999,28.399999999999999,24.699999999999999,20.899999999999999,20.899999999999999,15.5,13.1,11.300000000000001,12.5,11.199999999999999,9.5999999999999996,9.5,9.0999999999999996,9.6999999999999993,9.6999999999999993,10.5,7.4000000000000004,9.4000000000000004,6.5,6.2000000000000002,6.2000000000000002,8.4000000000000004,8.9000000000000004,5.0,4.5,2.3999999999999999,2.75,11.0
8,45.0,42.100000000000001,38.600000000000001,41.600000000000001,42.899999999999999,34.600000000000001,34.100000000000001,30.699999999999999,29.0,27.100000000000001,27.399999999999999,26.600000000000001,20.100000000000001,20.399999999999999,18.399999999999999,17.0,13.800000000000001,13.5,10.699999999999999,10.9,9.5,6.5,11.6,9.3000000000000007,9.3000000000000007,7.4000000000000004,8.5,6.4000000000000004,7.4000000000000004,9.3000000000000007,11.9,10.6,9.9000000000000004,7.9000000000000004,7.5999999999999996,7.2999999999999998,6.5999999999999996,6.5,6.5,3.6666666666666665,2.5,8.4285714285714288,5.0,9.6666666666666661,0
9,39.0,32.899999999999999,31.399999999999999,30.199999999999999,28.300000000000001,26.100000000000001,22.300000000000001,24.899999999999999,25.0,20.800000000000001,16.0,13.9,16.199999999999999,11.5,9.5999999999999996,11.199999999999999,8.1999999999999993,12.199999999999999,11.300000000000001,9.8000000000000007,9.5999999999999996,14.800000000000001,9.3000000000000007,10.0,11.1,14.9,13.0,15.0,14.9,11.5,5.5999999999999996,4.0,5.0,5.0999999999999996,5.4000000000000004,6.5999999999999996,5.7000000000000002,8.6999999999999993,6.5999999999999996,6.5,9.4285714285714288,15.0,16.5,11.0,0
10,5.0,10.199999999999999,20.199999999999999,15.800000000000001,14.800000000000001,19.199999999999999,18.800000000000001,14.300000000000001,14.199999999999999,16.399999999999999,16.800000000000001,15.5,11.5,15.800000000000001,17.100000000000001,13.300000000000001,15.6,12.300000000000001,10.1,10.699999999999999,10.9,6.7999999999999998,8.5,12.5,11.300000000000001,6.9000000000000004,10.1,8.0,6.0999999999999996,4.4000000000000004,8.0,6.7999999999999998,6.7999999999999998,5.9000000000000004,8.2222222222222214,5.5555555555555554,9.0,4.375,10.125,8.5714285714285712,11.5,0,0,0,0
