missing,correlation,pvalue
0,1.0000000000000002,0.0
2,0.98078180435995865,0.0
4,0.96615049206884829,0.0
6,0.95766423822555713,0.0
8,0.94420338685119232,0.0
10,0.93134329690966511,0.0
12,0.91766704114627817,0.0
14,0.90574910021680188,0.0
16,0.89190891212009293,0.0
18,0.87966217277900016,0.0
20,0.87015795335678658,0.0
22,0.85556755172930143,0.0
24,0.84731299639459567,0.0
26,0.83218211251036167,0.0
28,0.82111851130992741,0.0
30,0.80832020526950732,0.0
32,0.79472449026017866,0.0
34,0.78671876195344648,0.0
36,0.77090147966029099,0.0
38,0.7612847230423464,0.0
40,0.74442279278704548,0.0
42,0.73024140426045914,0.0
44,0.72685979824735181,0.0
46,0.71201409383455827,0.0
48,0.70244973208766426,0.0
0,1.0000000000000002,0.0
2,0.98126819782689667,0.0
4,0.96775151539227866,0.0
6,0.95118117090624343,0.0
8,0.93885926378695972,0.0
10,0.92183402445315232,0.0
12,0.90510768111985773,0.0
14,0.88766120685663141,0.0
16,0.8782557125316135,0.0
18,0.86820593578268668,0.0
20,0.8585693009079941,0.0
22,0.84404786445232438,0.0
24,0.83437102429648935,0.0
26,0.82997571259093073,0.0
28,0.82021497345675443,0.0
30,0.81210717701888191,0.0
32,0.79330673926582262,0.0
34,0.77803865514083248,0.0
36,0.76751641839922458,0.0
38,0.75727010288373608,0.0
40,0.75231593942616259,0.0
42,0.73700588315438986,0.0
44,0.722051327286513,0.0
46,0.70816690914304914,0.0
48,0.7082522957349412,0.0
0,1.0000000000000002,0.0
2,0.98695080390628875,0.0
4,0.96799384447068693,0.0
6,0.95326727739072459,0.0
8,0.93942201929316138,0.0
10,0.92868514115245138,0.0
12,0.91400581506723388,0.0
14,0.90012028408781408,0.0
16,0.88429592465477902,0.0
18,0.87014622695684307,0.0
20,0.85709483844005774,0.0
22,0.84403835268884797,0.0
24,0.83292365617736364,0.0
26,0.82365118079863364,0.0
28,0.81463141869922095,0.0
30,0.80070991053874963,0.0
32,0.79555081127389415,0.0
34,0.782738662580023,0.0
36,0.77201683741426674,0.0
38,0.76461632155701686,0.0
40,0.7488182531801425,0.0
42,0.73678062188620286,0.0
44,0.73916977430769748,0.0
46,0.72717032173058194,0.0
48,0.71738486684372071,0.0
0,1.0000000000000002,0.0
2,0.98539682644643134,0.0
