change,correlation_100,pvalue_100,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,1.0000000000000002,0.0,0.99999999999999978,0.0,0.99999999999999989,1.1287366578411029e-256,1.0000000000000002,1.6011320259898699e-128
2,0.98421628867674693,0.0,0.9834602137440539,0.0,0.99038065983110024,8.4319829701774242e-252,0.98005720944334951,1.5886645878545008e-123
4,0.97044988943441657,0.0,0.97006102816584394,0.0,0.96561196785391046,1.8104594320699533e-239,0.91018256182135682,8.2531651422725717e-107
6,0.95534870122339399,0.0,0.96190877912857498,0.0,0.97729052655992832,3.0345955040156646e-245,0.97157597976019661,1.9750638628223886e-121
8,0.94287360187967439,0.0,0.95064023841081802,0.0,0.96135909595422353,2.2072522381119345e-237,0.92472933131294377,3.4528098359883843e-110
10,0.93093341844238475,0.0,0.93762514176539991,0.0,0.95829799358690027,6.9128213279738647e-236,0.92050536398838345,3.3471430171363284e-109
12,0.91592526647165473,0.0,0.92000846579246554,0.0,0.94557806634692587,1.0097826902877589e-229,0.89881484977587078,3.3083104865265682e-104
14,0.90198830322457291,0.0,0.89714732176681256,0.0,0.94191211985627776,5.8294327550770913e-228,0.90660378597058833,5.4904070142354012e-106
16,0.88982810725522898,0.0,0.88040958129055735,0.0,0.93058879617017809,1.4557466883518914e-222,0.90393983978694936,2.2393180571785199e-105
18,0.87398779082641098,0.0,0.86693814555286242,0.0,0.92052825004116046,8.0160866521816869e-218,0.89060201203464395,2.3983725672155013e-102
20,0.86174804196241972,0.0,0.8589016133804438,0.0,0.91784968537389144,1.4372268269595367e-216,0.89081703596337758,2.1450025096738778e-102
22,0.85003870138913162,0.0,0.84339246252863476,0.0,0.90174080387849642,4.1644817991933566e-209,0.89731830313045913,7.2420198275622669e-104
24,0.84116965552435441,0.0,0.83605869104346164,0.0,0.89114819536456269,2.8475162262789635e-204,0.88337653091053003,1.0058153670704658e-100
26,0.82239479966644324,0.0,0.81167248719271523,0.0,0.88238757497452536,2.5710118960254293e-200,0.90027002800954692,1.5424705488162386e-104
28,0.81053103623236267,0.0,0.80206731647206531,0.0,0.8652377233300117,1.0985121691743276e-192,0.86552727296472276,9.0044067577358689e-97
30,0.79791930054810878,0.0,0.78787131687575107,0.0,0.84670051544854275,1.3205399470100605e-184,0.85658382238287567,8.0240096541961546e-95
32,0.78824797642103017,0.0,0.77367094405369374,7.2885979049558004e-308,0.8524744126299838,4.1952805408158587e-187,0.87785664965333166,1.7109285086464178e-99
34,0.7767732597090321,0.0,0.76197979091235335,1.0750309824477186e-298,0.86340824229721214,7.0145293762270033e-192,0.90619970333438049,6.7971287344617704e-106
36,0.76838545304995898,0.0,0.75030874721584961,1.1101515144035627e-289,0.85495065334837594,3.5177338475828115e-188,0.87713652364802375,2.4730045211977599e-99
38,0.76007903678255673,0.0,0.76389532240746927,3.4571344382989531e-300,0.85965856594300294,3.0973975842530127e-190,0.87928296709904108,8.2405424246261767e-100
40,0.75387504102886249,0.0,0.77270010679405177,4.2592174792056812e-307,0.86494002970014405,1.4857373184732455e-192,0.88500784577469072,4.3384010349076475e-101
42,0.73941605363417595,0.0,0.75966064238810949,6.8177601630265148e-297,0.83671514246537559,2.5165309168073406e-180,0.89081608447201399,2.1460626482515514e-102
44,0.73143329702938309,0.0,0.7458073578790777,3.0538082880901463e-286,0.82326970642822583,1.2131807188632717e-174,0.88432859311324885,6.1584258270335365e-101
46,0.71478689523793315,0.0,0.70174756734148314,1.1465324184666853e-253,0.78204048045198038,8.6730741192582019e-158,0.86929632528878442,1.3386033547046924e-97
48,0.71054472812491043,0.0,0.69795156819969373,5.9324942570073134e-251,0.76474892313131715,5.6215637732916129e-151,0.86649913407383006,5.512470155003757e-97
50,0.70089171420349039,0.0,0.69524860599814209,4.9738546586735018e-249,0.79305586279823526,3.3088894823507784e-162,0.8762854522466802,3.820692127679366e-99
52,0.68450041053876842,0.0,0.67105601515940372,3.8074201966786651e-232,0.78442405063092835,9.7118170560028984e-159,0.86830689528382521,2.2095746072776968e-97
54,0.67060222299366823,0.0,0.67808042749849973,5.4928999746677067e-237,0.79461277917640349,7.7660587670746371e-163,0.8635859691527723,2.3956853379084028e-96
56,0.66579241276561851,0.0,0.67362272604318862,6.5710059078822259e-234,0.77634060458474174,1.58602922960212e-155,0.86279764777411283,3.5623089627170586e-96
58,0.64981293869184886,0.0,0.67076962616589453,5.9831029040886138e-232,0.74991001510287336,2.9804982891268118e-145,0.86178976726469736,5.9128087777298347e-96
60,0.63057637108594233,1.6554115814649141e-293,0.66494569683596383,5.6311717074771065e-228,0.73991733145768512,1.8457567362886585e-141,0.87444275011266748,9.7847885218385249e-99
62,0.61123298835780282,6.5824023954740706e-257,0.64357275698606731,1.0889852686759611e-213,0.70039195159446688,5.8581465438457736e-127,0.84685370714548636,1.0068068314141715e-92
64,0.61554114336869981,1.2969799753166917e-241,0.64595661467646348,2.9285047999433383e-215,0.69612604365409447,1.9295803467769112e-125,0.82473307379452698,4.8423675205925566e-88
66,0.61856030981965571,2.9456495512079158e-225,0.63758004172794303,9.1024118649115438e-210,0.68597847966746583,7.2207012779158575e-122,0.8278030972430459,1.1031080609023612e-88
68,0.60914007854454644,2.3009197630980172e-200,0.60965295923433882,5.6763392904736686e-192,0.66995445973122214,2.4798639486399996e-116,0.80669662177024426,2.5789292607119629e-84
70,0.5882500254820896,4.5306084390777649e-170,0.5882500254820896,4.5306084390777649e-170,0.67750134082217917,6.3596422594027793e-119,0.78384605893294157,1.0344838038114723e-79
72,0.57806525696553701,1.8352201349895581e-147,0.57806525696553701,1.8352201349895581e-147,0.65140783229327404,4.3552714584728781e-110,0.77119894452780502,3.2059217334841113e-77
74,0.56389742228552164,3.9738521683074819e-128,0.56389742228552164,3.9738521683074819e-128,0.63173681788460145,1.1786152188164296e-103,0.73166922777070453,1.0783220482216406e-69
76,0.55778862877849489,1.7464322514287885e-110,0.55778862877849489,1.7464322514287885e-110,0.63447298487517811,1.5431715541033875e-104,0.75024281673559645,3.5091083102208844e-73
78,0.52848601259335826,3.0027861054149579e-86,0.52848601259335826,3.0027861054149579e-86,0.57034631402589631,7.6399579723159732e-85,0.70508241016809503,7.477540603604358e-65
80,0.51219101300646841,1.855427464117252e-70,0.51219101300646841,1.855427464117252e-70,0.51909602213877903,1.328050917034697e-70,0.64009875432688856,9.0612003369641749e-54
82,0.50884595866512738,1.4925741606038818e-60,0.50884595866512738,1.4925741606038818e-60,0.50884595866512738,1.4925741606038818e-60,0.61249344198019762,2.2074558360557889e-49
84,0.5306561302219478,4.9914214579874554e-56,0.5306561302219478,4.9914214579874554e-56,0.5306561302219478,4.9914214579874554e-56,0.61633623239987856,5.5555393676096984e-50
86,0.54406541853728152,4.6783919014446061e-48,0.54406541853728152,4.6783919014446061e-48,0.54406541853728152,4.6783919014446061e-48,0.58074437189951156,1.4194161776920541e-44
88,0.55051589061161188,2.2165681895767619e-40,0.55051589061161188,2.2165681895767619e-40,0.55051589061161188,2.2165681895767619e-40,0.55043763189312434,3.2026467855187727e-40
0,1.0000000000000002,0.0,0.99999999999999978,0.0,0.99999999999999989,1.1287366578411029e-256,1.0000000000000002,1.6011320259898699e-128
2,0.98543127675071029,0.0,0.99021069662433359,0.0,0.99543268132039542,2.3569181886994589e-254,0.99334501648460005,7.6377164137795159e-127
4,0.97455704864022363,0.0,0.9765365920401593,0.0,0.98354992046763345,2.28012142392151e-248,0.98541573113360414,7.3845718959338223e-125
6,0.95601470658845067,0.0,0.95997616966697874,0.0,0.97727571576602901,3.0865225446346428e-245,0.9806112924611935,1.1576120321414234e-123
