missing,corr,pvalue
35,0.77903654781028286,0.0
5,0.95047273047772962,0.0
40,0.75005282854550293,0.0
10,0.91256412486749772,0.0
45,0.71969187970275605,0.0
15,0.87879836217275753,0.0
20,0.85157329956143479,0.0
25,0.82717266760573904,0.0
30,0.80367095342539496,0.0
35,0.77703216125479835,0.0
5,0.94824185256648008,0.0
40,0.74333138167759949,0.0
10,0.91037737638094696,0.0
45,0.72075102783412703,0.0
15,0.87952629780926361,0.0
20,0.85210274532525687,0.0
25,0.82564362917491108,0.0
30,0.79403867241421755,0.0
35,0.76250302175206974,0.0
5,0.95079609069004178,0.0
40,0.74606746848344652,0.0
10,0.90952769515493082,0.0
45,0.72594842063738874,0.0
15,0.87567288519791575,0.0
20,0.84654043493976561,0.0
25,0.81656312506624273,0.0
30,0.80175095750946679,0.0
35,0.76736550201084597,0.0
5,0.94876899708110318,0.0
40,0.74847388691179373,0.0
10,0.9139511088299872,0.0
45,0.72230204425932354,0.0
15,0.87551358162655679,0.0
20,0.83959382841015606,0.0
25,0.81516648371240141,0.0
30,0.78912031788160608,0.0
35,0.77377498022369606,0.0
5,0.9473177427939764,0.0
40,0.74572678712988505,0.0
10,0.90868035474073627,0.0
45,0.71933700242890153,0.0
15,0.87839296741166473,0.0
20,0.85472064052138019,0.0
25,0.83170344489648718,0.0
30,0.80408000395319723,0.0
