missing,core2,core4,core6,core8,core10
0,1.0,1.0,1.0,1.0,1.0
5,0.9194699286442406,0.8782334384858044,0.903169014084507,0.8716049382716049,0.9719626168224299
10,0.8435270132517839,0.7659305993690851,0.7922535211267606,0.8148148148148148,0.8691588785046729
15,0.762487257900102,0.6738170347003155,0.7429577464788732,0.7703703703703704,0.8411214953271028
20,0.7018348623853211,0.5457413249211357,0.5440140845070423,0.7234567901234568,0.6728971962616822
25,0.6266564729867482,0.46750788643533125,0.5387323943661971,0.5506172839506173,0.557632398753894
30,0.5563200815494393,0.38233438485804416,0.49471830985915494,0.5679012345679012,0.6292834890965732
35,0.4875127420998981,0.31482649842271293,0.43661971830985913,0.454320987654321,0.5887850467289719
40,0.41182466870540263,0.21577287066246056,0.4278169014084507,0.3654320987654321,0.4423676012461059
45,0.3397043832823649,0.22082018927444794,0.31161971830985913,0.3012345679012346,0.38317757009345793
50,0.29255861365953106,0.17160883280757097,0.2658450704225352,0.4,0.2616822429906542
0,1.0,1.0,1.0,1.0,1.0
5,0.9215086646279307,0.8719242902208202,0.8873239436619719,0.8765432098765432,0.9345794392523364
10,0.8562691131498471,0.771608832807571,0.8116197183098591,0.7753086419753087,0.8691588785046729
15,0.764525993883792,0.6883280757097792,0.6919014084507042,0.7950617283950617,0.7819314641744548
20,0.6939347604485219,0.58801261829653,0.6285211267605634,0.7111111111111111,0.6697819314641744
25,0.6210499490316004,0.48454258675078865,0.551056338028169,0.6148148148148148,0.5950155763239875
30,0.52420998980632,0.40441640378548893,0.4595070422535211,0.5432098765432098,0.5887850467289719
35,0.4785932721712538,0.28454258675078864,0.44366197183098594,0.48641975308641977,0.557632398753894
40,0.41284403669724773,0.30725552050473187,0.3908450704225352,0.4345679012345679,0.5669781931464174
45,0.368756371049949,0.19936908517350158,0.33274647887323944,0.3530864197530864,0.3613707165109034
50,0.30632008154943935,0.16529968454258676,0.2711267605633803,0.2617283950617284,0.411214953271028
0,1.0,1.0,1.0,1.0,1.0
5,0.9304281345565749,0.9072555205047319,0.926056338028169,0.9580246913580247,0.940809968847352
10,0.839704383282365,0.7785488958990536,0.7640845070422535,0.7975308641975308,0.8753894080996885
15,0.754841997961264,0.6712933753943218,0.7235915492957746,0.7654320987654321,0.735202492211838
20,0.6880733944954128,0.6100946372239747,0.653169014084507,0.7135802469135802,0.7009345794392523
25,0.6335372069317023,0.4832807570977918,0.5598591549295775,0.5506172839506173,0.6105919003115264
30,0.5530071355759429,0.3968454258675079,0.5334507042253521,0.5901234567901235,0.5887850467289719
35,0.4612640163098879,0.3186119873817035,0.45774647887323944,0.5160493827160494,0.5451713395638629
40,0.44852191641182465,0.27003154574132493,0.3732394366197183,0.345679012345679,0.4205607476635514
45,0.3748725790010194,0.21324921135646688,0.29577464788732394,0.345679012345679,0.32710280373831774
50,0.2805810397553517,0.15457413249211358,0.2658450704225352,0.24691358024691357,0.2087227414330218
0,1.0,1.0,1.0,1.0,1.0
5,0.9232925586136596,0.8839116719242902,0.8855633802816901,0.9432098765432099,0.9345794392523364
10,0.849388379204893,0.7766561514195583,0.8028169014084507,0.7851851851851852,0.8878504672897196
15,0.7650356778797146,0.644794952681388,0.7746478873239436,0.782716049382716,0.7757009345794392
20,0.6934250764525994,0.5892744479495268,0.647887323943662,0.6592592592592592,0.7601246105919003
25,0.6207951070336392,0.43974763406940065,0.49471830985915494,0.5802469135802469,0.6635514018691588
30,0.5535168195718655,0.432807570977918,0.5017605633802817,0.5604938271604938,0.5825545171339563
35,0.4831804281345566,0.32302839116719245,0.43485915492957744,0.4246913580246914,0.4953271028037383
40,0.4087665647298675,0.2391167192429022,0.397887323943662,0.37037037037037035,0.48598130841121495
45,0.3690112130479103,0.20378548895899054,0.38380281690140844,0.32592592592592595,0.32087227414330216
50,0.3103975535168196,0.18170347003154574,0.2658450704225352,0.3432098765432099,0.34890965732087226
0,1.0,1.0,1.0,1.0,1.0
5,0.9184505606523955,0.8889589905362776,0.829225352112676,0.8962962962962963,0.9376947040498442
10,0.8409785932721713,0.7848580441640378,0.7975352112676056,0.8469135802469135,0.8317757009345794
15,0.7688583078491336,0.6832807570977918,0.6373239436619719,0.6962962962962963,0.7632398753894081
20,0.6954638124362895,0.5205047318611987,0.6126760563380281,0.7111111111111111,0.7414330218068536
25,0.6205402650356778,0.45993690851735014,0.5369718309859155,0.6493827160493827,0.6479750778816199
30,0.5606523955147809,0.40946372239747636,0.5545774647887324,0.43703703703703706,0.6199376947040498
35,0.4740061162079511,0.3173501577287066,0.45774647887323944,0.528395061728395,0.5015576323987538
40,0.4235474006116208,0.2719242902208202,0.38028169014084506,0.35555555555555557,0.43613707165109034
45,0.3598369011213048,0.22839116719242902,0.2887323943661972,0.4049382716049383,0.34579439252336447
50,0.3012232415902141,0.167192429022082,0.2482394366197183,0.25679012345679014,0.27102803738317754
0,1.0,1.0,1.0,1.0,1.0
5,0.9215086646279307,0.8359621451104101,0.9242957746478874,0.9259259259259259,0.9034267912772586
10,0.8473496432212029,0.7817034700315457,0.7764084507042254,0.8271604938271605,0.9158878504672897
15,0.7675840978593272,0.6744479495268139,0.7147887323943662,0.8592592592592593,0.794392523364486
20,0.6918960244648318,0.5476340694006309,0.6179577464788732,0.7432098765432099,0.7227414330218068
25,0.6292048929663608,0.4637223974763407,0.5616197183098591,0.5728395061728395,0.6666666666666666
30,0.5560652395514781,0.42397476340694007,0.49119718309859156,0.5654320987654321,0.573208722741433
35,0.4785932721712538,0.322397476340694,0.5387323943661971,0.5135802469135803,0.5420560747663551
40,0.4148827726809378,0.2504731861198738,0.35563380281690143,0.37530864197530867,0.4174454828660436
45,0.36009174311926606,0.22271293375394322,0.2887323943661972,0.34814814814814815,0.37383177570093457
50,0.3009683995922528,0.14889589905362777,0.25528169014084506,0.3012345679012346,0.29906542056074764
0,1.0,1.0,1.0,1.0,1.0
5,0.9230377166156982,0.8750788643533123,0.9084507042253521,0.9308641975308642,0.9283489096573209
10,0.8379204892966361,0.7804416403785489,0.7887323943661971,0.8271604938271605,0.8566978193146417
15,0.7617227319062182,0.6605678233438486,0.7588028169014085,0.7407407407407407,0.7663551401869159
20,0.691131498470948,0.6037854889589905,0.6338028169014085,0.671604938271605,0.6573208722741433
25,0.6223241590214067,0.4605678233438486,0.5809859154929577,0.5728395061728395,0.6292834890965732
30,0.5423037716615698,0.3924290220820189,0.5052816901408451,0.5679012345679012,0.5482866043613707
35,0.4765545361875637,0.322397476340694,0.4242957746478873,0.43950617283950616,0.5700934579439252
40,0.40392456676860344,0.26876971608832806,0.3626760563380282,0.43209876543209874,0.40498442367601245
45,0.3422528032619776,0.18485804416403787,0.3503521126760563,0.3308641975308642,0.40186915887850466
50,0.29714576962283384,0.17413249211356466,0.25,0.3037037037037037,0.2554517133956386
0,1.0,1.0,1.0,1.0,1.0
5,0.917940876656473,0.8832807570977917,0.9313380281690141,0.9160493827160494,0.9439252336448598
10,0.841743119266055,0.7659305993690851,0.8098591549295775,0.8765432098765432,0.8535825545171339
15,0.777013251783894,0.6517350157728706,0.6954225352112676,0.7506172839506173,0.8006230529595015
20,0.6908766564729868,0.5514195583596214,0.6654929577464789,0.6641975308641975,0.7975077881619937
25,0.6312436289500509,0.5047318611987381,0.5897887323943662,0.6024691358024692,0.6230529595015576
30,0.5517329255861366,0.3621451104100946,0.5264084507042254,0.5358024691358024,0.5981308411214953
35,0.49184505606523954,0.34321766561514194,0.4014084507042254,0.5530864197530864,0.48286604361370716
40,0.4011213047910296,0.2763406940063092,0.3961267605633803,0.39753086419753086,0.40498442367601245
45,0.36085626911314983,0.23406940063091483,0.34330985915492956,0.30617283950617286,0.40498442367601245
50,0.3070846075433231,0.1526813880126183,0.34683098591549294,0.27901234567901234,0.3177570093457944
0,1.0,1.0,1.0,1.0,1.0
5,0.9202344546381244,0.8757097791798107,0.9278169014084507,0.9407407407407408,0.9750778816199377
10,0.8363914373088684,0.7741324921135647,0.7676056338028169,0.8271604938271605,0.8722741433021807
15,0.7607033639143731,0.6574132492113565,0.7235915492957746,0.8074074074074075,0.778816199376947
20,0.6964831804281345,0.5690851735015773,0.6496478873239436,0.5950617283950618,0.6355140186915887
25,0.6200305810397554,0.47003154574132494,0.5598591549295775,0.5432098765432098,0.6199376947040498
30,0.5606523955147809,0.36971608832807573,0.49295774647887325,0.5728395061728395,0.5233644859813084
35,0.4956676860346585,0.33690851735015775,0.3873239436619718,0.528395061728395,0.5638629283489096
40,0.42201834862385323,0.21577287066246056,0.40669014084507044,0.4345679012345679,0.40186915887850466
45,0.3606014271151886,0.18485804416403787,0.30633802816901406,0.3802469135802469,0.35514018691588783
50,0.3086136595310907,0.15646687697160883,0.2746478873239437,0.2716049382716049,0.2803738317757009
0,1.0,1.0,1.0,1.0,1.0
5,0.9143730886850153,0.8801261829652997,0.9225352112676056,0.9308641975308642,0.9501557632398754
10,0.8391946992864424,0.7829652996845425,0.8169014084507042,0.8197530864197531,0.838006230529595
15,0.77420998980632,0.6668769716088329,0.6936619718309859,0.7925925925925926,0.7538940809968847
20,0.6901121304791029,0.5817034700315458,0.5985915492957746,0.6395061728395062,0.6791277258566978
25,0.6307339449541285,0.47192429022082016,0.5176056338028169,0.5901234567901235,0.5919003115264797
30,0.5512232415902141,0.35141955835962146,0.5193661971830986,0.508641975308642,0.5077881619937694
35,0.4847094801223242,0.32744479495268136,0.4278169014084507,0.45185185185185184,0.5233644859813084
40,0.40341488277268095,0.28201892744479495,0.3573943661971831,0.34814814814814815,0.45794392523364486
45,0.3506625891946993,0.2082018927444795,0.3221830985915493,0.3654320987654321,0.3987538940809969
50,0.2958715596330275,0.15394321766561514,0.29225352112676056,0.32592592592592595,0.22429906542056074
