missing,core2,core4,core6,core8,core10
0,1.0,1.0,1.0,1.0,1.0
5,0.9612640163098879,0.9009463722397476,0.8661971830985915,0.9407407407407408,0.9813084112149533
10,0.9250764525993884,0.8264984227129337,0.7799295774647887,0.8444444444444444,0.8566978193146417
15,0.8916921508664628,0.6914826498422713,0.7623239436619719,0.8197530864197531,0.8535825545171339
20,0.8465851172273191,0.6208201892744479,0.6390845070422535,0.7802469135802469,0.7757009345794392
25,0.8032619775739042,0.5009463722397476,0.670774647887324,0.725925925925926,0.6542056074766355
30,0.7632517838939857,0.41451104100946373,0.6320422535211268,0.6493827160493827,0.6510903426791277
35,0.7178899082568807,0.3760252365930599,0.5704225352112676,0.5679012345679012,0.5856697819314641
40,0.6687054026503568,0.31230283911671924,0.5704225352112676,0.5950617283950618,0.5233644859813084
45,0.6136595310907238,0.27066246056782334,0.49295774647887325,0.5012345679012346,0.3862928348909657
50,0.5486748216106014,0.25110410094637226,0.4102112676056338,0.4148148148148148,0.3862928348909657
0,1.0,1.0,1.0,1.0,1.0
5,0.9615188583078491,0.9066246056782334,0.8556338028169014,0.9259259259259259,0.9158878504672897
10,0.9240570846075433,0.7981072555205048,0.7975352112676056,0.8666666666666667,0.8535825545171339
15,0.8786952089704383,0.6965299684542586,0.727112676056338,0.8246913580246914,0.8193146417445483
20,0.835881753312946,0.6302839116719243,0.6690140845070423,0.7234567901234568,0.7601246105919003
25,0.8091233435270132,0.5318611987381704,0.6795774647887324,0.7185185185185186,0.7040498442367601
30,0.7573904179408767,0.48580441640378547,0.6073943661971831,0.6395061728395062,0.7040498442367601
35,0.713302752293578,0.36971608832807573,0.5721830985915493,0.6395061728395062,0.6012461059190031
40,0.666921508664628,0.322397476340694,0.5492957746478874,0.5654320987654321,0.5264797507788161
45,0.609072375127421,0.2637223974763407,0.45422535211267606,0.5185185185185185,0.3862928348909657
50,0.5570846075433231,0.23596214511041008,0.4507042253521127,0.4222222222222222,0.3862928348909657
0,1.0,1.0,1.0,1.0,1.0
5,0.9635575942915392,0.8921135646687697,0.852112676056338,0.891358024691358,0.9813084112149533
10,0.9156472986748216,0.820820189274448,0.8116197183098591,0.8716049382716049,0.8660436137071651
15,0.8835372069317023,0.6864353312302839,0.7447183098591549,0.8419753086419753,0.8193146417445483
20,0.8425076452599388,0.6126182965299685,0.6654929577464789,0.7234567901234568,0.7601246105919003
25,0.805045871559633,0.4769716088328076,0.6355633802816901,0.7111111111111111,0.7258566978193146
