missing,truss2,truss4,truss6,truss8,truss10
0,1.0,1.0,1.0,1.0,1.0
5,0.9047619047619048,0.8526160648489315,0.818109610802224,0.9080932784636488,0.8215767634854771
10,0.8038740920096852,0.7140751658069271,0.7069102462271644,0.8024691358024691,0.7413554633471646
15,0.7546408393866021,0.6462785556374355,0.5822081016679904,0.7187928669410151,0.6154910096818811
20,0.6372074253430186,0.5585851142225498,0.4996028594122319,0.6159122085048011,0.5781466113416321
25,0.5766747376916869,0.47310243183493,0.43050039714058774,0.5857338820301783,0.5048409405255878
30,0.5020177562550444,0.4119380987472365,0.3566322478157268,0.5116598079561042,0.48409405255878285
35,0.4168684422921711,0.3537214443625645,0.3415409054805401,0.47462277091906724,0.3775933609958506
40,0.3353510895883777,0.32277081798084006,0.2875297855440826,0.438957475994513,0.3900414937759336
45,0.274818401937046,0.2815033161385409,0.26052422557585386,0.37037037037037035,0.31673582295988933
50,0.22639225181598063,0.24023581429624172,0.21445591739475775,0.29492455418381347,0.301521438450899
0,1.0,1.0,1.0,1.0,1.0
5,0.9100080710250201,0.8592483419307295,0.8387609213661636,0.8751714677640604,0.8437067773167358
10,0.831315577078289,0.7229182019159912,0.716441620333598,0.7489711934156379,0.7662517289073306
15,0.7348668280871671,0.6352247605011054,0.6108022239872914,0.6584362139917695,0.65283540802213
20,0.6598062953995157,0.5467943994104643,0.47180301826846704,0.6570644718792867,0.5850622406639004
25,0.576271186440678,0.49078850405305824,0.414614773629865,0.5637860082304527,0.5394190871369294
30,0.47094430992736075,0.4252026529108327,0.3812549642573471,0.5212620027434842,0.44951590594744123
35,0.4096045197740113,0.36182756079587325,0.33439237490071483,0.42386831275720166,0.45919778699861685
40,0.33736884584342214,0.2947678703021371,0.27879269261318507,0.4787379972565158,0.41770401106500693
45,0.2740112994350282,0.2675018422991894,0.25258141382049243,0.38545953360768176,0.359612724757953
50,0.2360774818401937,0.2608695652173913,0.20889594916600476,0.35939643347050754,0.30013831258644535
0,1.0,1.0,1.0,1.0,1.0
5,0.914043583535109,0.8540899042004422,0.8204924543288324,0.8916323731138546,0.8533886583679114
10,0.8369652945924132,0.7428150331613854,0.7458300238284352,0.8271604938271605,0.7136929460580913
15,0.7304277643260694,0.5887988209285188,0.5972994440031771,0.6886145404663924,0.65283540802213
20,0.6501210653753027,0.5261606484893147,0.4725972994440032,0.6296296296296297,0.5463347164591977
25,0.5887812752219532,0.4657332350773766,0.41382049245432884,0.5857338820301783,0.5242047026279392
30,0.48103309120258275,0.3714075165806927,0.363780778395552,0.5171467764060357,0.4661134163208852
35,0.4092009685230024,0.3714075165806927,0.3359809372517871,0.47599451303155005,0.4287690179806362
40,0.3361581920903955,0.28371407516580693,0.2962668784749801,0.4375857338820302,0.36376210235131395
45,0.27925746569814364,0.2741341193809875,0.25178713264495634,0.3991769547325103,0.313969571230982
50,0.258272800645682,0.2431834929992631,0.21286735504368545,0.3113854595336077,0.30013831258644535
0,1.0,1.0,1.0,1.0,1.0
5,0.9079903147699758,0.866617538688283,0.8165210484511517,0.869684499314129,0.8118948824343015
10,0.8288942695722357,0.6971260132645541,0.6957903097696585,0.7681755829903978,0.7136929460580913
15,0.7247780468119451,0.630066322770818,0.5957108816521048,0.6776406035665294,0.6556016597510373
20,0.6476997578692494,0.5025792188651437,0.5385226370135028,0.6378600823045267,0.5767634854771784
25,0.5677966101694916,0.47531319086219603,0.4495631453534551,0.5432098765432098,0.5380359612724758
30,0.5068603712671509,0.41414885777450255,0.3399523431294678,0.49657064471879286,0.46196403872752423
35,0.41364003228410007,0.34340456890198967,0.3375694996028594,0.46502057613168724,0.42461964038727523
40,0.3700564971751412,0.3301400147383935,0.3018268467037331,0.4499314128943759,0.3817427385892116
45,0.27037933817594834,0.29108327192336036,0.2549642573471009,0.3813443072702332,0.33748271092669435
50,0.25544794188861986,0.23360353721444363,0.2454328832406672,0.3292181069958848,0.2918395573997234
0,1.0,1.0,1.0,1.0,1.0
5,0.9229217110573043,0.8725128960943257,0.8324066719618745,0.8532235939643347,0.8298755186721992
10,0.8184019370460048,0.7435519528371407,0.6965845909451946,0.7503429355281207,0.7302904564315352
15,0.7296206618240516,0.6190125276344879,0.5798252581413821,0.6790123456790124,0.6708160442600276
20,0.6767554479418886,0.529108327192336,0.4908657664813344,0.6268861454046639,0.5698478561549101
25,0.579499596448749,0.43625644804716285,0.40984908657664815,0.5857338820301783,0.5186721991701245
30,0.4685230024213075,0.41414885777450255,0.36854646544876885,0.52400548696845,0.4605809128630705
35,0.3934624697336562,0.33087693441414884,0.3232724384432089,0.46227709190672156,0.4135546334716459
40,0.34382566585956414,0.3154016212232867,0.30103256552819696,0.46227709190672156,0.4024896265560166
45,0.28167877320419693,0.27855563743551953,0.26449563145353455,0.36213991769547327,0.32503457814661135
50,0.24334140435835352,0.24539425202652912,0.24066719618745036,0.30864197530864196,0.3070539419087137
0,1.0,1.0,1.0,1.0,1.0
5,0.9112187247780468,0.8703021370670597,0.8077839555202542,0.8463648834019204,0.8630705394190872
10,0.8329297820823245,0.7288135593220338,0.6949960285941224,0.7956104252400549,0.7565698478561549
15,0.7437449556093624,0.6352247605011054,0.5980937251787133,0.6899862825788752,0.65283540802213
20,0.6440677966101694,0.5453205600589536,0.48848292295472595,0.6200274348422496,0.6127247579529738
25,0.5774818401937046,0.45689019896831246,0.42970611596505165,0.5569272976680384,0.5034578146611342
30,0.48991121872477805,0.39793662490788506,0.3669579030976966,0.49382716049382713,0.47717842323651455
35,0.4148506860371267,0.3537214443625645,0.3193010325655282,0.4732510288065844,0.4107883817427386
40,0.344229217110573,0.30287398673544585,0.27720413026211277,0.41289437585733885,0.38035961272475793
45,0.2828894269572236,0.2748710390567428,0.23828435266084194,0.36899862825788754,0.343015214384509
50,0.23769168684422923,0.2483419307295505,0.2192216044479746,0.32373113854595337,0.2710926694329184
0,1.0,1.0,1.0,1.0,1.0
5,0.920500403551251,0.8526160648489315,0.8324066719618745,0.8834019204389575,0.8713692946058091
10,0.8135593220338984,0.7428150331613854,0.6973788721207307,0.7695473251028807,0.7261410788381742
15,0.7267958030669895,0.6182756079587325,0.5949166004765687,0.7078189300411523,0.6210235131396957
20,0.6468926553672316,0.5423728813559322,0.482922954725973,0.6474622770919067,0.5781466113416321
25,0.5815173527037933,0.4819454679439941,0.4193804606830818,0.5445816186556928,0.5366528354080221
30,0.49313962873284906,0.41267501842299187,0.3566322478157268,0.5061728395061729,0.46887966804979253
35,0.40476190476190477,0.34340456890198967,0.329626687847498,0.46776406035665297,0.42323651452282157
40,0.34221146085552867,0.32940309506263815,0.28276409849086576,0.4170096021947874,0.4094052558782849
45,0.2538337368845843,0.2778187177597642,0.25893566322478156,0.39094650205761317,0.33748271092669435
50,0.23405972558514931,0.262343404568902,0.20810166799046861,0.3292181069958848,0.2863070539419087
0,1.0,1.0,1.0,1.0,1.0
5,0.9055690072639225,0.847457627118644,0.7918983320095314,0.8834019204389575,0.8589211618257261
10,0.8401937046004843,0.7641857037582903,0.6711675933280381,0.766803840877915,0.715076071922545
15,0.7441485068603713,0.6101694915254238,0.5917394757744241,0.6474622770919067,0.6390041493775933
20,0.6481033091202583,0.5615327929255711,0.5019857029388404,0.6515775034293553,0.598893499308437
25,0.5698143664245359,0.447310243183493,0.409054805401112,0.541838134430727,0.5214384508990318
30,0.463680387409201,0.3986735445836404,0.37728355837966643,0.541838134430727,0.5062240663900415
35,0.4075867635189669,0.3456153279292557,0.3177124702144559,0.45267489711934156,0.43291839557399725
40,0.34624697336561744,0.3198231392778187,0.3073868149324861,0.4156378600823045,0.3817427385892116
45,0.2853107344632768,0.2866617538688283,0.25893566322478156,0.3497942386831276,0.330567081604426
