missing,correlation,pvalue
0,0.99999999999999978,0.0
2,0.97818776104965222,0.0
4,0.95803675907611918,0.0
6,0.94290436366789598,0.0
8,0.93730437392783794,0.0
10,0.92541593741542649,0.0
12,0.91443523006818683,0.0
14,0.90548171385795928,0.0
16,0.89482578111297861,0.0
18,0.88191615494059639,0.0
20,0.87806940900380537,0.0
22,0.86760576249580812,0.0
24,0.86171266391244938,0.0
26,0.85928740358892686,0.0
28,0.85429609758449432,0.0
30,0.85010701046119064,0.0
32,0.85470419445698831,0.0
34,0.84697909720318132,0.0
36,0.83648947933845341,0.0
38,0.83761298834001963,0.0
40,0.82268911293911351,0.0
42,0.83994396376882396,0.0
44,0.81544238842369998,0.0
46,0.81001762030431412,0.0
48,0.79933744915436256,0.0
0,0.99999999999999978,0.0
2,0.97842170085939961,0.0
4,0.95920462563266862,0.0
6,0.944171060223293,0.0
8,0.93323510947891142,0.0
10,0.92156851956683261,0.0
12,0.91194850821198936,0.0
14,0.90111304831671235,0.0
16,0.89393201370763231,0.0
18,0.88233859852248397,0.0
20,0.87278444704511315,0.0
22,0.86747326923399604,0.0
24,0.86362964484116733,0.0
26,0.85294257265907525,0.0
28,0.84894283598497444,0.0
30,0.83127978714621742,0.0
32,0.83786618382378308,0.0
34,0.81991454658623297,0.0
36,0.8121665475804466,0.0
38,0.81471736871571765,0.0
40,0.80169403511997828,0.0
42,0.80139167296708236,0.0
44,0.79359405887370238,0.0
46,0.78161374552275498,0.0
48,0.7855260525670632,0.0
0,0.99999999999999978,0.0
2,0.97757544862995271,0.0
4,0.95744698284594976,0.0
6,0.9342170189192025,0.0
8,0.93111318543732446,0.0
10,0.91704902591983761,0.0
12,0.90984144672246403,0.0
14,0.9009971394433467,0.0
16,0.89514591726674664,0.0
18,0.89033908523458738,0.0
20,0.87724368042111467,0.0
22,0.8765409261851973,0.0
24,0.86603342937435301,0.0
26,0.85186407181834789,0.0
28,0.85225252128115836,0.0
30,0.85083701344042972,0.0
32,0.84799856417720265,0.0
34,0.84112487561819693,0.0
36,0.83599739577657661,0.0
38,0.83139788802439218,0.0
40,0.83061908458511036,0.0
42,0.82809254924148767,0.0
44,0.84213491868971346,0.0
46,0.81384659532024206,0.0
48,0.79979091713744865,0.0
0,0.99999999999999978,0.0
2,0.9783658465615771,0.0
4,0.96170855355198659,0.0
6,0.94878843620144626,0.0
8,0.93686167495260553,0.0
10,0.92495652612540391,0.0
12,0.91482254276342789,0.0
14,0.90793971108837312,0.0
16,0.89885084229087286,0.0
18,0.88924028656270826,0.0
20,0.88515927357666035,0.0
22,0.8799664756055271,0.0
24,0.87683207405761099,0.0
26,0.86858488681448309,0.0
28,0.8603592056089483,0.0
30,0.85481931692178725,0.0
32,0.84690653353840417,0.0
34,0.84361995904217912,0.0
36,0.83623050611671756,0.0
38,0.83637941591373166,0.0
40,0.83924983530178898,0.0
42,0.83840104887761979,0.0
44,0.83688395180703834,0.0
46,0.81804522826430348,0.0
48,0.81259606002033447,0.0
0,0.99999999999999978,0.0
2,0.97712660525201034,0.0
4,0.96082592145026746,0.0
6,0.94260335440558241,0.0
8,0.93455338647643782,0.0
10,0.92232675625891825,0.0
12,0.91409436497152652,0.0
14,0.90507127599534964,0.0
16,0.89598825542058236,0.0
18,0.88924013248470823,0.0
20,0.88175360717202833,0.0
22,0.87827826564246081,0.0
24,0.87204024331299612,0.0
26,0.87179851660225449,0.0
28,0.86725534656413239,0.0
30,0.86084615768566319,0.0
32,0.8553350032987278,0.0
34,0.85535495257702676,0.0
36,0.84641848613806303,0.0
38,0.84566288691321778,0.0
40,0.83853028754653247,0.0
42,0.83014102849321825,0.0
44,0.83376993687846734,0.0
46,0.82409021318396658,0.0
48,0.81110487445343238,0.0
0,0.99999999999999978,0.0
2,0.98019291418800225,0.0
4,0.96044873674499687,0.0
6,0.94416687243107378,0.0
8,0.92521609874802835,0.0
10,0.9191057022360164,0.0
12,0.90591957183962424,0.0
14,0.89629244490532223,0.0
16,0.88707714737253218,0.0
18,0.87514528569280436,0.0
20,0.86866303507844167,0.0
22,0.86971650797171329,0.0
24,0.86059016132490473,0.0
26,0.85147526424218689,0.0
28,0.85206420829307539,0.0
30,0.84267837918420507,0.0
32,0.83416910762584451,0.0
34,0.82785791947237652,0.0
36,0.82491671339625028,0.0
38,0.82603891219969106,0.0
40,0.82337159883588362,0.0
42,0.81677530509206531,0.0
44,0.82261829664442832,0.0
46,0.81321275718465669,0.0
48,0.80384631327495626,0.0
0,0.99999999999999978,0.0
2,0.97924397899438365,0.0
4,0.96238949733946633,0.0
6,0.94758924279885592,0.0
8,0.93438790745702283,0.0
10,0.91962177081782404,0.0
12,0.91036760317070542,0.0
14,0.89735362493420556,0.0
16,0.88952869711601745,0.0
18,0.87712539378296539,0.0
20,0.87880215190758626,0.0
22,0.87117127879422673,0.0
24,0.86460789491753176,0.0
26,0.84928966297086761,0.0
28,0.85405807398906919,0.0
30,0.83607713743822165,0.0
32,0.8337940890186657,0.0
34,0.84081234325333731,0.0
36,0.83623057801852829,0.0
38,0.83296866850832907,0.0
40,0.82684745420308547,0.0
42,0.83126448718942592,0.0
44,0.82384332122789516,0.0
46,0.82511603462430694,0.0
48,0.81802130008424945,0.0
0,0.99999999999999978,0.0
2,0.97666723725223648,0.0
4,0.95397541892424376,0.0
6,0.94578371034956399,0.0
8,0.93754301290678743,0.0
10,0.92618876054341692,0.0
12,0.91342169596436118,0.0
14,0.90307967742969031,0.0
16,0.89627928043130201,0.0
18,0.89299633761802477,0.0
20,0.88226130072684528,0.0
22,0.88127164776197742,0.0
24,0.87677028455752637,0.0
26,0.87084053717279863,0.0
28,0.86677843298128743,0.0
30,0.86199499648372802,0.0
32,0.85519548195560058,0.0
34,0.84565984421698059,0.0
36,0.84117435881953173,0.0
38,0.84517852321453846,0.0
40,0.83253136890211354,0.0
42,0.82086175561130925,0.0
44,0.83371070914505219,0.0
46,0.82081121808714796,0.0
48,0.82114866274795095,0.0
0,0.99999999999999978,0.0
2,0.97659608484320126,0.0
4,0.9601261493157397,0.0
6,0.94635360077156849,0.0
8,0.93462754155271721,0.0
10,0.92351891628528882,0.0
12,0.9139895798007831,0.0
14,0.90818315496819457,0.0
16,0.89921511209336691,0.0
18,0.89581836566194117,0.0
20,0.88765614489447697,0.0
22,0.88258608168122898,0.0
24,0.87069593754195995,0.0
26,0.86852762875332712,0.0
28,0.86512899423990075,0.0
30,0.86501212213165146,0.0
32,0.85547200688282687,0.0
34,0.84835369637665659,0.0
36,0.85296484331627787,0.0
38,0.83867537707932538,0.0
40,0.84734315038244068,0.0
42,0.83059511541685282,0.0
44,0.82989649875719862,0.0
46,0.81130033173805205,0.0
48,0.82724019511054192,0.0
0,0.99999999999999978,0.0
2,0.96825578462762607,0.0
4,0.9640291236160875,0.0
6,0.95011511407308491,0.0
8,0.93413528368092014,0.0
10,0.92403083569967859,0.0
12,0.91453307138105744,0.0
14,0.90515720889988904,0.0
16,0.89867817824637186,0.0
18,0.88742230958387625,0.0
20,0.8786446945034001,0.0
22,0.87566643572040037,0.0
24,0.86570770110227879,0.0
26,0.86502333891726524,0.0
28,0.85003637888055328,0.0
30,0.85024741567866546,0.0
32,0.8557192930906915,0.0
34,0.84994251741935967,0.0
36,0.84744473892067063,0.0
38,0.83321658288965295,0.0
40,0.84390165575488429,0.0
42,0.84047479489255783,0.0
44,0.82927814702797287,0.0
46,0.83677913929406544,0.0
48,0.83552346700049884,0.0
