truss_number,change_0,change_65,change_35,change_5,change_70,change_40,change_10,change_75,change_45,change_15,change_80,change_50,change_20,change_85,change_55,change_25,change_60,change_30
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,35.625,0,0,378.0,0,0,663.20000000000005,0,0,369.0,0,0,0,0
4,0,384.5,0,0,674.39999999999998,0,0,346.0,0,0,123.66666666666667,0,0,0,0,0,11.0,0
5,0,485.0,0,0,211.0,0,0,0,0,0,0,0,0,0,473.0,0,545.60000000000002,0
6,0,0,0,0,0,0,0,0,0,0,0,140.25,0,0,474.22222222222223,0,443.25,0
7,0,0,0,0,0,0,0,0,150.0,0,0,445.0,0,0,506.5,0,0,0
8,0,0,0,0,0,0,0,0,211.33333333333334,0,0,428.80000000000001,0,0,0,0,0,0
9,0,0,0,0,0,121.0,0,0,327.33333333333331,0,0,530.0,0,0,0,0,0,0
10,0,0,81.0,0,0,116.77777777777777,0,0,560.5,0,0,0,0,0,0,0,0,0
11,0,0,49.5,0,0,413.77777777777777,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,145.90000000000001,0,0,620.0,0,0,0,0,0,0,0,0,0,0,0,10.0
13,0,0,246.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.399999999999999
14,0,0,650.39999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.700000000000003
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,165.88888888888889
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,405.57142857142856
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709.5,0,665.66666666666663
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,724.0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,724.0,0,0,58.0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,724.0,0,0,666.0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,724.0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,724.0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,724.0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,724.0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,724.0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,724.0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,724.0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,724.0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,724.0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,724.0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,724.0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,724.0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,724.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,724.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,724.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,724.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
