truss_number,change_0,change_65,change_35,change_5,change_70,change_40,change_10,change_75,change_45,change_15,change_80,change_50,change_20,change_85,change_55,change_25,change_60,change_30
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3123.0,2897.1999999999998,2909.3000000000002,2920.9000000000001,2895.9000000000001,2908.0999999999999,2919.1999999999998,2893.5,2906.5,2917.0,2892.1999999999998,2905.5,2915.5,2888.9000000000001,2902.9000000000001,2913.1999999999998,2899.5999999999999,2910.8000000000002
4,2750.0,2558.9000000000001,2553.8000000000002,2548.6999999999998,2558.6999999999998,2553.9000000000001,2549.4000000000001,2558.8000000000002,2553.8000000000002,2550.0999999999999,2558.0999999999999,2553.9000000000001,2550.6999999999998,2559.5999999999999,2555.1999999999998,2552.5999999999999,2557.9000000000001,2553.8000000000002
5,1385.0,1301.3,1301.5999999999999,1298.0,1302.0,1301.9000000000001,1298.5999999999999,1303.3,1303.2,1299.7,1303.5999999999999,1302.5,1300.0,1303.7,1302.5,1299.8,1302.4000000000001,1300.2
6,545.0,497.10000000000002,494.0,495.0,496.5,494.60000000000002,494.80000000000001,496.69999999999999,494.19999999999999,494.5,498.0,495.19999999999999,494.89999999999998,499.0,495.39999999999998,494.80000000000001,494.89999999999998,495.5
7,355.0,325.60000000000002,325.10000000000002,322.39999999999998,326.89999999999998,325.30000000000001,322.80000000000001,326.60000000000002,325.5,323.30000000000001,326.80000000000001,325.10000000000002,323.5,327.19999999999999,326.0,323.89999999999998,325.89999999999998,324.0
8,232.0,215.80000000000001,216.0,223.0,215.80000000000001,214.59999999999999,222.59999999999999,215.09999999999999,213.80000000000001,222.40000000000001,215.19999999999999,214.5,220.80000000000001,214.30000000000001,214.69999999999999,220.5,216.0,218.40000000000001
9,229.0,215.30000000000001,217.80000000000001,214.0,214.69999999999999,217.09999999999999,214.59999999999999,216.30000000000001,217.90000000000001,214.19999999999999,216.40000000000001,217.5,215.80000000000001,216.19999999999999,215.09999999999999,214.09999999999999,215.09999999999999,216.19999999999999
10,130.0,129.59999999999999,123.90000000000001,121.90000000000001,130.30000000000001,126.0,121.90000000000001,130.0,126.0,122.7,129.5,126.7,122.7,130.19999999999999,129.09999999999999,124.09999999999999,129.09999999999999,123.3
11,40.0,38.100000000000001,37.399999999999999,35.100000000000001,37.299999999999997,37.399999999999999,35.0,37.799999999999997,38.0,35.0,38.299999999999997,38.0,35.0,39.0,38.0,35.899999999999999,38.0,36.700000000000003
12,236.0,236.0,236.0,236.0,236.80000000000001,236.0,236.09999999999999,236.80000000000001,236.0,236.09999999999999,236.80000000000001,236.0,236.0,236.80000000000001,236.0,236.0,236.0,236.0
13,54.0,34.100000000000001,36.5,40.0,34.100000000000001,36.5,40.0,34.100000000000001,35.299999999999997,40.0,34.100000000000001,35.299999999999997,40.100000000000001,34.100000000000001,35.299999999999997,40.100000000000001,35.299999999999997,38.899999999999999
14,91.0,91.400000000000006,91.400000000000006,89.0,91.400000000000006,91.400000000000006,89.0,91.400000000000006,91.400000000000006,89.0,90.200000000000003,91.400000000000006,89.0,90.200000000000003,91.400000000000006,89.0,91.400000000000006,90.200000000000003
15,105.0,105.40000000000001,103.0,103.0,105.40000000000001,103.0,103.0,104.2,104.2,103.0,105.40000000000001,104.2,103.0,105.40000000000001,104.2,103.0,104.2,103.0
16,120.0,112.0,113.2,112.0,112.0,113.2,112.0,113.2,113.2,112.0,113.2,113.2,112.0,113.2,113.2,112.0,112.0,112.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0
18,306.0,267.19999999999999,266.0,266.0,267.19999999999999,266.0,266.0,267.19999999999999,266.0,266.0,267.19999999999999,266.0,266.0,267.19999999999999,266.0,266.0,266.0,266.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
21,210.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0
22,231.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,276.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,25.0,18.399999999999999,18.399999999999999,23.0,18.399999999999999,18.399999999999999,23.0,18.399999999999999,18.399999999999999,20.699999999999999,18.399999999999999,18.399999999999999,20.699999999999999,18.399999999999999,18.399999999999999,18.399999999999999,18.399999999999999,18.399999999999999
27,0.0,4.5999999999999996,4.5999999999999996,0.0,4.5999999999999996,4.5999999999999996,0.0,4.5999999999999996,4.5999999999999996,2.2999999999999998,4.5999999999999996,4.5999999999999996,2.2999999999999998,4.5999999999999996,4.5999999999999996,4.5999999999999996,4.5999999999999996,4.5999999999999996
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,220.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,561.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0
35,595.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
