truss_number,change_0,change_65,change_35,change_5,change_70,change_40,change_10,change_75,change_45,change_15,change_80,change_50,change_20,change_85,change_55,change_25,change_60,change_30
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3123.0,369.39999999999998,1390.7,2710.3000000000002,255.90000000000001,1192.5999999999999,2484.9000000000001,116.7,1006.4,2264.1999999999998,67.599999999999994,834.10000000000002,2015.7,39.200000000000003,672.29999999999995,1803.7,516.39999999999998,1592.4000000000001
4,2750.0,143.19999999999999,778.0,2230.0999999999999,99.299999999999997,629.70000000000005,1956.2,44.700000000000003,498.0,1661.5999999999999,24.600000000000001,372.80000000000001,1405.0,13.5,264.5,1167.0,192.19999999999999,959.89999999999998
5,1385.0,63.600000000000001,319.30000000000001,1076.4000000000001,40.600000000000001,244.09999999999999,908.0,19.600000000000001,187.19999999999999,759.10000000000002,11.699999999999999,145.0,610.89999999999998,11.1,116.59999999999999,500.80000000000001,97.599999999999994,397.30000000000001
6,545.0,35.299999999999997,160.90000000000001,436.60000000000002,29.699999999999999,120.90000000000001,359.60000000000002,17.399999999999999,92.599999999999994,318.30000000000001,15.800000000000001,75.900000000000006,251.69999999999999,17.444444444444443,60.0,231.09999999999999,55.899999999999999,188.0
7,355.0,37.100000000000001,73.700000000000003,278.69999999999999,33.200000000000003,67.200000000000003,266.30000000000001,7.9000000000000004,71.599999999999994,215.40000000000001,16.777777777777779,57.5,191.30000000000001,6.5999999999999996,53.799999999999997,137.59999999999999,30.899999999999999,117.0
8,232.0,49.5,87.299999999999997,192.69999999999999,28.699999999999999,78.799999999999997,137.59999999999999,24.199999999999999,53.899999999999999,126.8,12.75,61.5,105.7,0.0,33.700000000000003,98.5,58.5,88.099999999999994
9,229.0,21.899999999999999,60.700000000000003,167.0,26.199999999999999,57.0,143.30000000000001,11.444444444444445,57.600000000000001,143.59999999999999,18.833333333333332,30.199999999999999,103.90000000000001,0.0,52.899999999999999,88.099999999999994,44.5,89.700000000000003
10,130.0,27.899999999999999,105.8,90.700000000000003,19.777777777777779,63.799999999999997,99.099999999999994,19.375,43.299999999999997,96.799999999999997,4.2000000000000002,45.399999999999999,80.799999999999997,0.0,67.099999999999994,81.0,28.600000000000001,72.200000000000003
11,40.0,25.300000000000001,44.700000000000003,83.700000000000003,14.111111111111111,73.400000000000006,110.59999999999999,16.0,65.299999999999997,56.799999999999997,17.5,77.700000000000003,66.299999999999997,15.5,29.399999999999999,37.799999999999997,18.699999999999999,46.5
12,236.0,26.100000000000001,46.100000000000001,152.40000000000001,41.5,55.600000000000001,76.5,24.0,67.400000000000006,73.400000000000006,0.0,56.299999999999997,63.700000000000003,54.0,23.300000000000001,91.900000000000006,16.199999999999999,66.099999999999994
13,54.0,41.666666666666664,51.299999999999997,61.200000000000003,23.857142857142858,74.700000000000003,61.0,12.0,56.299999999999997,75.299999999999997,18.0,42.100000000000001,97.700000000000003,0,27.699999999999999,81.299999999999997,59.799999999999997,76.799999999999997
14,91.0,21.375,112.7,60.899999999999999,35.142857142857146,69.900000000000006,91.900000000000006,65.5,50.600000000000001,90.900000000000006,78.0,21.800000000000001,101.40000000000001,0,20.0,79.0,14.0,128.5
15,105.0,59.142857142857146,72.700000000000003,118.90000000000001,74.0,35.5,88.400000000000006,0,16.699999999999999,107.3,0,15.6,66.200000000000003,0,64.099999999999994,100.2,59.444444444444443,44.100000000000001
16,120.0,59.833333333333336,54.899999999999999,98.900000000000006,158.33333333333334,27.600000000000001,110.09999999999999,0,32.700000000000003,86.799999999999997,0,27.600000000000001,46.5,0,56.777777777777779,67.099999999999994,49.666666666666664,63.899999999999999
17,0.0,110.0,24.600000000000001,95.5,0,24.5,103.59999999999999,0,29.699999999999999,79.0,0,62.700000000000003,136.09999999999999,0,60.777777777777779,92.200000000000003,73.714285714285708,99.799999999999997
18,306.0,143.0,18.600000000000001,100.3,0,14.199999999999999,101.2,0,68.900000000000006,161.09999999999999,0,82.900000000000006,93.299999999999997,0,47.444444444444443,82.599999999999994,0.0,36.799999999999997
19,0.0,173.0,18.300000000000001,47.0,0,46.0,122.8,0,61.0,55.700000000000003,0,45.5,83.099999999999994,0,44.0,33.799999999999997,87.0,1.6000000000000001
20,37.0,0,38.100000000000001,190.59999999999999,0,37.200000000000003,91.0,0,54.600000000000001,91.900000000000006,0,83.666666666666671,67.799999999999997,0,69.333333333333329,18.899999999999999,227.0,40.200000000000003
21,210.0,0,119.5,98.700000000000003,0,163.30000000000001,134.69999999999999,0,24.699999999999999,78.0,0,46.428571428571431,42.899999999999999,0,124.2,36.399999999999999,0.0,3.6000000000000001
22,231.0,0,77.799999999999997,107.59999999999999,0,20.800000000000001,45.0,0,58.299999999999997,24.0,0,33.571428571428569,3.7999999999999998,0,154.0,12.300000000000001,226.0,80.0
23,0.0,0,108.8,93.0,0,67.900000000000006,4.0999999999999996,0,69.0,25.600000000000001,0,59.0,21.800000000000001,0,0.0,64.599999999999994,0,104.40000000000001
24,276.0,0,48.100000000000001,102.5,0,51.399999999999999,81.200000000000003,0,106.55555555555556,39.100000000000001,0,57.799999999999997,137.69999999999999,0,0.0,102.2,0,131.5
25,0.0,0,25.699999999999999,7.4000000000000004,0,100.22222222222223,4.4000000000000004,0,99.833333333333329,41.5,0,155.0,2.2000000000000002,0,292.0,120.5,0,52.899999999999999
26,25.0,0,33.799999999999997,6.9000000000000004,0,66.571428571428569,13.199999999999999,0,82.0,45.700000000000003,0,174.5,43.799999999999997,0,0,95.299999999999997,0,88.0
27,0.0,0,102.0,15.699999999999999,0,156.83333333333334,15.699999999999999,0,134.66666666666666,80.700000000000003,0,0.0,163.90000000000001,0,0,75.599999999999994,0,50.0
28,0.0,0,253.28571428571428,0.0,0,94.5,32.5,0,0.0,202.0,0,0.0,243.09999999999999,0,0,135.90000000000001,0,167.0
29,0.0,0,0.0,17.100000000000001,0,146.0,269.5,0,219.0,228.59999999999999,0,401.0,86.900000000000006,0,0,74.299999999999997,0,111.28571428571429
30,0.0,0,108.0,139.40000000000001,0,206.5,237.30000000000001,0,426.0,56.700000000000003,0,0,75.299999999999997,0,0,192.33333333333334,0,0.0
31,0.0,0,0.0,225.59999999999999,0,529.0,20.600000000000001,0,0,129.19999999999999,0,0,89.0,0,0,69.142857142857139,0,157.16666666666666
32,220.0,0,528.33333333333337,214.80000000000001,0,0,354.39999999999998,0,0,85.700000000000003,0,0,59.888888888888886,0,0,0.0,0,0.0
33,0.0,0,0,289.5,0,0,46.5,0,0,0.0,0,0,0.0,0,0,91.0,0,278.25
34,561.0,0,0,202.40000000000001,0,0,0.0,0,0,0.0,0,0,145.875,0,0,113.40000000000001,0,280.0
35,595.0,0,0,0.0,0,0,62.700000000000003,0,0,185.0,0,0,105.0,0,0,149.0,0,630.0
36,0.0,0,0,0.0,0,0,74.222222222222229,0,0,103.42857142857143,0,0,283.39999999999998,0,0,232.0,0,0
37,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,225.66666666666666,0,0,321.5,0,0
38,0.0,0,0,0.0,0,0,0.0,0,0,385.0,0,0,359.5,0,0,0.0,0,0
39,0.0,0,0,159.0,0,0,295.75,0,0,272.33333333333331,0,0,0.0,0,0,755.0,0,0
40,0.0,0,0,215.375,0,0,345.19999999999999,0,0,399.0,0,0,815.0,0,0,0,0,0
41,0.0,0,0,289.83333333333331,0,0,295.0,0,0,0.0,0,0,0,0,0,0,0,0
42,0.0,0,0,703.25,0,0,459.5,0,0,896.0,0,0,0,0,0,0,0,0
