missing,correlation,pvalue
0,0.99999999999999978,0.0
2,0.9943695377432703,0.0
4,0.98813058275212295,0.0
6,0.98155411632433942,0.0
8,0.97093113645803197,0.0
10,0.9660296333235675,0.0
12,0.96001412414835885,0.0
14,0.95562883517667363,0.0
16,0.95048781555878181,0.0
18,0.94176037381142585,0.0
20,0.93611310502384348,0.0
22,0.92571543777810728,0.0
24,0.91899955680551237,0.0
26,0.89549625277078948,0.0
28,0.89041044573393635,0.0
30,0.88860559043266518,0.0
32,0.91608991193389788,0.0
34,0.90108266090206535,0.0
36,0.9061449896558057,0.0
38,0.89394418178603152,0.0
40,0.89836139183109787,0.0
42,0.89641920929229246,0.0
44,0.89252430420888573,0.0
46,0.88233623256447724,0.0
48,0.88247645129387209,0.0
0,0.99999999999999978,0.0
2,0.99381817883133439,0.0
4,0.98612517342647577,0.0
6,0.97477443984632539,0.0
8,0.96703621154300878,0.0
10,0.96487505391859207,0.0
12,0.95996089982720856,0.0
14,0.95183203964213059,0.0
16,0.94255730738263588,0.0
18,0.93396752866949972,0.0
20,0.92970365655966014,0.0
22,0.92695141304090256,0.0
24,0.92039301472677582,0.0
26,0.90645795142489283,0.0
28,0.90136703148013786,0.0
30,0.88731977489074987,0.0
32,0.88087532607023988,0.0
34,0.87659351825149345,0.0
36,0.87427406384695494,0.0
38,0.87127326235961311,0.0
40,0.86893120818911507,0.0
42,0.85414474043407096,0.0
44,0.84166172747493329,0.0
46,0.82838857120076281,0.0
48,0.82898628986755962,0.0
0,0.99999999999999978,0.0
2,0.98933562345844916,0.0
4,0.98223734302298349,0.0
6,0.97578665451689728,0.0
8,0.96865523231002559,0.0
10,0.96045761297592591,0.0
12,0.95641803036335571,0.0
14,0.94882925613679814,0.0
16,0.94454186395070794,0.0
18,0.93744863904666376,0.0
20,0.93058111597421767,0.0
22,0.92842788228279649,0.0
24,0.92561743070978819,0.0
26,0.92071812725765123,0.0
28,0.9211938569880691,0.0
30,0.9166452964947136,0.0
32,0.90896430986295795,0.0
34,0.90952688970518158,0.0
36,0.90739609570368251,0.0
38,0.90332166396301183,0.0
40,0.89631379711531778,0.0
42,0.88911630571354283,0.0
44,0.87671925985934862,0.0
46,0.86339557540882239,0.0
48,0.8536559259000529,0.0
0,0.99999999999999978,0.0
2,0.99186299729559091,0.0
4,0.98446972310303194,0.0
6,0.97874341782884722,0.0
8,0.97437816902114904,0.0
10,0.96722864960113919,0.0
12,0.95683204723837489,0.0
14,0.93929035465235877,0.0
16,0.94295532078541577,0.0
18,0.93133606575285566,0.0
20,0.92650280043440292,0.0
22,0.92221910568130427,0.0
24,0.91464173659524861,0.0
26,0.91007555789472727,0.0
28,0.90412389630254852,0.0
30,0.8976287905346968,0.0
32,0.89329687677632463,0.0
34,0.88654616273952347,0.0
36,0.89016518069033201,0.0
38,0.87388647890271709,0.0
40,0.86693876239581147,0.0
42,0.86178052056611421,0.0
44,0.85938573396180895,0.0
46,0.85115819936360437,0.0
48,0.85410431028064515,0.0
0,0.99999999999999978,0.0
2,0.9919153408854412,0.0
4,0.98646867555154427,0.0
6,0.97539080875178041,0.0
8,0.96565826949801059,0.0
10,0.96369267353662547,0.0
12,0.95501651102815577,0.0
14,0.94835254508524969,0.0
16,0.9441783097790033,0.0
18,0.93898955967020636,0.0
20,0.93263875471441093,0.0
22,0.92438080395783029,0.0
24,0.9154611537128885,0.0
26,0.91179896231166646,0.0
28,0.90777344391652359,0.0
30,0.9015040644471477,0.0
32,0.89947079627891857,0.0
34,0.89368233678087039,0.0
36,0.88960392294191737,0.0
38,0.88159474832436946,0.0
40,0.87104539440985596,0.0
42,0.87246769638441235,0.0
44,0.87359960054283536,0.0
46,0.85522404436651045,0.0
48,0.86767218353048192,0.0
0,0.99999999999999978,0.0
2,0.99033635415466081,0.0
4,0.97503670056648595,0.0
6,0.97500390459631103,0.0
8,0.97335819327909157,0.0
10,0.96179797906047737,0.0
12,0.95885630088258722,0.0
14,0.95239347776085082,0.0
16,0.94521239534336243,0.0
18,0.93363423591036099,0.0
20,0.92658219111692008,0.0
22,0.92070938980491612,0.0
24,0.91490129732577508,0.0
26,0.90291989879909651,0.0
28,0.90288539749905883,0.0
30,0.89771529048158405,0.0
32,0.89418113344782879,0.0
34,0.87800922724254671,0.0
36,0.85511030387083897,0.0
38,0.84994125441329949,0.0
40,0.83743171229012558,0.0
42,0.83875552901903794,0.0
44,0.83003552551864879,0.0
46,0.8266533345459961,0.0
48,0.8266491464809157,0.0
0,0.99999999999999978,0.0
2,0.99471029931975963,0.0
4,0.98416069450583987,0.0
6,0.97658180043794363,0.0
8,0.96898475848842125,0.0
10,0.95228141841180269,0.0
12,0.94631817403825602,0.0
14,0.93659983600282493,0.0
16,0.93264629696921431,0.0
18,0.92506448534938357,0.0
20,0.91879752674196657,0.0
22,0.91417170641208334,0.0
24,0.90766237396859228,0.0
26,0.89605655431883335,0.0
28,0.89247507471060172,0.0
30,0.88639610935360102,0.0
32,0.88430305304581536,0.0
34,0.877858748699617,0.0
36,0.87073464347964047,0.0
38,0.86297686092980297,0.0
40,0.85537365861212,0.0
42,0.8655215237266265,0.0
44,0.87024693413372278,0.0
46,0.8653642369425677,0.0
48,0.86443365150967244,0.0
0,0.99999999999999978,0.0
2,0.9893220765443882,0.0
4,0.98327913265783329,0.0
6,0.97542640221006749,0.0
8,0.96576792065600481,0.0
10,0.95203484738472888,0.0
12,0.9434016444975919,0.0
14,0.9362668567818857,0.0
16,0.92898168858782992,0.0
18,0.92064864307476013,0.0
20,0.92013581293849223,0.0
22,0.91051549680222021,0.0
24,0.90389787140108691,0.0
26,0.90118984815830772,0.0
28,0.89665919465771926,0.0
30,0.88948286905018492,0.0
32,0.88377483731867623,0.0
34,0.87055232259828896,0.0
36,0.86742400338554304,0.0
38,0.85972376059054056,0.0
40,0.86474007716424117,0.0
42,0.85152964654806529,0.0
44,0.84787166827475946,0.0
46,0.84233110762834362,0.0
48,0.8484865583313359,0.0
0,0.99999999999999978,0.0
2,0.99113176090537713,0.0
4,0.9841984671941747,0.0
6,0.97747561759323698,0.0
8,0.96822074590106588,0.0
10,0.96451895675842425,0.0
12,0.95667989153033983,0.0
14,0.9400142130304413,0.0
16,0.93446376124546793,0.0
18,0.92513674920723921,0.0
20,0.9185707505940699,0.0
22,0.91397720284002026,0.0
24,0.9083781431610316,0.0
26,0.89385338242567625,0.0
28,0.89159030994402666,0.0
30,0.88818808034771268,0.0
32,0.88093361391261316,0.0
34,0.87859440044077974,0.0
36,0.86943457730095131,0.0
38,0.86440660133957936,0.0
40,0.86443011894792454,0.0
42,0.86434563914553086,0.0
44,0.8595539656864446,0.0
46,0.85345703571054432,0.0
48,0.84835926342181922,0.0
0,0.99999999999999978,0.0
2,0.99032679082810193,0.0
4,0.98160944900198599,0.0
6,0.97472701034221609,0.0
8,0.96853646761031487,0.0
10,0.96222374261826171,0.0
12,0.95363891622978181,0.0
14,0.94823591872248159,0.0
16,0.94095056432993274,0.0
18,0.93496402830987257,0.0
20,0.92886688332026845,0.0
22,0.92555905926006476,0.0
24,0.92120891916396097,0.0
26,0.90997411009553775,0.0
28,0.90347842883705021,0.0
30,0.89817521986974913,0.0
32,0.89426255294137558,0.0
34,0.89059289901061711,0.0
36,0.88852903625759116,0.0
38,0.88303417818945062,0.0
40,0.87868564018828954,0.0
42,0.87191345495436856,0.0
44,0.86652309059119814,0.0
46,0.85661707495052752,0.0
48,0.85322574990322486,0.0
