missing,correlation,pvalue,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,1.0000000000000002,0.0,1.0,0.0,0.99999999999999978,0.0,1.0000000000000002,2.4034093344210247e-293
2,0.97833885199756032,0.0,0.92915871271491102,0.0,0.90552620029940378,0.0,0.88952715766241497,1.4669583531792593e-232
4,0.95848919435686142,0.0,0.87087627452611693,0.0,0.82384595499631108,0.0,0.81937845859308256,1.2057278090604755e-197
6,0.9428644316661865,0.0,0.84368673163847208,0.0,0.80867933068928188,0.0,0.8200854212540184,5.5417194624062213e-198
8,0.92799483955160111,0.0,0.81288575748530201,0.0,0.74245997997774715,0.0,0.71128968354445121,1.909144127558635e-149
10,0.91423369844511415,0.0,0.78233160540638258,0.0,0.70963310410182978,1.1425945060178308e-287,0.66796863089875158,4.9318297916751023e-132
12,0.90048379672141943,0.0,0.77400814033477028,0.0,0.72007625401910214,3.9185840343560216e-296,0.70073134698320394,4.2177194903288864e-145
14,0.88670309782526013,0.0,0.77270316436838737,0.0,0.70675798881126228,2.3262647188409984e-285,0.67002080017753274,7.8122374061720636e-133
16,0.87714995681250341,0.0,0.77607720869036023,0.0,0.73963482360387567,0.0,0.66211449762230024,9.1696383908903651e-130
18,0.86724644453880095,0.0,0.77270133068797675,0.0,0.7216680288456343,1.9591205407556668e-297,0.64860140392730548,1.3324809213323256e-124
20,0.85631676343682106,0.0,0.75379212866083611,0.0,0.6969648710245282,1.4470134581577021e-277,0.65219251242727849,5.7959570189844987e-126
22,0.84548498162647967,0.0,0.73280454828956365,0.0,0.68822233533748289,1.0628053890214577e-270,0.63408132117163918,3.5763353526016715e-119
24,0.83697290537673286,0.0,0.73312706087024127,0.0,0.67642802843247452,1.4192056780543196e-261,0.63675168449843467,3.666328434412764e-120
26,0.82529696858345558,0.0,0.70755561060814831,0.0,0.67298911584681853,6.0698420952540956e-259,0.62963125952428534,1.558520285576353e-117
28,0.81437043395903419,0.0,0.68984501672033127,0.0,0.67556898093029094,6.4649037008891378e-261,0.59926513626842393,1.1794914820562626e-106
30,0.80499909817560089,0.0,0.68539685371220438,0.0,0.68097938212045117,4.4585448409792576e-265,0.5997598673734551,7.9203343616499843e-107
32,0.79481777805050269,0.0,0.68450343958415694,0.0,0.67706029469938855,4.6434172400727238e-262,0.60587175671087012,5.6284029123767957e-109
34,0.78619454572996972,0.0,0.67542258746681172,0.0,0.66384516655109782,5.1777380743423139e-252,0.61932193303840954,8.8344952113736926e-114
36,0.77722427189395016,0.0,0.67580371898254277,0.0,0.64432944656285096,1.5493582367985201e-237,0.54651173846739298,4.9893528414108688e-89
38,0.76834484203359221,0.0,0.67430356240033607,0.0,0.63984135878833726,2.8725462698706665e-234,0.58811745360754997,8.5327680908922696e-103
40,0.75715047910139899,0.0,0.66497027452527735,0.0,0.64303830755785396,1.3572622507646847e-236,0.60488137486970117,1.2588730993943389e-108
42,0.74503991675326364,0.0,0.66418646335661147,0.0,0.63093010667255112,1.1866350843021196e-227,0.6071886675753877,1.9259455488455546e-109
44,0.73418451342563995,0.0,0.65739120808273976,0.0,0.63936296010419169,1.0120240563337768e-233,0.64266340493959073,2.2885707126335376e-122
46,0.7261366501286648,0.0,0.64275321636009186,0.0,0.6293049725274722,1.7166563251663438e-226,0.66607282365980769,2.6921179027663606e-131
48,0.71374294824699813,0.0,0.61497290211975275,0.0,0.61298179773481976,5.2962314769339697e-215,0.6509539762655514,1.7121865294244683e-125
0,1.0000000000000002,0.0,1.0,0.0,0.99999999999999978,0.0,1.0000000000000002,2.4034093344210247e-293
2,0.97839944573649229,0.0,0.92157345479697361,0.0,0.89727827681468031,0.0,0.86827078561389182,1.1177554147367617e-221
4,0.95854643396712846,0.0,0.86783660500228288,0.0,0.82684664708985955,0.0,0.77907522537838725,7.0371905457743394e-179
6,0.94241014314813187,0.0,0.82482011681420075,0.0,0.7830947757898522,0.0,0.68148530017698405,2.3836366234305379e-137
8,0.9269960191595652,0.0,0.80352265654270438,0.0,0.7549205464579648,0.0,0.72950894930201682,4.2871908929516681e-157
10,0.91218757499770475,0.0,0.76132691541710318,0.0,0.69367792882683599,5.6498246992569368e-275,0.64980712532846807,4.6597021278089699e-125
12,0.89648446141451743,0.0,0.74096704264323754,0.0,0.72122168748272364,4.5412597372609683e-297,0.65240072333809895,4.8300779087771001e-126
14,0.88577759460195804,0.0,0.73059988557701261,0.0,0.7156983492616944,1.4344973119640114e-292,0.64814270558743314,1.9862445520518122e-124
16,0.87538618298478343,0.0,0.75059794365830945,0.0,0.73355091537598938,3.0811328364289848e-307,0.66934767605306722,1.4306265983937907e-132
18,0.86567222169499458,0.0,0.75824682047295588,0.0,0.72455459011887935,8.4208590119134144e-300,0.66986652007435898,8.9747261021890157e-133
20,0.85571827231077857,0.0,0.75659939172927382,0.0,0.71338000347678232,1.0839813633770343e-290,0.65798479318022074,3.5583491723160887e-128
22,0.84495301985431215,0.0,0.7364230531800795,0.0,0.68082884807654853,5.826710517751848e-265,0.63070175786266947,6.3011883574098485e-118
