change,correlation_100,pvalue_100,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,1.0000000000000002,0.0,0.99999999999999978,0.0,0.99999999999999978,0.0,0.99999999999999978,1.627097650612626e-241
2,0.98578723383818523,0.0,0.95615148130107075,0.0,0.95932807973759071,0.0,0.91389785364339249,4.6056887065266207e-202
4,0.97263935302567195,0.0,0.92774284006950303,0.0,0.93952459613820116,0.0,0.91202473302094089,3.0351743772254503e-201
6,0.96080125835194075,0.0,0.89807107811256148,0.0,0.90765984749698558,0.0,0.88856461172612866,3.9488461236767416e-191
8,0.95085388072019461,0.0,0.87612918358268921,0.0,0.89494170517749749,0.0,0.86028289326168961,2.7535312835082074e-179
10,0.94131316435100965,0.0,0.8539994568200423,0.0,0.87155533476288383,0.0,0.85246336706876313,4.4361464720479398e-176
12,0.93064924491021039,0.0,0.84593389959657628,0.0,0.85986182430411995,0.0,0.82476841372812537,5.9009895418810627e-165
14,0.92254697475752456,0.0,0.83672060497273226,0.0,0.83681176450027783,0.0,0.81934372003933187,8.0702334318665746e-163
16,0.91505044282632175,0.0,0.82463184178818338,0.0,0.82440014123631278,0.0,0.81934372003933187,8.0702334318665746e-163
18,0.90875642951221114,0.0,0.80089955858235051,0.0,0.8151872047570411,0.0,0.81536829316791282,2.9058692039362816e-161
20,0.90197265544445449,0.0,0.79256128257386593,0.0,0.81079333056917446,0.0,0.80765855761093763,2.8849629466374623e-158
22,0.89412751016975678,0.0,0.78080595581707224,0.0,0.79805605031948978,1.9254343321499958e-308,0.79373421330171123,6.3204488291612015e-153
24,0.88784582802739398,0.0,0.77625464196880001,0.0,0.78765941115775973,1.63000011720115e-300,0.791315853632377,5.2342881170300275e-152
26,0.88126537446504793,0.0,0.76883220177556899,0.0,0.78784920781426426,1.1705604705482768e-300,0.79267214658331453,1.600650631376651e-152
28,0.87555946008366092,0.0,0.76630474753872013,0.0,0.77673327746365473,2.7022676066411555e-292,0.78736230102477245,1.6359645306399242e-150
30,0.86919288654464311,0.0,0.75391834427704874,0.0,0.76376248625552579,1.0979852668433457e-282,0.80422034259634201,6.1299935874361198e-157
32,0.86459765745981365,0.0,0.7375255612339745,0.0,0.7322077701452262,5.5205991289728576e-260,0.70752188871518462,6.3887540989793149e-122
34,0.85995657101738154,0.0,0.73518875285846241,0.0,0.73073757975005249,5.9754770999286906e-259,0.71804283184424589,1.6289251936658365e-125
36,0.85348018183381691,0.0,0.71935520959460686,0.0,0.70494787963493122,3.8351463954069757e-241,0.71789808311210779,1.8268372196146864e-125
38,0.84908965891419319,0.0,0.72025366813292491,0.0,0.70335438224829927,4.6038307983999713e-240,0.68942686946675014,7.2828267998141262e-116
40,0.84544722691128182,0.0,0.70612279084559981,0.0,0.69141184172992376,4.7277688154809973e-232,0.67884449032119198,2.1481160905246506e-112
42,0.84100346412780902,0.0,0.69159318858255348,0.0,0.69125030979799673,6.054519872277031e-232,0.67777323741526352,4.7898384463160378e-112
44,0.83680320480997383,0.0,0.67981039285359313,0.0,0.68649347985367548,8.5956683819595602e-229,0.6734105548225201,1.2386976644125943e-110
46,0.83255381127690886,0.0,0.6648572502238107,0.0,0.62927194275528953,1.414842853422948e-192,0.57937046984226337,2.1622031750260572e-82
48,0.82879038369496338,0.0,0.6521739793427761,0.0,0.63030896073121045,3.3291273349081435e-193,0.57516796393553715,3.1512224438667857e-81
0,1.0000000000000002,0.0,0.99999999999999978,0.0,0.99999999999999978,0.0,0.99999999999999978,1.627097650612626e-241
2,0.98720018141714905,0.0,0.95891293763247998,0.0,0.98151504493823716,0.0,0.99999999999999978,1.627097650612626e-241
4,0.97314604234891433,0.0,0.92217200453379022,0.0,0.93816682710468136,0.0,0.89031160931253028,7.1179501998819093e-192
6,0.96092343858398133,0.0,0.89046892874708061,0.0,0.91291987993904566,0.0,0.88856461172612866,3.9488461236767416e-191
8,0.95032202517063769,0.0,0.87479152313199138,0.0,0.88578137437464977,0.0,0.86347340118988314,1.3272038832465785e-180
10,0.94055592544515665,0.0,0.85499129440653787,0.0,0.85977944264585082,0.0,0.83749015789281644,5.0889174921361353e-170
12,0.9313861255696495,0.0,0.84413156898703356,0.0,0.85514817736561621,0.0,0.83749015789281644,5.0889174921361353e-170
14,0.92332471666447469,0.0,0.83731631557225572,0.0,0.84332921701242192,0.0,0.81555872706566002,2.4484591015736469e-161
16,0.9157478750405148,0.0,0.82576773153696847,0.0,0.82899287260004906,0.0,0.8098200476267402,4.1957359691001842e-159
18,0.9102188965316228,0.0,0.81643304790990689,0.0,0.8243541207223698,0.0,0.80616625560440391,1.0887687090596907e-157
20,0.90265578998937412,0.0,0.79595555094599946,0.0,0.812102681210359,0.0,0.80265112581111286,2.4625100704138717e-156
22,0.89536643276379813,0.0,0.79688561254279078,0.0,0.81648865109851965,0.0,0.79273962026331557,1.5089502183974936e-152
24,0.88820412536916138,0.0,0.79124533730859081,0.0,0.81260804955262145,0.0,0.79368108079918387,6.62139103213688e-153
26,0.88215358304063451,0.0,0.78805721296953524,0.0,0.81012990407561225,0.0,0.79195526926119697,2.9948879179705727e-152
28,0.87572810213153351,0.0,0.78049558432816446,0.0,0.79069415242311425,8.1070089809619528e-303,0.78978752831596555,1.9844163425213425e-151
30,0.86962656830973417,0.0,0.77278724291634804,0.0,0.78707900082847448,4.4843920284619581e-300,0.78463961160008799,1.7335458450306429e-149
32,0.86375887254315631,0.0,0.75702984045276911,0.0,0.78785438358918336,1.1600376846723748e-300,0.77270351238601509,4.913525031523027e-145
34,0.85881068889591139,0.0,0.73886322569100149,0.0,0.73575977587965469,1.7152435478368156e-262,0.72568288824640348,3.7089397555736288e-128
36,0.85448926095452771,0.0,0.7242187068952608,0.0,0.7148251253579383,6.9047383579538005e-248,0.72573481543686114,3.5578947654331235e-128
38,0.85055239229670532,0.0,0.71608983889554789,0.0,0.70206085398182194,3.4473328073681857e-239,0.72559238118083047,3.9876661391849797e-128
40,0.84549563585922227,0.0,0.70855014742381339,0.0,0.69424860731496518,6.081918295318046e-234,0.72094131594274324,1.6315994766784345e-126
42,0.84075375091876869,0.0,0.70672213364824743,0.0,0.69090640830636874,1.0249456864314954e-231,0.68806197435940075,2.0550668063939813e-115
44,0.83749405926107157,0.0,0.6856699728533433,0.0,0.68240932244832797,4.2013288198894975e-226,0.68582925450000409,1.1165724552669417e-114
46,0.83341619992566918,0.0,0.67782296956414512,0.0,0.67519370054575167,2.1636316135596919e-221,0.68367896659131167,5.6696943019153383e-114
48,0.8293418874838745,0.0,0.66274039001320662,0.0,0.66270088928095228,2.3702106902994382e-213,0.63018110476243849,3.9782217667423246e-97
0,1.0000000000000002,0.0,0.99999999999999978,0.0,0.99999999999999978,0.0,0.99999999999999978,1.627097650612626e-241
2,0.98726211454569879,0.0,0.97397900506890822,0.0,0.96712261063426319,0.0,0.93917832775225285,2.800248896208771e-213
4,0.97437017589170305,0.0,0.92464251384942986,0.0,0.94424511194198568,0.0,0.91578098508889993,6.8919013635914381e-203
6,0.96330704238966558,0.0,0.8998449133903037,0.0,0.91350179511013252,0.0,0.90830833272732769,1.264599774324484e-199
8,0.95182236737307313,0.0,0.87082038605104917,0.0,0.90250666536482183,0.0,0.90463141121883273,4.9890901325260432e-198
10,0.94225345795077986,0.0,0.85279725478615342,0.0,0.86968809475487563,0.0,0.85712828118813722,5.4606470726825641e-178
12,0.93337972638365863,0.0,0.83627578811729497,0.0,0.83672759450333078,0.0,0.84939791930572828,7.8759705337675839e-175
14,0.92443499108725535,0.0,0.82315894924556066,0.0,0.8314864206463346,0.0,0.8140609533126768,9.4070501530901537e-161
16,0.91708533827482119,0.0,0.81013066920483079,0.0,0.82786429646434601,0.0,0.81276254151838112,3.015356545573057e-160
18,0.90859394598960974,0.0,0.80321573099827093,0.0,0.8236030924349057,0.0,0.81147307589047479,9.5706465612049837e-160
20,0.90312219068220112,0.0,0.79691759993463585,0.0,0.81099485598141297,0.0,0.80516067046117135,2.6607758617622066e-157
22,0.89662687669658037,0.0,0.79520589418461884,0.0,0.80118146682343183,0.0,0.78328270342301398,5.6043282790265371e-149
24,0.88924981893312882,0.0,0.78322182046054412,0.0,0.81523930797965127,0.0,0.80319867145602519,1.5163063930714361e-156
26,0.88329796757169787,0.0,0.77684260725225773,0.0,0.81847329183872197,0.0,0.83584082140244198,2.331089294010266e-169
