core_number,change_0,change_2,change_4,change_6,change_8,change_10,change_12,change_14,change_16,change_18,change_20,change_22,change_24,change_26,change_28,change_30,change_32,change_34,change_36,change_38,change_40,change_42,change_44,change_46,change_48
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,812.0,757.89999999999998,686.89999999999998,632.20000000000005,574.10000000000002,523.0,484.60000000000002,431.10000000000002,391.69999999999999,345.69999999999999,311.0,274.69999999999999,245.80000000000001,220.59999999999999,198.09999999999999,178.59999999999999,162.19999999999999,143.90000000000001,128.59999999999999,114.90000000000001,101.7,94.0,87.0,79.099999999999994,70.700000000000003
6,564.0,588.60000000000002,640.39999999999998,658.20000000000005,694.89999999999998,714.29999999999995,696.60000000000002,704.89999999999998,681.89999999999998,671.79999999999995,630.89999999999998,604.79999999999995,575.60000000000002,549.89999999999998,522.39999999999998,492.89999999999998,455.69999999999999,434.10000000000002,401.89999999999998,367.80000000000001,338.0,309.5,284.10000000000002,261.69999999999999,239.09999999999999
7,314.0,302.69999999999999,303.39999999999998,321.69999999999999,329.30000000000001,345.5,392.30000000000001,414.89999999999998,467.30000000000001,505.60000000000002,563.10000000000002,597.70000000000005,631.10000000000002,657.60000000000002,677.10000000000002,673.0,688.39999999999998,637.20000000000005,624.10000000000002,607.60000000000002,588.60000000000002,568.39999999999998,525.79999999999995,491.0,465.30000000000001
8,179.0,219.80000000000001,238.30000000000001,256.89999999999998,270.69999999999999,286.19999999999999,295.5,313.69999999999999,323.69999999999999,341.5,357.30000000000001,374.0,383.5,395.69999999999999,407.60000000000002,447.60000000000002,435.60000000000002,503.10000000000002,544.5,595.39999999999998,616.29999999999995,656.20000000000005,704.79999999999995,750.70000000000005,775.89999999999998
9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,14.4,14.4,14.4,16.699999999999999,27.800000000000001,43.0,55.200000000000003,73.799999999999997,86.900000000000006,137.09999999999999,160.69999999999999,179.90000000000001,193.30000000000001,234.40000000000001,250.90000000000001,277.30000000000001,296.5,328.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
