change,correlation_100,std_100,correlation_20,std_20,correlation_10,std_10,correlation_5,std_5
0,1.0000000000000002,0.0,0.99999999999999978,0.0,0.99999999999999978,0.0,0.99999999999999978,0.0
2,0.98611138951755506,0.00072585593855875748,0.96059606904678696,0.0081251190394081782,0.95548958183724353,0.021169735347520879,0.93872731713581281,0.032601814780962614
4,0.97283495389246311,0.0007052763289760438,0.9248768054170371,0.010319723923561864,0.93412836171506264,0.017120905702536302,0.91188800056592856,0.017299114061803421
6,0.96121895662447887,0.0011505495526213233,0.89720852652556149,0.010741092884355773,0.90531363358012951,0.016729699108829248,0.88840787946589594,0.018711186996124573
8,0.95086591638778817,0.00058745921994274753,0.8752392578709054,0.0073930839191250616,0.88957148545770992,0.010709333033882405,0.87137612974739087,0.016268178441080815
10,0.9411576731820166,0.0011513987610984333,0.85737638763153667,0.0051844156588766767,0.87189673141480206,0.011790928180156996,0.8548897581053424,0.014860913917494278
12,0.93199459355777337,0.0016097681104604868,0.84429409815373013,0.0036951969933067584,0.84982290979120001,0.0077310543434162479,0.84475727350546959,0.015761388334894908
14,0.92371542709382815,0.0016208163736351031,0.83084269295938074,0.0059559468157383598,0.83473098636086918,0.0066426476753456811,0.82455596434404677,0.0087911706292014835
16,0.91592569204764696,0.0015673148009453619,0.82091853017152638,0.007165570622189265,0.82222850865859698,0.0061055011669866157,0.81779479507408759,0.0093400959723010796
18,0.90902160822407863,0.0016279966390036137,0.81180739818858727,0.0082795819508491679,0.81365244198625031,0.0072244091940076478,0.80595576687201276,0.010319496730950183
20,0.90202691667109425,0.0015672434199121533,0.79877510705130184,0.0065313345422662508,0.80598639891347879,0.0068307503193702768,0.79691289786580743,0.011151530156864136
22,0.89505735428964606,0.0021053523839484698,0.78903546137333069,0.0086246977686078811,0.79900021446067415,0.013042445338840792,0.78995568158634266,0.011086877055177823
24,0.88870629933162382,0.0016267824983402319,0.77798357614154479,0.0088782289768724459,0.79344983303508676,0.017077683873314955,0.78662822158541779,0.012569880654818053
26,0.88252927342554544,0.00163953467274084,0.7703109669223438,0.012168261180108031,0.79144203204771746,0.023890289995882788,0.78898738283207737,0.019510007495535088
28,0.87677585597641472,0.0020444296405992043,0.76278857657211552,0.010869508250737268,0.7821107895561944,0.022885308208128122,0.78873738089193879,0.019289792186686101
30,0.87092346621727401,0.0015540800869737054,0.75036592174357897,0.012149657981438713,0.76643545275777614,0.022850379229662564,0.78903052798104301,0.020297517595238804
32,0.86552899514934523,0.0015617992231663767,0.73739757915841597,0.010622644110259868,0.74805472112455218,0.021327498752752045,0.76434374331385713,0.038646546338278367
34,0.86044186493003993,0.0017777222236419862,0.72743868284404534,0.010628438765754384,0.72183839078562451,0.02197445787693331,0.75561703138179948,0.040581110468256527
36,0.85552343585217083,0.001758462713598563,0.71761166607835025,0.0099271371842762721,0.70787473014065783,0.015366139879741702,0.75025340925910877,0.045092871743628568
38,0.85097779240252047,0.0019383236715797651,0.70745621019265337,0.0071473095477254745,0.69684824664282141,0.0084598281953841142,0.74321410067599836,0.045986521962429805
40,0.84687528204211371,0.0019007532244988603,0.70115206621433057,0.0067404625433932766,0.68324166629182348,0.0095923688770711366,0.69769070255558074,0.018915269153999627
42,0.84240189652103692,0.0018750471068467026,0.69294157388480848,0.0082670226831565632,0.67789658181602908,0.0087967483795827854,0.67949517665973191,0.013778990766937024
44,0.83834221279243448,0.0015544241964666652,0.68261582541574917,0.0082405036576234623,0.67423449449959971,0.0095891290587689325,0.66247687501943309,0.019904859838728323
46,0.83448349663628962,0.0016274739439895505,0.67305009902252777,0.0077142728414300345,0.66661452094343987,0.015559502037010378,0.64703541281242427,0.027896751700258304
48,0.83104175562327354,0.0021604439307829045,0.66483141716878225,0.0099600062557057695,0.65751112777407161,0.013677066447403271,0.62061441342776036,0.022660415263362807
