missing,correlation,pvalue,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,1.0000000000000002,0.0,1.0,0.0,0.99999999999999978,0.0,1.0000000000000002,2.4034093344210247e-293
2,0.98381918564051452,0.0,0.92105967649483922,0.0,0.91913266359135271,0.0,0.92232721287982866,4.8225461205274343e-244
4,0.96851795094136828,0.0,0.90164516331360256,0.0,0.8626517648247638,0.0,0.86879495237377391,1.3160588196648906e-211
6,0.95788104988339051,0.0,0.87969128087567428,0.0,0.82942300495339205,0.0,0.80102798699980049,5.3449849200575197e-178
8,0.94311602903798986,0.0,0.84424907660577453,0.0,0.76926632543249929,0.0,0.75983082787834855,2.9358003784232833e-157
10,0.92997587584867314,0.0,0.82060306426336938,0.0,0.7405522119085185,1.6067212430118738e-282,0.7833907402118967,3.9443599083868217e-163
12,0.91661385672123696,0.0,0.79671130821210812,0.0,0.73307272733243189,7.6598017002227236e-271,0.75855587422529358,1.0626813014034956e-149
14,0.9019720723003104,0.0,0.77285179590046627,0.0,0.75186387598796889,2.1430930014227685e-275,0.74887187718802639,5.1567582947484977e-141
16,0.88920623443823821,0.0,0.7577723305955083,0.0,0.75175045198405344,0.0,0.68754741055790125,6.1412560515723506e-116
18,0.87771759241154834,0.0,0.74574562845228698,0.0,0.75714008342192074,0.0,0.73916516300905077,6.9392148292218958e-253
20,0.86218291759661136,0.0,0.71486797641184385,0.0,0.72366498118712508,0.0,0.70544216896819456,5.5528317436173981e-223
22,0.84905492390514858,0.0,0.71068928791546659,0.0,0.72665396589181452,0.0,0.72109381226213298,1.5572470304746885e-226
24,0.83897446731452607,0.0,0.71384437315974403,0.0,0.7241440140490002,0.0,0.72937934680256633,1.6176769878109314e-226
26,0.82692495185964687,0.0,0.69333472397884621,0.0,0.69260156419278562,0.0,0.70948557925118982,2.7423609732731563e-208
28,0.81244085429011736,0.0,0.67554608688319462,0.0,0.6788447177321898,0.0,0.69918949584825218,1.3120689991598665e-196
30,0.79604358182690693,0.0,0.65464228857281659,0.0,0.65059388648342231,7.5981943219664654e-299,0.6993469952204171,1.1324904060537178e-191
32,0.78360250948550436,0.0,0.63728440747703607,0.0,0.64866757211373405,1.8866205777075176e-288,0.69117973375889352,2.3115063093656077e-182
34,0.77230274729877058,0.0,0.63638736187346223,0.0,0.64724115257152992,2.319720664014628e-277,0.67535423543660289,1.6271044409958388e-169
36,0.76271327043000903,0.0,0.63411236062402132,0.0,0.63402271238940577,1.4954825907860342e-259,0.64686177697982061,5.362628227569543e-152
38,0.75043209992114857,0.0,0.62047866001001939,0.0,0.63959947576947407,1.0674509441716213e-255,0.66581799558926913,2.8215555241927276e-155
40,0.73747825142720869,0.0,0.64482725552644338,0.0,0.63621603325388476,6.5954714131943925e-245,0.66050446657743711,3.8261092324522731e-148
42,0.72396742416325766,0.0,0.63167986371314189,0.0,0.64021966409341879,5.9719539522777886e-238,0.66427561918345401,9.0148909047967854e-144
44,0.71183233612545227,0.0,0.62400445983162922,0.0,0.62305855018415324,6.9780057758641775e-218,0.6545152614230979,5.03627554647505e-135
46,0.7006878218241881,0.0,0.61424328543809137,0.0,0.61527561434715028,2.0458045555319237e-206,0.64258776348557167,2.2179842596590697e-126
48,0.68857430988624291,0.0,0.60026900938998795,0.0,0.57863261129233579,1.9716484600509382e-175,0.59950705355094125,2.4821879876960639e-105
0,1.0000000000000002,0.0,1.0,0.0,0.99999999999999978,0.0,1.0000000000000002,2.4034093344210247e-293
2,0.9842255812970585,0.0,0.95308856091383354,0.0,0.94438782014809219,0.0,0.94938453889400654,1.9144462682613492e-258
