missing,correlation,pvalue,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,1.0,0.0,0.99999999999999978,0.0,0.99999999999999978,0.0,0.99999999999999989,0.0
2,0.95277852342588509,0.0,0.89689747177983481,0.0,0.88311443131616763,0.0,0.99145633271455058,0.0
4,0.91705996971335058,0.0,0.83815072451319905,0.0,0.83718853110607383,0.0,0.9541309636694163,0.0
6,0.8791166785159672,0.0,0.78614081206464514,0.0,0.78944530732158402,0.0,0.92685424996894583,0.0
8,0.84175848387800911,0.0,0.74001761757022522,0.0,0.75965674716680487,0.0,0.89902240079286388,0.0
10,0.81225403775029337,0.0,0.71444828728110477,0.0,0.75122675333244893,0.0,0.92721393773465022,0.0
12,0.78759395544281752,0.0,0.69111493967378279,0.0,0.74216749818292127,0.0,0.93756907112014232,0.0
14,0.76634558208564219,0.0,0.67640654807721967,0.0,0.74820648957070635,0.0,0.89847987188781508,0.0
16,0.74059001070679786,0.0,0.63436283888305867,0.0,0.70459884993369626,0.0,0.89267198505911305,0.0
18,0.71433938941429309,0.0,0.62607670830508944,0.0,0.67318075895696294,0.0,0.80276405577485244,0.0
20,0.69313528607465624,0.0,0.61142079314631692,0.0,0.6648957003814745,0.0,0.69904409595482542,0.0
22,0.66995149473512794,0.0,0.61231405004475015,0.0,0.67197459495126322,0.0,0.70977712321944042,0.0
24,0.65365602387043487,0.0,0.6112707881397994,0.0,0.67624470879689325,0.0,0.71950281689699047,0.0
26,0.63733080604646364,0.0,0.59745629631633923,0.0,0.66610597556529727,0.0,0.70445540162000686,0.0
28,0.62176718808404641,0.0,0.56782078250789658,0.0,0.65134124114831426,0.0,0.71685490435753663,0.0
30,0.60628955962443276,0.0,0.56189447449013941,0.0,0.65109520223495321,0.0,0.73464728769653043,0.0
32,0.5863688808173112,0.0,0.54319019120950729,0.0,0.58534563712545151,0.0,0.74012610801915057,0.0
34,0.57521590293335767,0.0,0.54105312297248365,0.0,0.58632946011140319,0.0,0.73631440130174741,0.0
36,0.55856765248599538,0.0,0.53146731965625205,0.0,0.5747957855824628,0.0,0.73614922038981234,0.0
38,0.54629577652079531,0.0,0.52199754253169262,0.0,0.56460016779713085,0.0,0.71501917537424109,0.0
40,0.54039862403016536,0.0,0.5214573392538685,0.0,0.57148970220135942,0.0,0.72105416591171412,0.0
42,0.51643387438093191,0.0,0.49973156138441588,0.0,0.56410570208054545,0.0,0.62836977380858883,0.0
44,0.50179554003352955,0.0,0.49014033583374955,0.0,0.56305317942958721,0.0,0.64676746487600889,0.0
46,0.5051367641046931,0.0,0.4995440074019053,0.0,0.5626332748422187,0.0,0.62349921757740667,0.0
48,0.50785618475284455,0.0,0.50785618475284455,0.0,0.56894310899995548,0.0,0.61544503915804427,0.0
0,1.0,0.0,0.99999999999999978,0.0,0.99999999999999978,0.0,0.99999999999999989,0.0
2,0.95625257642962114,0.0,0.90094022025087006,0.0,0.91162985755393711,0.0,0.98602561240259545,0.0
4,0.9184317557011733,0.0,0.83283013155727814,0.0,0.84853252222643394,0.0,0.98365271375166607,0.0
6,0.87992216441740256,0.0,0.78262407205075024,0.0,0.8015544039586332,0.0,0.95363906038019164,0.0
8,0.8462912025817757,0.0,0.74912327841175252,0.0,0.79015669904811481,0.0,0.91767309310465084,0.0
10,0.81384894678447561,0.0,0.71349392642476173,0.0,0.75543927680604628,0.0,0.90098810105638016,0.0
12,0.78672760304381695,0.0,0.70508205304163107,0.0,0.76263573265756623,0.0,0.91260559953475218,0.0
14,0.75571982016713224,0.0,0.67559953930373517,0.0,0.74795754501184153,0.0,0.91160887044624472,0.0
16,0.7302619524010836,0.0,0.64651773829208703,0.0,0.72880129295500284,0.0,0.94305266667460375,0.0
18,0.71103816710003398,0.0,0.63052105125144242,0.0,0.72290028868178502,0.0,0.83136362679012243,0.0
20,0.69772862643384048,0.0,0.63696437533554917,0.0,0.71316745054623953,0.0,0.80399941996477042,0.0
22,0.67444919990690089,0.0,0.62093183016111297,0.0,0.7040198906863282,0.0,0.80608895775191902,0.0
24,0.65040757254065962,0.0,0.62423824804953887,0.0,0.69214248437627257,0.0,0.81152619437321882,0.0
26,0.63434021910720884,0.0,0.60600807949761282,0.0,0.66537463355849902,0.0,0.79167956602534828,0.0
28,0.62056358257365463,0.0,0.56629268098877117,0.0,0.68491381540920415,0.0,0.82132299923846974,0.0
30,0.6075906341126226,0.0,0.55974029928533364,0.0,0.67981430247081964,0.0,0.82020691676525015,0.0
32,0.58393490040872342,0.0,0.543076815526505,0.0,0.68052551969478914,0.0,0.81461277133326482,0.0
