change,correlation_100,pvalue_100,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,1.0,0.0,1.0,0.0,1.0000000000000002,0.0,1.0,0.0
2,0.99769495075827308,0.0,0.99846510201799155,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
4,0.99752615127882471,0.0,0.99846510201799155,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
6,0.99752615127882471,0.0,0.99846510201799155,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
8,0.99752615127882471,0.0,0.99846510201799155,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
10,0.99752615127882471,0.0,0.99846510201799155,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
12,0.99744551112115487,0.0,0.99846510201799155,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
14,0.99736499472517692,0.0,0.99846510201799155,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
16,0.99736499472517692,0.0,0.99846510201799155,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
18,0.99730556142641202,0.0,0.99846510201799155,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
20,0.99730556142641202,0.0,0.99846510201799155,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
22,0.99730556142641202,0.0,0.99846510201799155,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
24,0.99721769509072411,0.0,0.99846510201799155,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
26,0.99683927346477541,0.0,0.99768285908159238,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
28,0.99681003279422575,0.0,0.99768285908159238,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
30,0.9966562732538069,0.0,0.99779466645790471,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
32,0.9966562732538069,0.0,0.99779466645790471,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
34,0.9966562732538069,0.0,0.99779466645790471,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
36,0.99661608404981461,0.0,0.99779466645790471,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
38,0.99644817329681812,0.0,0.99779466645790471,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
40,0.99632770069473908,0.0,0.99779466645790471,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
42,0.99632770069473908,0.0,0.99779466645790471,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
44,0.99628755421230264,0.0,0.99779466645790471,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
46,0.99628755421230264,0.0,0.99779466645790471,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
48,0.99620727782069973,0.0,0.99779466645790471,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
0,1.0,0.0,1.0,0.0,1.0000000000000002,0.0,1.0,0.0
2,0.99773529979904019,0.0,0.99846510201799155,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
4,0.99764715307957386,0.0,0.99846510201799155,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
6,0.99767600681603708,0.0,0.99857752390223808,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
8,0.99767600681603708,0.0,0.99857752390223808,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
10,0.99759535233187402,0.0,0.99857752390223808,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
12,0.99751472001909358,0.0,0.99857752390223808,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
14,0.99751472001909358,0.0,0.99857752390223808,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
16,0.99747441217524258,0.0,0.99857752390223808,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
18,0.99739343848825446,0.0,0.99857752390223808,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
20,0.99739343848825446,0.0,0.99857752390223808,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
22,0.99727261446410265,0.0,0.99857752390223808,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
24,0.99688114932352867,0.0,0.99857752390223808,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
26,0.99680073361591504,0.0,0.99857752390223808,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
28,0.99676053405559384,0.0,0.99857752390223808,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
30,0.99676053405559384,0.0,0.99857752390223808,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
32,0.99672034002334842,0.0,0.99857752390223808,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
34,0.99626729320731555,0.0,0.99857752390223808,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
36,0.99626729320731555,0.0,0.99857752390223808,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
38,0.99618702963041805,0.0,0.99857752390223808,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
40,0.99607029706559702,0.0,0.99857752390223808,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
42,0.99607044234726361,0.0,0.99857752390223808,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
44,0.99607044234726361,0.0,0.99857752390223808,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
46,0.99595012807409544,0.0,0.99857752390223808,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
48,0.99574971468194595,0.0,0.99857752390223808,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
0,1.0,0.0,1.0,0.0,1.0000000000000002,0.0,1.0,0.0
2,0.99773075712643422,0.0,0.9980735878378284,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
4,0.9974959198615222,0.0,0.9980735878378284,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
6,0.99725401985917062,0.0,0.9980735878378284,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
8,0.99722471206434415,0.0,0.9980735878378284,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
10,0.99722471206434415,0.0,0.9980735878378284,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
12,0.99710754247749955,0.0,0.9980735878378284,0.0,0.99986556710455943,0.0,1.0000000000000002,0.0
14,0.99704648792858663,0.0,0.9970576708082789,0.0,0.99595698719321768,0.0,1.0000000000000002,0.0
16,0.99688540091540023,0.0,0.9970576708082789,0.0,0.99595698719321768,0.0,1.0000000000000002,0.0
18,0.99688540091540023,0.0,0.9970576708082789,0.0,0.99595698719321768,0.0,1.0000000000000002,0.0
20,0.99672440248518823,0.0,0.9970576708082789,0.0,0.99595698719321768,0.0,1.0000000000000002,0.0
22,0.99659644555766935,0.0,0.9970576708082789,0.0,0.99595698719321768,0.0,1.0000000000000002,0.0
