missing,correlation,pvalue,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,1.0,0.0,0.99999999999999978,0.0,0.99999999999999978,0.0,0.99999999999999989,0.0
2,0.98677768484881934,0.0,0.97458368604855794,0.0,0.97851602699999563,0.0,0.99999999999999989,0.0
4,0.96439284819549076,0.0,0.93619815280261254,0.0,0.9503411096921609,0.0,0.99596202671288614,0.0
6,0.95005886388104877,0.0,0.91334578390637267,0.0,0.9279734228547698,0.0,0.97794618071451878,0.0
8,0.92481052972995204,0.0,0.85963159403498812,0.0,0.88738272275565588,0.0,0.97250393316243078,0.0
10,0.91207835584127184,0.0,0.84060576044915203,0.0,0.87581302302657926,0.0,0.93176505588190617,0.0
12,0.89141342018176994,0.0,0.81325194396442047,0.0,0.85812783730062103,0.0,0.9235535623829414,0.0
14,0.87715954003116803,0.0,0.79988868409921088,0.0,0.84313511531170282,0.0,0.9065936197781701,0.0
16,0.86457494465948381,0.0,0.79859003303247522,0.0,0.83554295470636886,0.0,0.89882085695939617,0.0
18,0.84400757033647245,0.0,0.77010396497032607,0.0,0.76318113947724864,0.0,0.8932118156267872,0.0
20,0.83213470114177346,0.0,0.75687063167167612,0.0,0.75858633769256933,0.0,0.90075454861955073,0.0
22,0.81918599609835474,0.0,0.74173173565922823,0.0,0.74046088529107035,0.0,0.88407259198832011,0.0
24,0.80731307718755285,0.0,0.72999207548575051,0.0,0.74013865422416469,0.0,0.79194519167089328,0.0
26,0.78338121147420436,0.0,0.69932776418462916,0.0,0.70970812138637251,0.0,0.76223937082490223,0.0
28,0.76389195774144014,0.0,0.67760998990673149,0.0,0.68378120914257612,0.0,0.72514998165409661,0.0
30,0.75278921754351757,0.0,0.66718930721472958,0.0,0.68136827252344456,0.0,0.72500114636702129,0.0
32,0.74678998891980586,0.0,0.66499115509377937,0.0,0.67844302495858144,0.0,0.73607788052877443,0.0
34,0.73399324241847497,0.0,0.65435006937562679,0.0,0.68161367900248415,0.0,0.74256744187959922,0.0
36,0.72293941405062068,0.0,0.72293941405062068,0.0,0.65733980335650355,0.0,0.7404245505838194,0.0
38,0.71333147125823904,0.0,0.71333147125823904,0.0,0.63230487635762633,0.0,0.7634869325422825,0.0
40,0.69910903355188747,0.0,0.69910903355188747,0.0,0.61899639269818485,0.0,0.63709373858793616,0.0
42,0.68966461080884733,0.0,0.68966461080884733,0.0,0.60879545041986416,0.0,0.63831375397189372,0.0
44,0.67355563778267757,0.0,0.67355563778267757,0.0,0.58935113208263501,0.0,0.62470062318024555,0.0
46,0.66493539446090355,0.0,0.66493539446090355,0.0,0.66493539446090355,0.0,0.58259578281559365,0.0
48,0.67000903080972773,0.0,0.67000903080972773,0.0,0.67000903080972773,0.0,0.59869428445930262,0.0
0,1.0,0.0,0.99999999999999978,0.0,0.99999999999999978,0.0,0.99999999999999989,0.0
2,0.98467529924148245,0.0,0.9636114543786104,0.0,0.96424859944457375,0.0,0.99999999999999989,0.0
4,0.97423339059558722,0.0,0.94061307989781662,0.0,0.94665690433897531,0.0,0.99179345051021006,0.0
6,0.95523494832955447,0.0,0.89912334436045716,0.0,0.91335193681649751,0.0,0.98035898799440035,0.0
8,0.93506404007040955,0.0,0.86598750168641114,0.0,0.89889837396699024,0.0,0.97618724580926475,0.0
10,0.9176658551523369,0.0,0.84552052189326932,0.0,0.88567666944116341,0.0,0.93812407204271131,0.0
12,0.90736144994643364,0.0,0.84098529044009163,0.0,0.88596030788599622,0.0,0.93806859745064408,0.0
14,0.89383990831208093,0.0,0.82781145116095967,0.0,0.87331769264083769,0.0,0.93460170361874528,0.0
16,0.87882988598040257,0.0,0.80728747456058314,0.0,0.87377070326313888,0.0,0.93821409903143238,0.0
18,0.8648494383634362,0.0,0.79707590274194506,0.0,0.86646236181165648,0.0,0.93757166746899767,0.0
