change,correlation_100,pvalue_100,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,1.0,0,1.0,0,1.0,0,1.0,0
2,0.969748770109086,0,0.922160688421232,0,0.9163951853502966,0,1.0,0
4,0.943334881022147,0,0.8224588906875693,0,0.8074140118651624,0,0.7201101928374656,0
6,0.9291390386823661,0,0.8329726505921445,0,0.801790062069202,0,0.7201101928374656,0
8,0.9134360836401177,0,0.7909516912328534,0,0.7561126161654265,0,0.7201101928374656,0
10,0.9015797439415518,0,0.7771662264633211,0,0.7510373443983402,0,0.6917355371900826,0
12,0.8936604463488166,0,0.790304166311664,0,0.7720242790027777,0,0.6917355371900826,0
14,0.8836868382108717,0,0.7802334497742183,0,0.7611193031789033,0,0.6614325068870524,0
16,0.8744030239636716,0,0.7625117150890347,0,0.779637186653407,0,0.7771349862258953,0
18,0.8656559737020426,0,0.7471585584050439,0,0.7308734268372141,0,0.6567493112947659,0
20,0.8579998411735075,0,0.7446706994973161,0,0.7105037550152601,0,0.568870523415978,0
22,0.8525475711429653,0,0.7405640282866149,0,0.6995987791913858,0,0.540495867768595,0
24,0.8431582590065925,0,0.7128908579705205,0,0.7017934913068825,0,0.540495867768595,0
26,0.8363832077502691,0,0.6913180540172106,0,0.633757415726484,0,0.4022038567493113,0
28,0.8345769911422349,0,0.7115787679986368,0,0.7167449675937039,0,0.6853994490358126,0
30,0.8286517195866105,0,0.6987986708698987,0,0.7410239703713865,0,0.6264462809917355,0
32,0.8230846771271881,0,0.6887961148504729,0,0.630739686567676,0,0.6845730027548209,0
34,0.8193945696410695,0,0.6830024708187782,0,0.6319056273790337,0,0.6845730027548209,0
36,0.8158018448218796,0,0.6878759478572037,0,0.6850588114262199,0,0.5691460055096419,0
38,0.8095797879956155,0,0.6742097639942064,0,0.6485031377524776,0,0.5407713498622589,0
40,0.8046434142363025,0,0.6537275283292153,0,0.5470662871643633,0,0.25041322314049586,0
42,0.7992653405234202,0,0.6072079747806083,0,0.3821885394876719,0,0.1696969696969697,0
