core_number,change_0,change_2,change_4,change_6,change_8,change_10,change_12,change_14,change_16,change_18,change_20,change_22,change_24,change_26,change_28,change_30,change_32,change_34,change_36,change_38,change_40,change_42,change_44,change_46,change_48,change_50,change_52,change_54,change_56,change_58,change_60,change_62,change_64,change_66,change_68,change_70,change_72,change_74,change_76,change_78,change_80,change_82,change_84,change_86,change_88
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,242.0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.666666666666664,242.0,242.0,242.0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,24.0,208.0,242.0,232.44444444444446,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,17.111111111111111,42.399999999999999,155.09999999999999,238.69999999999999,218.0,170.0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4,29.800000000000001,52.399999999999999,123.7,226.59999999999999,199.59999999999999,173.80000000000001,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,14.666666666666666,39.700000000000003,59.799999999999997,100.40000000000001,198.90000000000001,189.59999999999999,167.71428571428572,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,8.5,21.5,42.0,59.100000000000001,82.799999999999997,188.80000000000001,182.19999999999999,169.25,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,11.9,25.600000000000001,48.600000000000001,58.0,60.200000000000003,138.30000000000001,182.19999999999999,162.22222222222223,135.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6666666666666661,17.300000000000001,34.600000000000001,51.600000000000001,56.0,57.100000000000001,117.90000000000001,177.19999999999999,160.30000000000001,154.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,2.2000000000000002,9.0,23.0,39.200000000000003,51.399999999999999,54.600000000000001,46.5,101.0,161.0,159.30000000000001,150.80000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,3.3999999999999999,13.111111111111111,27.699999999999999,42.299999999999997,51.5,45.299999999999997,41.399999999999999,66.799999999999997,86.799999999999997,160.90000000000001,147.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,1.5,6.5555555555555554,13.699999999999999,28.699999999999999,48.0,48.5,48.5,41.0,63.799999999999997,130.80000000000001,161.40000000000001,148.25,138.83333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1.0,5.5999999999999996,12.1,21.899999999999999,34.200000000000003,45.5,49.0,48.700000000000003,38.600000000000001,49.5,107.5,157.59999999999999,148.25,143.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15.0,29.800000000000001,41.299999999999997,51.200000000000003,48.700000000000003,37.700000000000003,31.5,79.099999999999994,153.69999999999999,146.88888888888889,145.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,63.0,51.200000000000003,38.799999999999997,23.100000000000001,59.600000000000001,139.0,147.80000000000001,142.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17.0,11.6,80.299999999999997,104.5,141.71428571428572,139.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,7.0,143.80000000000001,139.0,137.66666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
