core_number,change_0,change_2,change_4,change_6,change_8,change_10,change_12,change_14,change_16,change_18,change_20,change_22,change_24,change_26,change_28,change_30,change_32,change_34,change_36,change_38,change_40,change_42,change_44,change_46,change_48,change_50,change_52,change_54,change_56,change_58,change_60,change_62,change_64,change_66,change_68,change_70,change_72,change_74,change_76,change_78,change_80,change_82,change_84,change_86,change_88
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,23.571428571428573,36.799999999999997,61.100000000000001
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,11.285714285714286,27.699999999999999,50.0,56.200000000000003,58.200000000000003,47.222222222222221
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,22.800000000000001,26.111111111111111,46.0,52.600000000000001,55.600000000000001,52.888888888888886,48.875,36.600000000000001,30.5
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.333333333333334,15.4,31.571428571428573,43.888888888888886,61.100000000000001,60.600000000000001,49.111111111111114,43.777777777777779,47.833333333333336,47.25,46.0,38.5,43.0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,18.0,47.5,38.555555555555557,47.0,48.0,46.444444444444443,49.0,46.200000000000003,35.600000000000001,36.0,34.5,30.0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,25.5,28.0,73.599999999999994,50.777777777777779,41.0,45.777777777777779,53.625,49.857142857142854,43.333333333333336,36.333333333333336,37.333333333333336,32.666666666666664,23.5,21.0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,17.0,32.333333333333336,20.0,59.428571428571431,49.875,29.25,28.428571428571427,55.571428571428569,49.666666666666664,51.5,44.0,44.0,29.5,3.0,21.0,20.0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,25.5,32.200000000000003,33.0,47.0,41.555555555555557,37.857142857142854,53.714285714285715,64.428571428571431,57.0,55.666666666666664,35.666666666666664,28.0,28.0,28.0,23.0,23.0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,48.666666666666664,47.0,30.428571428571427,29.571428571428573,57.571428571428569,50.125,53.875,55.0,50.200000000000003,40.0,50.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,10.0,35.25,30.833333333333332,19.0,47.857142857142854,44.888888888888886,57.555555555555557,42.0,60.200000000000003,91.333333333333329,74.0,72.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,47.0,38.399999999999999,30.428571428571427,30.714285714285715,31.857142857142858,56.142857142857146,46.875,62.333333333333336,79.25,76.5,82.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,3.0,11.4,57.833333333333336,46.666666666666664,46.25,63.111111111111114,70.111111111111114,66.0,54.142857142857146,85.5,84.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,1.0,5.0,7.4000000000000004,27.142857142857142,45.555555555555557,52.375,82.857142857142861,74.666666666666671,77.25,111.5,101.0,98.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,1.0,10.0,6.0,31.800000000000001,86.857142857142861,92.111111111111114,97.875,106.14285714285714,110.0,104.5,99.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,5.0,120.0,95.0,101.83333333333333,95.0,94.400000000000006,76.333333333333329,115.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,121.0,119.33333333333333,97.0,120.8,117.40000000000001,119.0,115.0,115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,121.0,121.0,121.0,121.0,121.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,121.0,121.0,121.0,121.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,121.0,121.0,121.0,121.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
