change,correlation_100,pvalue_100,correlation_20,pvalue_20,correlation_10,pvalue_10,correlation_5,pvalue_5
0,1.0,0,1.0,0,1.0,0,1.0,0
2,0.9659455943120493,0,0.8781971542983726,0,0.8275093446726792,0,0.8099173553719008,0
4,0.9500632736569604,0,0.867104029990628,0,0.8562463564349645,0,0.9024793388429752,0
6,0.9095786972767732,0,0.7665502257817159,0,0.7297074860258564,0,0.6283746556473829,0
8,0.8865340476518231,0,0.7656982193064668,0,0.7228490106649292,0,0.7168044077134986,0
10,0.87585021169216,0,0.7636022833773537,0,0.7137958231885052,0,0.6573002754820937,0
12,0.8710646963377582,0,0.758950328022493,0,0.7113953568121807,0,0.6603305785123967,0
14,0.8607392625397005,0,0.7668739882423107,0,0.7589245910634066,0,0.7209366391184573,0
16,0.8434900725462762,0,0.7453352645480106,0,0.7076231953636707,0,0.5509641873278237,0
18,0.8360470003472031,0,0.7393371389622562,0,0.7074860258564521,0,0.6085399449035813,0
20,0.825772997147043,0,0.7176450541024112,0,0.7004903809883063,0,0.6732782369146005,0
22,0.8112446965490372,0,0.7337650166141263,0,0.7360172833579095,0,0.6666666666666666,0
24,0.8003263171543415,0,0.709193149867939,0,0.7146874249854257,0,0.6746556473829202,0
26,0.7900609058444185,0,0.6900911646928517,0,0.650629265114365,0,0.5787878787878787,0
28,0.7699449252557041,0,0.6586180454971458,0,0.5266280305888001,0,0.14490358126721764,0
30,0.7640376654975195,0,0.6610888642753685,0,0.5036521381296938,0,0.1650137741046832,0
32,0.7623074784542675,0,0.6666269063644884,0,0.5099619354617468,0,0.2022038567493113,0
34,0.7496568203772433,0,0.6806168526880805,0,0.5472034566715819,0,0.1881542699724518,0
36,0.743831884560218,0,0.691914458549885,0,0.6024141833270464,0,0.6209366391184573,0
38,0.7247482853720751,0,0.6343529010820482,0,0.47100579541168,0,0.10964187327823692,0
40,0.7315728982704006,0,0.6635596830535913,0,0.611124447035424,0,0.6523415977961432,0
42,0.7152302603204407,0,0.6275198091505495,0,0.43252974863687804,0,0.20110192837465565,0
44,0.7032359462266005,0,0.6180625372752833,0,0.4795103048592298,0,0.43553719008264463,0
46,0.6843109941701491,0,0.58379483684076,0,0.41682384006035456,0,0.39917355371900826,0
48,0.6673844099916104,0,0.589179517764335,0,0.41641233153869894,0,0.2798898071625344,0
50,0.6615611434187895,0,0.5946664394649399,0,0.469496930832276,0,0.38980716253443526,0
52,0.6368894702337822,0,0.5644542898526029,0,0.43335276568018927,0,0.25922865013774105,0
54,0.6350859229679687,0,0.5731617960296498,0,0.4577003532114811,0,0.3303030303030303,0
56,0.633797312674567,0,0.6154724375905257,0,0.46661637118068655,0,0.3867768595041322,0
58,0.6228161966402694,0,0.6020107352815881,0,0.479304550598402,0,0.33884297520661155,0
60,0.6027152861258992,0,0.5904575274772088,0,0.5382188539487672,0,0.3338842975206612,0
