core_number,change_0,change_2,change_4,change_6,change_8,change_10,change_12,change_14,change_16,change_18,change_20,change_22,change_24,change_26,change_28,change_30,change_32,change_34,change_36,change_38,change_40,change_42,change_44,change_46,change_48,change_50,change_52,change_54,change_56,change_58,change_60,change_62,change_64,change_66,change_68,change_70,change_72,change_74,change_76,change_78,change_80,change_82,change_84,change_86,change_88
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.5,934.70000000000005,1113.7,1156.0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.2,390.5,831.39999999999998,1009.4,1141.3,1056.5,737.66666666666663,423.0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,146.5,350.89999999999998,518.39999999999998,672.70000000000005,889.20000000000005,911.60000000000002,753.70000000000005,533.83333333333337,366.5,147.0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0,136.59999999999999,324.39999999999998,471.39999999999998,606.39999999999998,735.5,681.79999999999995,647.5,593.20000000000005,459.10000000000002,333.5,202.0,118.0,43.0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.0,147.30000000000001,290.0,418.69999999999999,535.60000000000002,654.79999999999995,617.10000000000002,537.39999999999998,445.30000000000001,371.80000000000001,343.80000000000001,309.30000000000001,193.375,104.0,80.666666666666671,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5,85.799999999999997,221.0,346.39999999999998,458.60000000000002,568.39999999999998,536.0,490.30000000000001,424.89999999999998,381.39999999999998,307.5,278.89999999999998,242.30000000000001,218.80000000000001,166.19999999999999,103.42857142857143,51.666666666666664,29.0,28.0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,42.375,167.59999999999999,280.39999999999998,378.89999999999998,504.30000000000001,526.70000000000005,472.0,415.5,362.0,322.69999999999999,267.0,224.69999999999999,213.19999999999999,175.5,151.5,121.88888888888889,70.0,41.0,29.0,29.0,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,12.5,96.799999999999997,210.40000000000001,314.30000000000001,430.19999999999999,497.89999999999998,463.80000000000001,420.80000000000001,376.30000000000001,313.39999999999998,268.89999999999998,225.19999999999999,198.40000000000001,192.59999999999999,151.90000000000001,135.69999999999999,111.7,83.444444444444443,57.777777777777779,37.142857142857146,34.25,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,10.0,77.400000000000006,198.40000000000001,320.80000000000001,426.0,427.30000000000001,391.30000000000001,362.80000000000001,313.80000000000001,275.80000000000001,234.09999999999999,196.0,192.19999999999999,171.80000000000001,142.69999999999999,139.09999999999999,123.7,92.0,69.900000000000006,56.0,28.25,30.428571428571427,28.75,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,51.0,244.19999999999999,358.0,400.19999999999999,365.19999999999999,322.39999999999998,278.5,264.39999999999998,239.5,211.19999999999999,178.30000000000001,147.09999999999999,135.69999999999999,159.69999999999999,121.8,90.5,74.099999999999994,68.900000000000006,46.700000000000003,34.777777777777779,20.25,23.166666666666668,27.800000000000001,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,364.0,319.30000000000001,308.80000000000001,256.0,248.59999999999999,221.30000000000001,196.0,137.30000000000001,123.2,108.09999999999999,116.2,105.09999999999999,74.700000000000003,35.700000000000003,39.200000000000003,35.899999999999999,32.899999999999999,16.25,21.25,27.833333333333332,23.0,14.5,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,260.0,219.0,182.59999999999999,162.09999999999999,113.3,102.8,98.900000000000006,108.5,97.700000000000003,85.299999999999997,51.200000000000003,44.100000000000001,40.100000000000001,26.0,15.699999999999999,12.444444444444445,20.875,23.333333333333332,18.333333333333332,28.0,28.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,150.0,121.7,112.5,111.90000000000001,107.09999999999999,86.299999999999997,69.700000000000003,52.600000000000001,37.399999999999999,27.199999999999999,23.899999999999999,16.800000000000001,18.0,17.800000000000001,29.222222222222221,26.0,27.333333333333332,28.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,136.0,116.7,81.799999999999997,54.100000000000001,51.5,43.700000000000003,32.399999999999999,21.899999999999999,14.1,11.9,12.300000000000001,18.600000000000001,20.0,24.285714285714285,28.0,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,56.0,40.0,42.600000000000001,37.399999999999999,20.100000000000001,10.1,5.9000000000000004,8.1999999999999993,13.0,16.600000000000001,21.333333333333332,27.833333333333332,26.666666666666668,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,36.0,41.200000000000003,17.399999999999999,5.9000000000000004,7.9000000000000004,9.6999999999999993,16.5,19.600000000000001,17.777777777777779,22.166666666666668,27.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,52.0,3.0,5.0,12.0,17.0,19.899999999999999,15.111111111111111,20.285714285714285,21.600000000000001,26.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0.0,2.5,11.800000000000001,11.9,12.222222222222221,23.285714285714285,27.0,26.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.0,13.0,13.699999999999999,21.899999999999999,22.166666666666668,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2.0,14.6,19.5,26.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23.0,19.5,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
