change,correlation_100,std_100,correlation_20,std_20,correlation_10,std_10,correlation_5,std_5
0,1.0,0.0,1.0,0.0,0.99999999999999978,1.1102230246251565e-16,1.0,0.0
2,0.97699447546955154,0.00065378441646100026,0.92822199568482111,0.0027081658710402029,0.91357405715550544,0.0044329606790003695,0.88804956974812599,0.0094079310972550421
4,0.96004819114749085,0.00043189896030465915,0.8952417789385011,0.0040509273360928143,0.87083719766149792,0.0051155515378152813,0.84306267541770574,0.017626341753272611
6,0.94608746903190666,0.00059394899716697417,0.87438568276721507,0.0042848710770502655,0.84534576162739106,0.0088492004005070787,0.82511397494603056,0.020009340730733859
8,0.93365709976162159,0.00061708178292579408,0.84930314859616851,0.0043960582337393278,0.82912479260275818,0.018175009931136552,0.79683091249905469,0.018325470535563174
10,0.92295490231445076,0.00056307473286523583,0.84194861820045419,0.0043879588453903809,0.81616875314779092,0.0089214542284200473,0.7780395136464,0.023809353429694174
12,0.91277818747589134,0.0007776094529451887,0.83494822007731762,0.0066463808314294048,0.80569058639171265,0.01069457120700326,0.75978286723552546,0.016243139056185067
14,0.90320256896586204,0.00091349616639439292,0.82430335607070437,0.0070075944388806937,0.79044314836871832,0.013579440448124445,0.75332813818675959,0.028093408246058393
16,0.8939349403832324,0.0010589184701963602,0.81443612117550224,0.0058930508607693546,0.76762180049488205,0.012926808209559734,0.73720264931578983,0.023459540192746271
18,0.88479181327221801,0.0013397195280648729,0.80358366032510009,0.0055813461845352942,0.76568346009934452,0.015552878036193615,0.73088428265174521,0.024097117611650769
20,0.87630628099871077,0.0012079922962334336,0.79006397276971485,0.0083650218620531947,0.76367846374408122,0.0099554143209445601,0.71725585095916933,0.026900939199832139
22,0.86765753375848187,0.0016205352836458802,0.77079350710834338,0.0099367429265714863,0.75629187612911553,0.010458200952721944,0.69936978967822205,0.025771111168447391
24,0.85895324315438981,0.0017705869450251506,0.76664189494936175,0.0085129734010824173,0.7461920930769258,0.010731602069363523,0.69641345671606669,0.020826025825636828
26,0.85057594615096532,0.0019411479431060892,0.76870442027864683,0.0067304449587744205,0.72769568597196344,0.013370556564744092,0.7013957995462563,0.022703279011756224
28,0.84208077563694983,0.0018453496827319476,0.76191541548050623,0.0092934248537189044,0.70840966368872738,0.0091847912460665485,0.6938543112062564,0.020533740629194427
30,0.83380980490291345,0.0018921624289888553,0.7561271235201561,0.0080969754511859265,0.70520807310732114,0.012679268812770867,0.66888495796521075,0.021923069356894566
32,0.82543339556400075,0.0017204646005385921,0.74784875718950228,0.0078106510828629197,0.71143156345620673,0.012354969069502805,0.66419987908317746,0.026614500825997658
34,0.81742297740792547,0.0016206030143014092,0.73272083667629806,0.0085387326454011807,0.70470663984905557,0.01853993495290945,0.67233269071270629,0.023397926891776912
36,0.80791921400700362,0.0021119899492411868,0.71505288106298148,0.0075277352590203996,0.68742342931489753,0.012138279922842957,0.68212225231675427,0.017523744126742544
38,0.79979959969318926,0.0022988984237176492,0.70492203824012678,0.0095674969943805588,0.67006858869668073,0.012658533077789857,0.67188907978975476,0.019024077818037975
40,0.79054816910458858,0.0020511767868510097,0.70989617052366916,0.009368028708981917,0.65851854398431997,0.014446306973297339,0.65918006857157974,0.020363007271166786
42,0.78152180790279047,0.0019394286080425237,0.710495639386855,0.0087908938297143521,0.67021942553853719,0.011927097904145874,0.65970635113600562,0.018557084445875633
44,0.77177270176171286,0.001888733040047844,0.70399642269420803,0.0090726425859626279,0.67153624653417043,0.013732923571405951,0.65570215122658959,0.021149778555137829
46,0.76261072561382248,0.0020020869917866022,0.69380186758353468,0.0086264569783850234,0.66552106051155036,0.012467646262113474,0.65767298003175068,0.018351053606533822
48,0.75337497466395786,0.0021646486555792935,0.68266953989015189,0.01099189636129012,0.65177974196147059,0.0098232496627849285,0.6367901537599755,0.025767061352567365
50,0.74375047415029305,0.0019872016299769956,0.66641217543396736,0.013896639511969037,0.63182139693238648,0.010056385790405986,0.58679663619577394,0.032093694551753711
52,0.73413751507056735,0.0018896212363324792,0.64141202260635166,0.013951237211030341,0.61161881378095817,0.011660385598128835,0.6013017463027428,0.030638077808439648
54,0.7242747280806997,0.0016629916113716312,0.64812610875137211,0.010060469650000774,0.63584526590556101,0.017287742003084364,0.63462168323476387,0.028816845141143327
56,0.71381955307773093,0.00174194958384584,0.65730133707052485,0.0080168091898333536,0.64728818252931364,0.018478152101824786,0.634523701681314,0.027053835465024795
58,0.70316234993584703,0.0019036287007141127,0.65474095342507521,0.009518851731526487,0.63435173354723584,0.019532367327467944,0.59940968611762302,0.025337893147665651
60,0.69213287598952811,0.0021061133340267964,0.6519538812620338,0.0054117122521146225,0.62470983257982127,0.013929608429842951,0.54970486531490581,0.023084394258431642
62,0.68095326827256419,0.0030603447619513753,0.64328346992456276,0.0089580005724913328,0.59540534488480712,0.014250962266256533,0.58572503906793727,0.025267088521371342
64,0.66917375705573179,0.0038686489330686624,0.62644210844117798,0.0064350113144880788,0.5575671084032876,0.021780699117662318,0.60777328837020428,0.03687026045985986
66,0.65639079537529699,0.0051002246583937497,0.59827171906949617,0.0056249170248220647,0.60078545243704562,0.021708691097369406,0.60262966227220305,0.030125047156152347
68,0.6428425216544249,0.0044277939495975804,0.56581453087896538,0.0079347995614753569,0.61722287383596286,0.015595426175441351,0.57403681486210201,0.036622914706024773
70,0.62861526564010561,0.0039028548366110425,0.58843065290522678,0.0086929539099197262,0.61832425230313981,0.010148770480355335,0.51761727483243614,0.029909643339400001
72,0.61420690434189862,0.004389806298298742,0.60107526702497338,0.0061380100713994048,0.58993339919254673,0.0057776676804628564,0.5355722282591493,0.034442358982832905
74,0.5996164623141288,0.0040778765939966516,0.60268887453095898,0.010656692475531502,0.54849477113417888,0.014534129520248488,0.58673620816502825,0.019077545131491101
76,0.58218133285687867,0.0049792879126914161,0.59367984611113855,0.011118342972747516,0.48706076566036816,0.021968056816837639,0.57967462680093729,0.026054885852672117
78,0.5643343617318064,0.0055538753465543544,0.57249156962525793,0.0087205664656792789,0.53347181644605912,0.017806378255851577,0.52671621964355775,0.025028519824453432
80,0.54401268267960368,0.0067133983789755807,0.53592823801496425,0.013916208142751041,0.5810123383826985,0.012280793082135711,0.43678219845947269,0.0451415356626595
82,0.5218092592796103,0.0058623527570577268,0.47723420196180044,0.013376510622526717,0.57090056269875522,0.016788272353270729,0.38887836351139887,0.074845905521692097
84,0.49988523092830339,0.0060841426921724008,0.43371151203549052,0.018742967909257096,0.53232270356819134,0.014563662407419695,0.55742697987352474,0.026730414319752621
86,0.47282511198393407,0.0068679440836335393,0.49801708858479621,0.013750393062382018,0.44611291283453058,0.024229678225507527,0.55521697625049449,0.022027884214076119
88,0.43875018297171808,0.0080207452821047711,0.52061893284394478,0.013498011046022881,0.32657957234652502,0.037499927500676239,0.44467653678233693,0.046012467477791003
