core	count	degree	clustering	components
1	1318	0.5629742033383915	0.0	947
2	1310	1.2900763358778626	0.37999999999999984	671
3	1029	2.206025267249757	0.5211030897619817	323
4	657	3.4246575342465753	0.588061312947157	82
5	360	5.455555555555556	0.574954890788224	16
6	113	5.451327433628318	0.8848791326667431	19
7	50	6.04	0.92	8
8	45	6.888888888888889	0.7909103242436575	9
9	39	6.9743589743589745	0.8352795352795354	3
10	5	4.0	1.0	1
11	38	12.0	0.9413908898119424	2
12	5	4.0	1.0	1
13	14	13.0	1.0	1
14	15	14.0	1.0	1
15	16	15.0	1.0	1
16	0	0	0	0
17	35	16.514285714285716	1.0	2
18	0	0	0	0
19	2	1.0	0.0	1
20	21	20.0	1.0	1
21	22	21.0	1.0	1
22	0	0	0	0
23	24	23.0	1.0	1
24	0	0	0	0
25	1	0.0	0.0	1
26	0	0	0	0
27	0	0	0	0
28	0	0	0	0
29	0	0	0	0
30	0	0	0	0
31	8	7.0	1.0	1
32	0	0	0	0
33	34	33.0	1.0	1
34	35	34.0	1.0	1
35	0	0	0	0
36	0	0	0	0
37	0	0	0	0
38	0	0	0	0
39	0	0	0	0
40	0	0	0	0
41	0	0	0	0
42	2	1.0	0.0	1
43	44	43.0	1.0	1
