core	count	degree	clustering	components
1	324	0.6975308641975309	0.0	211
2	247	1.214574898785425	0.45209176788124156	136
3	181	1.425414364640884	0.425414364640884	101
4	225	2.1155555555555554	0.5084444444444445	107
5	161	2.198757763975155	0.5401656314699793	77
6	142	2.323943661971831	0.556841046277666	70
7	112	4.107142857142857	0.6551445578231293	37
8	103	2.0194174757281553	0.36666666666666664	52
9	57	2.56140350877193	0.38011695906432746	32
10	103	4.815533980582524	0.6139263648972387	26
11	52	1.7692307692307692	0.282051282051282	26
12	131	6.0458015267175576	0.6981214290374597	27
13	40	2.95	0.4175	16
14	68	4.323529411764706	0.5119155354449473	22
15	58	4.931034482758621	0.6197170645446506	15
16	125	10.208	0.6374210542900813	12
17	26	2.6153846153846154	0.4282051282051282	8
18	37	4.4324324324324325	0.5208279708279708	4
19	55	13.090909090909092	0.7652211221368087	3
20	14	1.0	0.21428571428571427	8
21	55	9.89090909090909	0.34223645479204157	1
22	85	31.647058823529413	0.5421192352638511	1
23	0	0	0	0
24	25	24.0	1.0	1
