core_number,change_0,change_2,change_4,change_6,change_8,change_10,change_12,change_14,change_16,change_18,change_20,change_22,change_24,change_26,change_28,change_30,change_32,change_34,change_36,change_38,change_40,change_42,change_44,change_46,change_48,change_50,change_52,change_54,change_56,change_58,change_60,change_62,change_64,change_66,change_68,change_70,change_72,change_74,change_76,change_78,change_80,change_82,change_84,change_86,change_88
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.399999999999999,132.40000000000001,213.80000000000001
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,15.0,56.700000000000003,102.90000000000001,139.5,171.19999999999999,198.69999999999999,220.19999999999999,245.69999999999999,273.89999999999998,302.39999999999998,334.60000000000002,319.69999999999999,262.89999999999998,201.59999999999999
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,12.833333333333334,32.333333333333336,58.0,77.299999999999997,94.900000000000006,116.59999999999999,133.59999999999999,153.40000000000001,165.59999999999999,177.80000000000001,189.19999999999999,203.09999999999999,213.59999999999999,183.09999999999999,155.30000000000001,133.5,121.7,112.2,113.90000000000001,111.2,102.5,92.099999999999994,69.200000000000003,64.099999999999994,97.400000000000006,108.59999999999999
4,0,0,0,0,0,0,0,0,7.5,12.666666666666666,24.0,42.0,60.399999999999999,78.200000000000003,94.799999999999997,105.3,124.0,134.69999999999999,147.5,150.40000000000001,136.90000000000001,113.8,108.40000000000001,100.59999999999999,88.200000000000003,78.099999999999994,69.0,69.200000000000003,73.0,81.400000000000006,85.5,76.0,74.0,64.799999999999997,68.700000000000003,65.5,65.400000000000006,56.899999999999999,43.899999999999999,32.600000000000001,25.399999999999999,54.600000000000001,104.22222222222223,78.25,0
5,0,19.0,16.800000000000001,31.100000000000001,46.899999999999999,61.799999999999997,80.5,99.599999999999994,113.8,118.40000000000001,114.2,101.3,94.799999999999997,85.299999999999997,74.400000000000006,70.299999999999997,58.5,53.399999999999999,48.5,47.0,52.600000000000001,52.100000000000001,50.299999999999997,53.0,55.0,64.700000000000003,65.099999999999994,64.900000000000006,59.5,47.899999999999999,42.5,50.299999999999997,52.799999999999997,58.0,48.700000000000003,38.700000000000003,25.899999999999999,17.399999999999999,19.0,39.100000000000001,81.700000000000003,82.0,0,0,0
6,69.0,84.900000000000006,93.700000000000003,84.5,83.400000000000006,81.299999999999997,69.599999999999994,61.200000000000003,53.799999999999997,49.399999999999999,44.100000000000001,42.399999999999999,33.299999999999997,31.899999999999999,34.299999999999997,37.299999999999997,45.299999999999997,47.299999999999997,47.5,50.0,47.100000000000001,54.799999999999997,56.100000000000001,52.5,47.899999999999999,35.700000000000003,35.600000000000001,34.5,41.299999999999997,42.100000000000001,39.799999999999997,43.200000000000003,31.800000000000001,20.0,11.699999999999999,10.6,18.199999999999999,35.600000000000001,53.0,84.333333333333329,74.666666666666671,0,0,0,0
7,50.0,51.600000000000001,50.200000000000003,47.200000000000003,40.600000000000001,35.5,36.5,29.5,29.600000000000001,32.700000000000003,37.899999999999999,34.200000000000003,41.799999999999997,40.100000000000001,46.600000000000001,45.200000000000003,39.799999999999997,41.200000000000003,38.700000000000003,37.600000000000001,35.100000000000001,34.5,31.199999999999999,28.199999999999999,27.399999999999999,38.399999999999999,40.100000000000001,42.200000000000003,31.699999999999999,27.0,29.399999999999999,11.5,5.5,5.0999999999999996,18.0,37.799999999999997,50.399999999999999,74.0,64.0,0,0,0,0,0,0
8,45.0,43.700000000000003,39.399999999999999,37.700000000000003,36.5,37.799999999999997,30.300000000000001,38.399999999999999,34.200000000000003,37.899999999999999,31.899999999999999,40.700000000000003,39.600000000000001,41.799999999999997,33.299999999999997,28.100000000000001,28.699999999999999,28.0,27.199999999999999,33.100000000000001,35.399999999999999,32.200000000000003,28.0,27.199999999999999,34.5,30.100000000000001,28.5,17.800000000000001,17.600000000000001,13.9,1.8999999999999999,3.1000000000000001,10.300000000000001,21.300000000000001,35.0,44.333333333333336,54.333333333333336,44.666666666666664,0,0,0,0,0,0,0
9,39.0,25.5,22.399999999999999,26.199999999999999,32.5,26.600000000000001,31.100000000000001,26.600000000000001,29.899999999999999,24.0,27.0,22.800000000000001,21.699999999999999,19.800000000000001,25.800000000000001,32.100000000000001,24.5,27.0,31.100000000000001,22.100000000000001,18.699999999999999,16.800000000000001,19.800000000000001,26.800000000000001,24.5,18.100000000000001,8.9000000000000004,7.0999999999999996,1.2,3.0,12.9,24.0,41.399999999999999,53.299999999999997,57.888888888888886,42.625,43.0,0,0,0,0,0,0,0,0
10,5.0,21.0,31.199999999999999,22.800000000000001,12.6,17.800000000000001,20.5,20.0,18.699999999999999,19.5,17.399999999999999,18.699999999999999,21.0,25.800000000000001,18.399999999999999,18.600000000000001,24.5,19.100000000000001,14.0,20.0,20.0,21.899999999999999,24.899999999999999,17.199999999999999,6.7000000000000002,2.7000000000000002,1.8,2.1000000000000001,5.7999999999999998,19.199999999999999,22.600000000000001,44.600000000000001,33.333333333333336,38.333333333333336,42.0,45.0,0,0,0,0,0,0,0,0,0
